xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 110.3324506
alh3 H Al x x 3 1 x x 213.1188211
alh Al H x x 1 1 x x 72.95423354
sih4 H Si x x 4 1 x x 325.1759155
bh3 H B x x 3 1 x x 285.9868103
bh B H x x 1 1 x x 83.94323343
ch2-trip H C x x 2 1 x x 192.5382012
sih H Si x x 1 1 x x 74.95173062
si2h6 H Si x x 6 2 x x 534.0641516
ch3 H C x x 3 1 x x 310.6270447
ch4 H C x x 4 1 x x 421.766173
b2h6 H B x x 6 2 x x 614.7126826
sih3f H F Si x 3 1 1 x 379.6696799
ph3 H P x x 3 1 x x 245.8156898
c2h6 H C x x 6 2 x x 714.0074428
propane H C x x 8 3 x x 1008.383083
ch2-sing H C x x 2 1 x x 185.7531072
ch C H x x 1 1 x x 85.49733876
h2s H S x x 2 1 x x 182.4830126
hs S H x x 1 1 x x 88.29596689
c2h5f H C F x 5 2 1 x 720.9824367
ch3nh2 H C N x 5 1 1 x 586.0669185
ch3f H F C x 3 1 1 x 422.87603
propene H C x x 6 3 x x 861.7483109
nh3 H N x x 3 1 x x 301.3030669
ethanol H C O x 6 2 1 x 809.9184543
ch3nh H C N x 4 1 1 x 481.3874301
c2h4 H C x x 4 2 x x 564.503573
methanol H C O x 4 1 1 x 512.8630818
hcl Cl H x x 1 1 x x 105.175672
nh2 H N x x 2 1 x x 188.1276314
nh N H x x 1 1 x x 88.08152648
ch2nh2 H C N x 4 1 1 x 488.7974347
bhf2 F B H x 2 1 1 x 409.0364905
h2o H O x x 2 1 x x 231.0829639
hf F H x x 1 1 x x 139.2994724
ch2ch H C x x 3 2 x x 448.0757702
oh O H x x 1 1 x x 108.249453
propyne H C x x 4 3 x x 704.0971671
acetaldehyde H C O x 4 2 1 x 677.2023127
allene H C x x 4 3 x x 705.8040807
sif4 F Si x x 4 1 x x 559.4272684
bf3 F B x x 3 1 x x 464.7187329
c2h3f H C F x 3 2 1 x 573.2975705
oxirane H C O x 4 2 1 x 649.5047838
ch2f2 H F C x 2 2 1 x 435.0422352
alf3 F Al x x 3 1 x x 417.9349963
bef2 F Be x x 2 1 x x 309.0770432
ch2c C H x x 2 2 x x 360.1943262
n2h4 H N x x 4 2 x x 445.2472254
ch2nh H C N x 3 1 1 x 442.6386936
alf Al F x x 1 1 x x 159.9011932
acetic H C O x 4 2 2 x 800.5224551
c2h2 C H x x 2 2 x x 403.6573598
h2co H O C x 2 1 1 x 373.946187
h2cn H C N x 2 1 1 x 349.2098876
bf F B x x 1 1 x x 180.257149
becl2 Cl Be x x 2 1 x x 223.3366763
t-hcoh H C O x 2 1 1 x 321.2871343
alcl3 Cl Al x x 3 1 x x 296.1556559
c-hcoh H C O x 2 1 1 x 316.7848231
alcl Al Cl x x 1 1 x x 117.2680917
ketene C H O x 2 2 1 x 534.4967952
sif F Si x x 1 1 x x 141.5112095
formic H O C x 2 2 1 x 499.2166772
hcnh H C N x 2 1 1 x 341.5980891
glyoxal C H O x 2 2 2 x 631.9346033
hcof C O H F 1 1 1 1 401.283743
nh2cl H N Cl x 2 1 1 x 248.866337
cf4 F C x x 4 1 x x 468.3680222
hccf C H F x 2 1 1 x 396.5024209
hcn H C N x 1 1 1 x 313.5385277
hnc H N C x 1 1 1 x 299.6509165
cch C H x x 2 1 x x 262.9624095
hco O C H x 1 1 1 x 280.5728082
co C O x x 1 1 x x 255.349315
oxirene C H O x 2 2 1 x 453.3866796
f2co F O C x 2 1 1 x 415.6147525
hocn C N O H 1 1 1 1 409.7544242
hooh H O x x 2 2 x x 267.3724688
t-n2h2 H N x x 2 2 x x 301.604074
hnco C O N H 1 1 1 1 438.3056407
c-n2h2 H N x x 2 2 x x 296.4222034
cf2 F C x x 2 1 x x 255.5042524
co2 O C x x 2 1 x x 387.7929279
fccf F C x x 2 2 x x 383.8850513
dioxirane H O C x 2 2 1 x 405.9810032
cf C F x x 1 1 x x 133.8202377
ssh S H x x 2 1 x x 163.8590068
hocl O H Cl x 1 1 1 x 163.1282291
nccn N C x x 2 2 x x 503.6497817
n2 N x x x 2 x x x 229.6210999
n2h N H x x 2 1 x x 232.9002649
ocs O C S x 1 1 1 x 333.267897
sio Si O x x 1 1 x x 187.9831433
clcn Cl C N x 1 1 1 x 283.2163421
hoo O H x x 2 1 x x 177.8417241
hcno C H N O 1 1 1 1 369.5577986
honc H O N C 1 1 1 1 351.205296
hno N H O x 1 1 1 x 206.6836058
hof H O F x 1 1 1 x 157.3096744
c-hono O N H x 2 1 1 x 313.0053485
t-hono O N H x 2 1 1 x 313.766122
cs2 S C x x 2 1 x x 277.0089675
hnnn N H x x 3 1 x x 342.3973488
cs C S x x 1 1 x x 166.2981716
cn C N x x 1 1 x x 179.4317669
so3 O S x x 3 1 x x 334.0711666
ccl2 Cl C x x 2 1 x x 171.4956209
bn3pi B N x x 1 1 x x 111.537951
so2 O S x x 2 1 x x 252.1749458
no N O x x 1 1 x x 155.1322865
so S O x x 1 1 x x 126.8652562
n2o N O x x 2 1 x x 276.0175654
c-hooo O H x x 3 1 x x 234.8542421
