xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 110.3317468
alh3 H Al x x 3 1 x x 213.0966581
alh Al H x x 1 1 x x 72.94898637
sih4 H Si x x 4 1 x x 324.7384065
bh3 H B x x 3 1 x x 285.2452485
bh B H x x 1 1 x x 83.94202667
ch2-trip H C x x 2 1 x x 192.3130507
sih H Si x x 1 1 x x 74.94938911
si2h6 H Si x x 6 2 x x 533.1132018
ch3 H C x x 3 1 x x 310.1821244
ch4 H C x x 4 1 x x 421.2190573
b2h6 H B x x 6 2 x x 611.1026869
sih3f H F Si x 3 1 1 x 379.2665793
ph3 H P x x 3 1 x x 245.0722646
c2h6 H C x x 6 2 x x 712.9598547
propane H C x x 8 3 x x 1006.462295
ch2-sing H C x x 2 1 x x 185.6862398
ch C H x x 1 1 x x 85.49649681
h2s H S x x 2 1 x x 182.2893106
hs S H x x 1 1 x x 88.29542149
c2h5f H C F x 5 2 1 x 720.246781
ch3nh2 H C N x 5 1 1 x 585.3117246
ch3f H F C x 3 1 1 x 422.7602085
propene H C x x 6 3 x x 860.6087245
nh3 H N x x 3 1 x x 301.1984737
ethanol H C O x 6 2 1 x 808.9545699
ch3nh H C N x 4 1 1 x 480.7726392
c2h4 H C x x 4 2 x x 563.9963931
methanol H C O x 4 1 1 x 512.449426
hcl Cl H x x 1 1 x x 105.1755589
nh2 H N x x 2 1 x x 188.0956029
nh N H x x 1 1 x x 88.0807507
ch2nh2 H C N x 4 1 1 x 488.3132055
bhf2 F B H x 2 1 1 x 409.1072445
h2o H O x x 2 1 x x 231.064641
hf F H x x 1 1 x x 139.2989375
ch2ch H C x x 3 2 x x 447.8005043
oh O H x x 1 1 x x 108.2490177
propyne H C x x 4 3 x x 703.5569788
acetaldehyde H C O x 4 2 1 x 676.8127625
allene H C x x 4 3 x x 705.3446741
sif4 F Si x x 4 1 x x 558.8828211
bf3 F B x x 3 1 x x 464.7802863
c2h3f H C F x 3 2 1 x 573.0483021
oxirane H C O x 4 2 1 x 648.9948922
ch2f2 H F C x 2 2 1 x 435.1921218
alf3 F Al x x 3 1 x x 417.5022862
bef2 F Be x x 2 1 x x 308.927839
ch2c C H x x 2 2 x x 359.9962778
n2h4 H N x x 4 2 x x 444.793216
ch2nh H C N x 3 1 1 x 442.2539684
alf Al F x x 1 1 x x 159.8993674
acetic H C O x 4 2 2 x 800.2987515
c2h2 C H x x 2 2 x x 403.4946624
h2co H O C x 2 1 1 x 373.8759439
h2cn H C N x 2 1 1 x 349.0072401
bf F B x x 1 1 x x 180.256104
becl2 Cl Be x x 2 1 x x 223.4109789
t-hcoh H C O x 2 1 1 x 321.3003371
alcl3 Cl Al x x 3 1 x x 296.3700842
c-hcoh H C O x 2 1 1 x 316.5576135
alcl Al Cl x x 1 1 x x 117.2707045
ketene C H O x 2 2 1 x 534.4001024
sif F Si x x 1 1 x x 141.510632
formic H O C x 2 2 1 x 499.3279293
hcnh H C N x 2 1 1 x 341.560648
glyoxal C H O x 2 2 2 x 632.0406959
hcof C O H F 1 1 1 1 401.4389164
nh2cl H N Cl x 2 1 1 x 248.9354277
cf4 F C x x 4 1 x x 468.5405228
hccf C H F x 2 1 1 x 396.4634382
hcn H C N x 1 1 1 x 313.4620119
hnc H N C x 1 1 1 x 299.6113999
cch C H x x 2 1 x x 262.8886858
hco O C H x 1 1 1 x 280.6145444
co C O x x 1 1 x x 255.3488684
oxirene C H O x 2 2 1 x 453.1456046
f2co F O C x 2 1 1 x 415.760483
hocn C N O H 1 1 1 1 409.8171548
hooh H O x x 2 2 x x 267.3314219
t-n2h2 H N x x 2 2 x x 301.5838088
hnco C O N H 1 1 1 1 438.4010598
c-n2h2 H N x x 2 2 x x 296.1634316
cf2 F C x x 2 1 x x 255.5298687
co2 O C x x 2 1 x x 387.8334124
fccf F C x x 2 2 x x 383.9531732
dioxirane H O C x 2 2 1 x 405.9549736
cf C F x x 1 1 x x 133.8200747
ssh S H x x 2 1 x x 163.8136141
