xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.764096
pentane H C x x 12 5 x x 1599.517185
hexane H C x x 14 6 x x 1894.281533
heptane H C x x 16 7 x x 2189.055093
octane H C x x 18 8 x x 2483.822123
isobutane H C x x 10 4 x x 1305.862557
isopentane H C x x 12 5 x x 1600.065128
isohexane H C x x 14 6 x x 1894.80667
isoheptane H C x x 16 7 x x 2189.609548
isooctane H C x x 18 8 x x 2483.96135
neopentane H C x x 12 5 x x 1602.106668
neohexane H C x x 14 6 x x 1895.642474
neoheptane H C x x 16 7 x x 2190.360714
3methylpentane H C x x 14 6 x x 1894.151247
diisopropyl H C x x 14 6 x x 1894.470872
hexamethylethane H C x x 18 8 x x 2482.494262
h2 H x x x 2 x x x 110.4199949
alh3 H Al x x 3 1 x x 214.093527
alh Al H x x 1 1 x x 73.50239564
sih4 H Si x x 4 1 x x 326.1050773
bh3 H B x x 3 1 x x 285.9789832
bh B H x x 1 1 x x 84.26193837
ch2-trip H C x x 2 1 x x 192.8011433
sih H Si x x 1 1 x x 75.45464562
si2h6 H Si x x 6 2 x x 537.0943726
ch3 H C x x 3 1 x x 310.9823308
ch4 H C x x 4 1 x x 422.3246152
b2h6 H B x x 6 2 x x 613.6167962
sih3f H F Si x 3 1 1 x 380.3872569
ph3 H P x x 3 1 x x 246.4279744
c2h6 H C x x 6 2 x x 715.2311145
propane H C x x 8 3 x x 1009.970755
ch2-sing H C x x 2 1 x x 186.201351
ch C H x x 1 1 x x 85.76290142
h2s H S x x 2 1 x x 183.1363999
hs S H x x 1 1 x x 88.70023555
c2h5f H C F x 5 2 1 x 722.1904093
ch3nh2 H C N x 5 1 1 x 587.2430943
ch3f H F C x 3 1 1 x 423.5574052
propene H C x x 6 3 x x 864.0030178
nh3 H N x x 3 1 x x 301.940732
ethanol H C O x 6 2 1 x 811.3420899
ch3nh H C N x 4 1 1 x 482.5292753
c2h4 H C x x 4 2 x x 565.9426675
methanol H C O x 4 1 1 x 513.7119326
hcl Cl H x x 1 1 x x 105.5267558
nh2 H N x x 2 1 x x 188.5560608
nh N H x x 1 1 x x 88.28385287
ch2nh2 H C N x 4 1 1 x 490.0674625
bhf2 F B H x 2 1 1 x 409.6144443
