xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 110.3932388
alh3 H Al x x 3 1 x x 214.2310834
alh Al H x x 1 1 x x 73.59561972
sih4 H Si x x 4 1 x x 326.0939281
bh3 H B x x 3 1 x x 285.8511386
bh B H x x 1 1 x x 84.23424519
ch2-trip H C x x 2 1 x x 192.7072275
sih H Si x x 1 1 x x 75.49062393
si2h6 H Si x x 6 2 x x 538.2441604
ch3 H C x x 3 1 x x 310.8097259
ch4 H C x x 4 1 x x 422.06268
b2h6 H B x x 6 2 x x 613.2239149
sih3f H F Si x 3 1 1 x 380.4299174
ph3 H P x x 3 1 x x 246.351387
c2h6 H C x x 6 2 x x 714.6371824
propane H C x x 8 3 x x 1009.01326
ch2-sing H C x x 2 1 x x 186.1063335
ch C H x x 1 1 x x 85.72118123
h2s H S x x 2 1 x x 183.0831109
hs S H x x 1 1 x x 88.6857913
c2h5f H C F x 5 2 1 x 721.6037008
ch3nh2 H C N x 5 1 1 x 586.7244001
ch3f H F C x 3 1 1 x 423.2993351
propene H C x x 6 3 x x 863.3762225
nh3 H N x x 3 1 x x 301.7570759
ethanol H C O x 6 2 1 x 810.6381659
ch3nh H C N x 4 1 1 x 482.1286319
c2h4 H C x x 4 2 x x 565.6077008
methanol H C O x 4 1 1 x 513.3405188
hcl Cl H x x 1 1 x x 105.5001059
nh2 H N x x 2 1 x x 188.4505861
nh N H x x 1 1 x x 88.24154731
ch2nh2 H C N x 4 1 1 x 489.6802608
bhf2 F B H x 2 1 1 x 409.513904
h2o H O x x 2 1 x x 231.3324724
hf F H x x 1 1 x x 139.3831959
ch2ch H C x x 3 2 x x 449.2079866
oh O H x x 1 1 x x 108.3684032
propyne H C x x 4 3 x x 706.0259428
acetaldehyde H C O x 4 2 1 x 678.5279768
allene H C x x 4 3 x x 707.9899489
sif4 F Si x x 4 1 x x 560.428375
bf3 F B x x 3 1 x x 465.5367456
c2h3f H C F x 3 2 1 x 574.5018802
oxirane H C O x 4 2 1 x 650.56819
ch2f2 H F C x 2 2 1 x 435.6938648
alf3 F Al x x 3 1 x x 418.8494167
bef2 F Be x x 2 1 x x 309.4746497
ch2c C H x x 2 2 x x 361.3508866
n2h4 H N x x 4 2 x x 445.9500079
ch2nh H C N x 3 1 1 x 443.5131598
alf Al F x x 1 1 x x 160.672932
acetic H C O x 4 2 2 x 802.2750472
c2h2 C H x x 2 2 x x 404.6111902
h2co H O C x 2 1 1 x 374.610652
h2cn H C N x 2 1 1 x 350.064874
bf F B x x 1 1 x x 180.6314379
becl2 Cl Be x x 2 1 x x 226.1030304
t-hcoh H C O x 2 1 1 x 322.0898493
alcl3 Cl Al x x 3 1 x x 302.925143
c-hcoh H C O x 2 1 1 x 317.3713486
alcl Al Cl x x 1 1 x x 120.496565
ketene C H O x 2 2 1 x 535.9970275
sif F Si x x 1 1 x x 142.1893796
formic H O C x 2 2 1 x 500.3756618
hcnh H C N x 2 1 1 x 342.5939735
glyoxal C H O x 2 2 2 x 633.7913003
hcof C O H F 1 1 1 1 402.1797456
nh2cl H N Cl x 2 1 1 x 250.3177054
cf4 F C x x 4 1 x x 469.5855909
hccf C H F x 2 1 1 x 397.5853702
hcn H C N x 1 1 1 x 314.2049806
hnc H N C x 1 1 1 x 300.4607394
cch C H x x 2 1 x x 263.8737528
hco O C H x 1 1 1 x 281.1671776
co C O x x 1 1 x x 255.7877378
oxirene C H O x 2 2 1 x 454.4668459
f2co F O C x 2 1 1 x 416.7341138
hocn C N O H 1 1 1 1 410.915191
hooh H O x x 2 2 x x 267.7897072
t-n2h2 H N x x 2 2 x x 302.4858601
hnco C O N H 1 1 1 1 439.5961179
c-n2h2 H N x x 2 2 x x 297.1072574
cf2 F C x x 2 1 x x 256.1129368
co2 O C x x 2 1 x x 388.6827431
fccf F C x x 2 2 x x 385.0858324
dioxirane H O C x 2 2 1 x 406.8870587
cf C F x x 1 1 x x 134.1255757
ssh S H x x 2 1 x x 166.705668
hocl O H Cl x 1 1 1 x 164.0614843
nccn N C x x 2 2 x x 505.7701083
n2 N x x x 2 x x x 230.0530434
n2h N H x x 2 1 x x 233.5780709
ocs O C S x 1 1 1 x 335.2726342
sio Si O x x 1 1 x x 188.9916792
clcn Cl C N x 1 1 1 x 285.1188522
hoo O H x x 2 1 x x 178.261319
hcno C H N O 1 1 1 1 370.7514225
honc H O N C 1 1 1 1 352.4297839
hno N H O x 1 1 1 x 207.2300125
hof H O F x 1 1 1 x 157.6226412
c-hono O N H x 2 1 1 x 313.990164
t-hono O N H x 2 1 1 x 314.6922675
cs2 S C x x 2 1 x x 280.6319162
hnnn N H x x 3 1 x x 343.6763344
cs C S x x 1 1 x x 167.7504445
cn C N x x 1 1 x x 180.0265771
so3 O S x x 3 1 x x 336.5726455
ccl2 Cl C x x 2 1 x x 174.6266042
bn3pi B N x x 1 1 x x 112.2968886
so2 O S x x 2 1 x x 253.7486228
no N O x x 1 1 x x 155.45735
so S O x x 1 1 x x 127.6258619
n2o N O x x 2 1 x x 276.9559729
c-hooo O H x x 3 1 x x 235.5907176
s2 S x x x 2 x x x 105.9722511
p4 P x x x 4 x x x 296.1957965
cl2 Cl x x x 2 x x x 57.31396441
o2 O x x x 2 x x x 123.9967857
f2 F x x x 2 x x x 36.99738478
t-hooo O H x x 3 1 x x 235.6693897
s2o S O x x 2 1 x x 204.5482003
p2 P x x x 2 x x x 119.4410031
clf Cl F x x 1 1 x x 61.23705489
no2 O N x x 2 1 x x 233.6366005
clo Cl O x x 1 1 x x 66.98801828
s3 S x x x 3 x x x 166.1229197
cl2o Cl O x x 2 1 x x 99.13589103
s4-c2v S x x x 4 x x x 232.6228821
of O F x x 1 1 x x 55.60948657
c2 C x x x 2 x x x 138.077248
oclo O Cl x x 2 1 x x 127.550976
f2o F O x x 2 1 x x 93.93436855
b2 B x x x 2 x x x 61.42299675
fo2 O F x x 2 1 x x 136.6418257
cloo O Cl x x 2 1 x x 128.4663004
foof F O x x 2 2 x x 154.4455166
o3 O x x x 3 x x x 141.0230761
bn B N x x 1 1 x x 102.4339282
be2 Be x x x 2 x x x 7.496985321
