xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1306.692969
pentane H C x x 12 5 x x 1602.021956
hexane H C x x 14 6 x x 1897.362229
heptane H C x x 16 7 x x 2192.711976
octane H C x x 18 8 x x 2488.054245
isobutane H C x x 10 4 x x 1307.89089
isopentane H C x x 12 5 x x 1602.696684
isohexane H C x x 14 6 x x 1898.011967
isoheptane H C x x 16 7 x x 2193.390124
isooctane H C x x 18 8 x x 2488.64829
neopentane H C x x 12 5 x x 1604.919978
neohexane H C x x 14 6 x x 1899.084269
neoheptane H C x x 16 7 x x 2194.37345
3methylpentane H C x x 14 6 x x 1897.383832
diisopropyl H C x x 14 6 x x 1897.846005
hexamethylethane H C x x 18 8 x x 2487.57955
h2 H x x x 2 x x x 110.434821
alh3 H Al x x 3 1 x x 214.604328
alh Al H x x 1 1 x x 73.76306317
sih4 H Si x x 4 1 x x 326.7945756
bh3 H B x x 3 1 x x 286.2165768
bh B H x x 1 1 x x 84.36390434
ch2-trip H C x x 2 1 x x 192.9337113
sih H Si x x 1 1 x x 75.66422619
si2h6 H Si x x 6 2 x x 539.4703725
ch3 H C x x 3 1 x x 311.1893452
ch4 H C x x 4 1 x x 422.5929724
b2h6 H B x x 6 2 x x 614.6287062
sih3f H F Si x 3 1 1 x 381.1477585
ph3 H P x x 3 1 x x 246.9288901
c2h6 H C x x 6 2 x x 715.9997893
propane H C x x 8 3 x x 1011.327463
ch2-sing H C x x 2 1 x x 186.3353124
ch C H x x 1 1 x x 85.83542528
h2s H S x x 2 1 x x 183.4276071
hs S H x x 1 1 x x 88.84231672
c2h5f H C F x 5 2 1 x 723.0253773
ch3nh2 H C N x 5 1 1 x 587.8528275
ch3f H F C x 3 1 1 x 423.8722982
propene H C x x 6 3 x x 865.2320096
nh3 H N x x 3 1 x x 302.1025348
ethanol H C O x 6 2 1 x 812.3306284
ch3nh H C N x 4 1 1 x 483.0641083
c2h4 H C x x 4 2 x x 566.5902693
methanol H C O x 4 1 1 x 514.1598066
hcl Cl H x x 1 1 x x 105.6413104
nh2 H N x x 2 1 x x 188.6602841
nh N H x x 1 1 x x 88.33191344
ch2nh2 H C N x 4 1 1 x 490.6113924
bhf2 F B H x 2 1 1 x 409.9481437
h2o H O x x 2 1 x x 231.4958069
hf F H x x 1 1 x x 139.4348236
ch2ch H C x x 3 2 x x 449.9678054
oh O H x x 1 1 x x 108.4376756
propyne H C x x 4 3 x x 707.302042
acetaldehyde H C O x 4 2 1 x 679.8320562
allene H C x x 4 3 x x 709.2966126
sif4 F Si x x 4 1 x x 561.2650409
bf3 F B x x 3 1 x x 466.0222368
c2h3f H C F x 3 2 1 x 575.5240054
oxirane H C O x 4 2 1 x 651.8112332
ch2f2 H F C x 2 2 1 x 436.3221194
alf3 F Al x x 3 1 x x 419.2380419
bef2 F Be x x 2 1 x x 309.735909
ch2c C H x x 2 2 x x 361.9852915
n2h4 H N x x 4 2 x x 446.8439593
ch2nh H C N x 3 1 1 x 444.2641206
alf Al F x x 1 1 x x 160.8116579
acetic H C O x 4 2 2 x 803.9160462
c2h2 C H x x 2 2 x x 405.1517089
h2co H O C x 2 1 1 x 375.0914091
h2cn H C N x 2 1 1 x 350.6222783
bf F B x x 1 1 x x 180.7703237
becl2 Cl Be x x 2 1 x x 226.6482565
t-hcoh H C O x 2 1 1 x 322.545887
alcl3 Cl Al x x 3 1 x x 303.2851825
c-hcoh H C O x 2 1 1 x 317.8433469
alcl Al Cl x x 1 1 x x 120.4848884
ketene C H O x 2 2 1 x 536.8508056
sif F Si x x 1 1 x x 142.3558784
formic H O C x 2 2 1 x 501.1579706
hcnh H C N x 2 1 1 x 343.1304712
glyoxal C H O x 2 2 2 x 635.0299967
hcof C O H F 1 1 1 1 402.7069154
nh2cl H N Cl x 2 1 1 x 250.9864191
cf4 F C x x 4 1 x x 470.3624261
hccf C H F x 2 1 1 x 398.1544536
hcn H C N x 1 1 1 x 314.5668104
hnc H N C x 1 1 1 x 300.8614057
cch C H x x 2 1 x x 264.2907032
hco O C H x 1 1 1 x 281.4737799
co C O x x 1 1 x x 255.9643385
oxirene C H O x 2 2 1 x 455.3003979
f2co F O C x 2 1 1 x 417.3204014
hocn C N O H 1 1 1 1 411.5268486
hooh H O x x 2 2 x x 268.15554
t-n2h2 H N x x 2 2 x x 303.0060694
hnco C O N H 1 1 1 1 440.2315625
c-n2h2 H N x x 2 2 x x 297.6424837
cf2 F C x x 2 1 x x 256.4110354
co2 O C x x 2 1 x x 389.0811638
fccf F C x x 2 2 x x 385.6830103
dioxirane H O C x 2 2 1 x 407.6050375
cf C F x x 1 1 x x 134.259688
ssh S H x x 2 1 x x 167.2299792
hocl O H Cl x 1 1 1 x 164.4426143
nccn N C x x 2 2 x x 506.6492611
n2 N x x x 2 x x x 230.2435516
n2h N H x x 2 1 x x 233.9275038
ocs O C S x 1 1 1 x 335.8593609
sio Si O x x 1 1 x x 189.1982271
clcn Cl C N x 1 1 1 x 285.7607311
hoo O H x x 2 1 x x 178.4961903
hcno C H N O 1 1 1 1 371.3718898
honc H O N C 1 1 1 1 353.0842833
hno N H O x 1 1 1 x 207.5219478
hof H O F x 1 1 1 x 157.8185984
c-hono O N H x 2 1 1 x 314.5578913
t-hono O N H x 2 1 1 x 315.2257386
cs2 S C x x 2 1 x x 281.5182108
hnnn N H x x 3 1 x x 344.3750601
cs C S x x 1 1 x x 168.0546855
cn C N x x 1 1 x x 180.2548827
so3 O S x x 3 1 x x 337.5001558
ccl2 Cl C x x 2 1 x x 175.4573541
bn3pi B N x x 1 1 x x 112.5359866
so2 O S x x 2 1 x x 254.2737649
no N O x x 1 1 x x 155.6068517
so S O x x 1 1 x x 127.8469062
n2o N O x x 2 1 x x 277.4046375
c-hooo O H x x 3 1 x x 236.069069
s2 S x x x 2 x x x 106.2174505
p4 P x x x 4 x x x 297.3050377
cl2 Cl x x x 2 x x x 57.61903736
o2 O x x x 2 x x x 124.1161393
f2 F x x x 2 x x x 37.07324758
t-hooo O H x x 3 1 x x 236.1103544
s2o S O x x 2 1 x x 205.1689943
p2 P x x x 2 x x x 119.5771005
clf Cl F x x 1 1 x x 61.40377426
no2 O N x x 2 1 x x 234.0250562
clo Cl O x x 1 1 x x 67.19908597
s3 S x x x 3 x x x 166.9538309
cl2o Cl O x x 2 1 x x 99.84664761
s4-c2v S x x x 4 x x x 234.4757181
of O F x x 1 1 x x 55.70336855
c2 C x x x 2 x x x 138.3502328
oclo O Cl x x 2 1 x x 128.0615326
f2o F O x x 2 1 x x 94.17089143
b2 B x x x 2 x x x 61.69066941
fo2 O F x x 2 1 x x 136.9208115
cloo O Cl x x 2 1 x x 128.9234093
foof F O x x 2 2 x x 154.8883989
o3 O x x x 3 x x x 141.3454153
bn B N x x 1 1 x x 102.6729337
be2 Be x x x 2 x x x 8.124085476
