xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1313.272335
pentane H C x x 12 5 x x 1610.297877
hexane H C x x 14 6 x x 1907.338984
heptane H C x x 16 7 x x 2204.389778
octane H C x x 18 8 x x 2501.434129
isobutane H C x x 10 4 x x 1314.46543
isopentane H C x x 12 5 x x 1610.930825
isohexane H C x x 14 6 x x 1907.957923
isoheptane H C x x 16 7 x x 2205.042598
isooctane H C x x 18 8 x x 2501.97553
neopentane H C x x 12 5 x x 1613.203253
neohexane H C x x 14 6 x x 1908.990836
neoheptane H C x x 16 7 x x 2206.003456
3methylpentane H C x x 14 6 x x 1907.284629
diisopropyl H C x x 14 6 x x 1907.76219
hexamethylethane H C x x 18 8 x x 2500.845817
h2 H x x x 2 x x x 110.5068178
alh3 H Al x x 3 1 x x 214.4108924
alh Al H x x 1 1 x x 73.38046733
sih4 H Si x x 4 1 x x 327.0412903
bh3 H B x x 3 1 x x 286.6972604
bh B H x x 1 1 x x 84.37513834
ch2-trip H C x x 2 1 x x 193.688447
sih H Si x x 1 1 x x 75.5897335
si2h6 H Si x x 6 2 x x 538.4363801
ch3 H C x x 3 1 x x 312.2780444
ch4 H C x x 4 1 x x 424.1304562
b2h6 H B x x 6 2 x x 616.3279312
sih3f H F Si x 3 1 1 x 382.6078092
ph3 H P x x 3 1 x x 247.5498375
c2h6 H C x x 6 2 x x 719.2146247
propane H C x x 8 3 x x 1016.224121
ch2-sing H C x x 2 1 x x 187.0252025
ch C H x x 1 1 x x 86.08564289
h2s H S x x 2 1 x x 184.2313209
hs S H x x 1 1 x x 89.24532497
c2h5f H C F x 5 2 1 x 727.8783404
ch3nh2 H C N x 5 1 1 x 591.2325325
ch3f H F C x 3 1 1 x 426.7785175
propene H C x x 6 3 x x 869.2642699
nh3 H N x x 3 1 x x 303.5993495
ethanol H C O x 6 2 1 x 817.5926471
ch3nh H C N x 4 1 1 x 485.9529889
c2h4 H C x x 4 2 x x 569.0255717
methanol H C O x 4 1 1 x 517.4876161
hcl Cl H x x 1 1 x x 106.2254938
nh2 H N x x 2 1 x x 189.6027322
nh N H x x 1 1 x x 88.78202511
ch2nh2 H C N x 4 1 1 x 493.62911
bhf2 F B H x 2 1 1 x 413.0073071
h2o H O x x 2 1 x x 232.7080234
hf F H x x 1 1 x x 140.1026338
ch2ch H C x x 3 2 x x 452.1490398
oh O H x x 1 1 x x 109.0142069
propyne H C x x 4 3 x x 710.7878055
acetaldehyde H C O x 4 2 1 x 683.9474965
allene H C x x 4 3 x x 712.7000204
sif4 F Si x x 4 1 x x 567.1469947
bf3 F B x x 3 1 x x 470.4565677
c2h3f H C F x 3 2 1 x 579.5176787
oxirane H C O x 4 2 1 x 657.1755176
ch2f2 H F C x 2 2 1 x 440.894412
alf3 F Al x x 3 1 x x 422.2044434
bef2 F Be x x 2 1 x x 311.087834
ch2c C H x x 2 2 x x 363.6097042
n2h4 H N x x 4 2 x x 450.3669307
ch2nh H C N x 3 1 1 x 446.7955937
alf Al F x x 1 1 x x 161.6763124
acetic H C O x 4 2 2 x 810.230948
c2h2 C H x x 2 2 x x 407.0363576
h2co H O C x 2 1 1 x 377.4484006
h2cn H C N x 2 1 1 x 352.7350776
bf F B x x 1 1 x x 181.991051
becl2 Cl Be x x 2 1 x x 226.4991982
t-hcoh H C O x 2 1 1 x 325.0968886
alcl3 Cl Al x x 3 1 x x 302.7633943
c-hcoh H C O x 2 1 1 x 320.3523647
alcl Al Cl x x 1 1 x x 119.6634819
ketene C H O x 2 2 1 x 540.2043617
sif F Si x x 1 1 x x 143.5944696
formic H O C x 2 2 1 x 505.5614508
hcnh H C N x 2 1 1 x 345.4130677
glyoxal C H O x 2 2 2 x 639.934754
hcof C O H F 1 1 1 1 406.6307597
nh2cl H N Cl x 2 1 1 x 253.3522776
cf4 F C x x 4 1 x x 479.0589614
hccf C H F x 2 1 1 x 401.3849548
hcn H C N x 1 1 1 x 316.3347923
hnc H N C x 1 1 1 x 302.6034242
cch C H x x 2 1 x x 265.7381587
hco O C H x 1 1 1 x 283.5260568
co C O x x 1 1 x x 257.5212927
oxirene C H O x 2 2 1 x 459.566972
f2co F O C x 2 1 1 x 422.9869598
hocn C N O H 1 1 1 1 415.0043906
hooh H O x x 2 2 x x 271.2867722
t-n2h2 H N x x 2 2 x x 305.6419256
hnco C O N H 1 1 1 1 443.6471377
c-n2h2 H N x x 2 2 x x 300.2394518
cf2 F C x x 2 1 x x 260.119047
co2 O C x x 2 1 x x 392.278793
fccf F C x x 2 2 x x 390.2463705
dioxirane H O C x 2 2 1 x 412.8701658
cf C F x x 1 1 x x 135.864249
ssh S H x x 2 1 x x 168.0555046
hocl O H Cl x 1 1 1 x 166.7720758
nccn N C x x 2 2 x x 509.99144
n2 N x x x 2 x x x 231.9044883
n2h N H x x 2 1 x x 236.1150326
ocs O C S x 1 1 1 x 338.3900053
sio Si O x x 1 1 x x 190.3952047
clcn Cl C N x 1 1 1 x 288.1057769
hoo O H x x 2 1 x x 181.117895
hcno C H N O 1 1 1 1 375.0442016
honc H O N C 1 1 1 1 356.641198
hno N H O x 1 1 1 x 209.919445
hof H O F x 1 1 1 x 160.3564872
c-hono O N H x 2 1 1 x 319.1865325
t-hono O N H x 2 1 1 x 319.7866127
cs2 S C x x 2 1 x x 282.8699516
hnnn N H x x 3 1 x x 348.0932581
cs C S x x 1 1 x x 169.0169423
cn C N x x 1 1 x x 181.6259203
so3 O S x x 3 1 x x 343.0843691
ccl2 Cl C x x 2 1 x x 177.615188
bn3pi B N x x 1 1 x x 113.3519448
so2 O S x x 2 1 x x 258.0424137
no N O x x 1 1 x x 157.4993358
so S O x x 1 1 x x 129.7000914
n2o N O x x 2 1 x x 280.9413606
c-hooo O H x x 3 1 x x 240.8333192
s2 S x x x 2 x x x 106.9976812
p4 P x x x 4 x x x 293.8475954
cl2 Cl x x x 2 x x x 58.88844272
o2 O x x x 2 x x x 126.1988075
f2 F x x x 2 x x x 38.95558958
t-hooo O H x x 3 1 x x 240.7273092
s2o S O x x 2 1 x x 207.5568786
p2 P x x x 2 x x x 119.3261231
clf Cl F x x 1 1 x x 63.31543395
no2 O N x x 2 1 x x 237.9853777
clo Cl O x x 1 1 x x 69.11904636
s3 S x x x 3 x x x 167.5202323
cl2o Cl O x x 2 1 x x 103.0844431
s4-c2v S x x x 4 x x x 233.9533291
of O F x x 1 1 x x 57.64070603
c2 C x x x 2 x x x 139.2751989
oclo O Cl x x 2 1 x x 132.2608922
f2o F O x x 2 1 x x 98.31001847
b2 B x x x 2 x x x 66.57475444
fo2 O F x x 2 1 x x 140.7880206
cloo O Cl x x 2 1 x x 132.3004058
foof F O x x 2 2 x x 161.0840494
o3 O x x x 3 x x x 147.4279271
bn B N x x 1 1 x x 109.3085536
be2 Be x x x 2 x x x 5.286227879
