xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.607448
pentane H C x x 12 5 x x 1587.398349
hexane H C x x 14 6 x x 1879.191087
heptane H C x x 16 7 x x 2170.988265
octane H C x x 18 8 x x 2462.781241
isobutane H C x x 10 4 x x 1296.140752
isopentane H C x x 12 5 x x 1586.980973
isohexane H C x x 14 6 x x 1878.69101
isoheptane H C x x 16 7 x x 2170.490547
isooctane H C x x 18 8 x x 2458.76242
neopentane H C x x 12 5 x x 1588.187578
neohexane H C x x 14 6 x x 1877.920766
neoheptane H C x x 16 7 x x 2169.53225
3methylpentane H C x x 14 6 x x 1877.671229
diisopropyl H C x x 14 6 x x 1877.19677
hexamethylethane H C x x 18 8 x x 2454.894429
h2 H x x x 2 x x x 110.3317319
alh3 H Al x x 3 1 x x 212.8491484
alh Al H x x 1 1 x x 72.94578523
sih4 H Si x x 4 1 x x 324.1171944
bh3 H B x x 3 1 x x 285.0970327
bh B H x x 1 1 x x 83.94125141
ch2-trip H C x x 2 1 x x 192.2760496
sih H Si x x 1 1 x x 74.94825796
si2h6 H Si x x 6 2 x x 531.2396798
ch3 H C x x 3 1 x x 310.1118185
ch4 H C x x 4 1 x x 421.123799
b2h6 H B x x 6 2 x x 609.8863194
sih3f H F Si x 3 1 1 x 378.2703352
ph3 H P x x 3 1 x x 244.9236271
c2h6 H C x x 6 2 x x 711.831674
propane H C x x 8 3 x x 1003.727326
ch2-sing H C x x 2 1 x x 185.6733874
ch C H x x 1 1 x x 85.49613888
h2s H S x x 2 1 x x 182.2570093
hs S H x x 1 1 x x 88.29424164
c2h5f H C F x 5 2 1 x 718.5897349
ch3nh2 H C N x 5 1 1 x 584.5115109
ch3f H F C x 3 1 1 x 422.228564
propene H C x x 6 3 x x 858.9464964
nh3 H N x x 3 1 x x 301.1754673
ethanol H C O x 6 2 1 x 806.9472227
ch3nh H C N x 4 1 1 x 480.2808425
c2h4 H C x x 4 2 x x 563.4677704
methanol H C O x 4 1 1 x 511.7624605
hcl Cl H x x 1 1 x x 105.1740803
nh2 H N x x 2 1 x x 188.0883505
nh N H x x 1 1 x x 88.08054152
ch2nh2 H C N x 4 1 1 x 487.7941752
bhf2 F B H x 2 1 1 x 408.5039621
h2o H O x x 2 1 x x 231.0597741
hf F H x x 1 1 x x 139.2986211
ch2ch H C x x 3 2 x x 447.4879493
oh O H x x 1 1 x x 108.2486851
propyne H C x x 4 3 x x 702.7770648
acetaldehyde H C O x 4 2 1 x 675.6059299
allene H C x x 4 3 x x 704.5998947
sif4 F Si x x 4 1 x x 557.5586776
bf3 F B x x 3 1 x x 464.3581526
c2h3f H C F x 3 2 1 x 572.1911796
oxirane H C O x 4 2 1 x 647.8764102
ch2f2 H F C x 2 2 1 x 434.462928
alf3 F Al x x 3 1 x x 416.9475861
bef2 F Be x x 2 1 x x 308.7276576
ch2c C H x x 2 2 x x 359.8743284
n2h4 H N x x 4 2 x x 444.2776526
ch2nh H C N x 3 1 1 x 441.9694588
alf Al F x x 1 1 x x 159.8951809
acetic H C O x 4 2 2 x 798.4166799
c2h2 C H x x 2 2 x x 403.2952273
h2co H O C x 2 1 1 x 373.6297731
h2cn H C N x 2 1 1 x 348.8890368
bf F B x x 1 1 x x 180.2553586
becl2 Cl Be x x 2 1 x x 222.8121499
t-hcoh H C O x 2 1 1 x 321.1393686
alcl3 Cl Al x x 3 1 x x 294.5551657
c-hcoh H C O x 2 1 1 x 316.4108529
alcl Al Cl x x 1 1 x x 117.249396
ketene C H O x 2 2 1 x 533.901743
sif F Si x x 1 1 x x 141.5076881
formic H O C x 2 2 1 x 498.7028467
hcnh H C N x 2 1 1 x 341.4277176
glyoxal C H O x 2 2 2 x 630.7667091
hcof C O H F 1 1 1 1 401.0502173
nh2cl H N Cl x 2 1 1 x 248.676906
cf4 F C x x 4 1 x x 467.9481453
hccf C H F x 2 1 1 x 396.1357132
hcn H C N x 1 1 1 x 313.3735961
hnc H N C x 1 1 1 x 299.5421477
cch C H x x 2 1 x x 262.7895442
hco O C H x 1 1 1 x 280.4967323
co C O x x 1 1 x x 255.3484169
oxirene C H O x 2 2 1 x 452.4726012
f2co F O C x 2 1 1 x 415.4270877
hocn C N O H 1 1 1 1 409.4474079
hooh H O x x 2 2 x x 267.1147812
t-n2h2 H N x x 2 2 x x 301.4606591
hnco C O N H 1 1 1 1 438.0876171
c-n2h2 H N x x 2 2 x x 296.0725581
cf2 F C x x 2 1 x x 255.4572886
co2 O C x x 2 1 x x 387.7192713
fccf F C x x 2 2 x x 383.496484
dioxirane H O C x 2 2 1 x 405.3987969
cf C F x x 1 1 x x 133.8187148
ssh S H x x 2 1 x x 163.5995419
hocl O H Cl x 1 1 1 x 163.078464
nccn N C x x 2 2 x x 503.2362523
n2 N x x x 2 x x x 229.6201556
n2h N H x x 2 1 x x 232.8644376
ocs O C S x 1 1 1 x 333.1180286
sio Si O x x 1 1 x x 187.9809462
clcn Cl C N x 1 1 1 x 282.9869951
hoo O H x x 2 1 x x 177.8138521
hcno C H N O 1 1 1 1 369.273072
honc H O N C 1 1 1 1 350.8667026
hno N H O x 1 1 1 x 206.6550528
hof H O F x 1 1 1 x 157.2666525
c-hono O N H x 2 1 1 x 312.8344892
t-hono O N H x 2 1 1 x 313.565433
cs2 S C x x 2 1 x x 276.7229795
hnnn N H x x 3 1 x x 342.121631
cs C S x x 1 1 x x 166.2959256
cn C N x x 1 1 x x 179.4306715
