xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1334.813218
pentane H C x x 12 5 x x 1636.260542
hexane H C x x 14 6 x x 1937.715575
heptane H C x x 16 7 x x 2239.170647
octane H C x x 18 8 x x 2540.62353
isobutane H C x x 10 4 x x 1335.485274
isopentane H C x x 12 5 x x 1636.108783
isohexane H C x x 14 6 x x 1937.482953
isoheptane H C x x 16 7 x x 2238.947936
isooctane H C x x 18 8 x x 2537.688443
neopentane H C x x 12 5 x x 1637.563145
neohexane H C x x 14 6 x x 1937.217614
neoheptane H C x x 16 7 x x 2238.497345
3methylpentane H C x x 14 6 x x 1936.590852
diisopropyl H C x x 14 6 x x 1936.400602
hexamethylethane H C x x 18 8 x x 2534.867602
h2 H x x x 2 x x x 112.0614482
alh3 H Al x x 3 1 x x 216.9256889
alh Al H x x 1 1 x x 73.68865689
sih4 H Si x x 4 1 x x 330.9543983
bh3 H B x x 3 1 x x 289.7377249
bh B H x x 1 1 x x 85.17468245
ch2-trip H C x x 2 1 x x 199.298241
sih H Si x x 1 1 x x 76.19947551
si2h6 H Si x x 6 2 x x 545.280839
ch3 H C x x 3 1 x x 318.3506943
ch4 H C x x 4 1 x x 431.5420291
b2h6 H B x x 6 2 x x 625.8308043
sih3f H F Si x 3 1 1 x 384.7373809
ph3 H P x x 3 1 x x 250.7139751
c2h6 H C x x 6 2 x x 731.7526908
propane H C x x 8 3 x x 1033.297374
ch2-sing H C x x 2 1 x x 190.6901383
ch C H x x 1 1 x x 87.43639016
h2s H S x x 2 1 x x 188.0378704
hs S H x x 1 1 x x 91.06453111
c2h5f H C F x 5 2 1 x 738.9558445
ch3nh2 H C N x 5 1 1 x 600.9859625
ch3f H F C x 3 1 1 x 433.1098272
propene H C x x 6 3 x x 883.3612424
nh3 H N x x 3 1 x x 308.4798916
ethanol H C O x 6 2 1 x 830.8972922
ch3nh H C N x 4 1 1 x 494.0201827
c2h4 H C x x 4 2 x x 578.0777613
methanol H C O x 4 1 1 x 526.170142
hcl Cl H x x 1 1 x x 108.8078727
nh2 H N x x 2 1 x x 192.5675338
nh N H x x 1 1 x x 90.16318726
ch2nh2 H C N x 4 1 1 x 502.0829502
bhf2 F B H x 2 1 1 x 414.5704096
h2o H O x x 2 1 x x 236.8311345
hf F H x x 1 1 x x 142.2878176
ch2ch H C x x 3 2 x x 460.2182498
oh O H x x 1 1 x x 110.865097
propyne H C x x 4 3 x x 722.2911812
acetaldehyde H C O x 4 2 1 x 694.6206502
allene H C x x 4 3 x x 724.1431241
sif4 F Si x x 4 1 x x 565.0125258
bf3 F B x x 3 1 x x 471.4155518
c2h3f H C F x 3 2 1 x 587.9530277
oxirane H C O x 4 2 1 x 669.6309037
ch2f2 H F C x 2 2 1 x 446.5995918
alf3 F Al x x 3 1 x x 420.3633952
bef2 F Be x x 2 1 x x 309.0087431
ch2c C H x x 2 2 x x 368.9121393
n2h4 H N x x 4 2 x x 457.5362854
ch2nh H C N x 3 1 1 x 453.1850921
alf Al F x x 1 1 x x 160.1475286
acetic H C O x 4 2 2 x 822.597856
c2h2 C H x x 2 2 x x 412.9758649
h2co H O C x 2 1 1 x 382.979196
h2cn H C N x 2 1 1 x 357.3572469
bf F B x x 1 1 x x 182.2455207
becl2 Cl Be x x 2 1 x x 227.5761126
t-hcoh H C O x 2 1 1 x 330.4130898
alcl3 Cl Al x x 3 1 x x 305.2167302
c-hcoh H C O x 2 1 1 x 325.6323656
alcl Al Cl x x 1 1 x x 119.9842615
ketene C H O x 2 2 1 x 548.8389381
sif F Si x x 1 1 x x 142.501401
formic H O C x 2 2 1 x 513.1798847
hcnh H C N x 2 1 1 x 350.4058707
glyoxal C H O x 2 2 2 x 648.5321484
hcof C O H F 1 1 1 1 412.077547
nh2cl H N Cl x 2 1 1 x 257.7776578
cf4 F C x x 4 1 x x 484.2487916
hccf C H F x 2 1 1 x 407.6327616
hcn H C N x 1 1 1 x 319.4542743
hnc H N C x 1 1 1 x 305.8124192
cch C H x x 2 1 x x 271.0015923
