xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.366792
alh3 H Al x x 3 1 x x 208.7839012
alh Al H x x 1 1 x x 70.44421939
sih4 H Si x x 4 1 x x 320.1080232
bh3 H B x x 3 1 x x 282.4074531
bh B H x x 1 1 x x 82.15199445
ch2-trip H C x x 2 1 x x 194.5969988
sih H Si x x 1 1 x x 72.67726868
si2h6 H Si x x 6 2 x x 529.4306252
ch3 H C x x 3 1 x x 310.1442359
ch4 H C x x 4 1 x x 420.2462471
b2h6 H B x x 6 2 x x 613.7140749
sih3f H F Si x 3 1 1 x 374.8919728
ph3 H P x x 3 1 x x 241.1424642
c2h6 H C x x 6 2 x x 714.6713158
propane H C x x 8 3 x x 1011.250599
ch2-sing H C x x 2 1 x x 184.5913369
ch C H x x 1 1 x x 83.87921123
h2s H S x x 2 1 x x 181.6285938
hs S H x x 1 1 x x 87.57913023
c2h5f H C F x 5 2 1 x 722.6216658
ch3nh2 H C N x 5 1 1 x 583.7821724
ch3f H F C x 3 1 1 x 422.4820912
propene H C x x 6 3 x x 864.6355282
nh3 H N x x 3 1 x x 297.2319707
ethanol H C O x 6 2 1 x 811.3364242
ch3nh H C N x 4 1 1 x 479.5592282
c2h4 H C x x 4 2 x x 564.9881383
methanol H C O x 4 1 1 x 512.2263577
hcl Cl H x x 1 1 x x 105.6063664
nh2 H N x x 2 1 x x 184.5729797
nh N H x x 1 1 x x 85.9473807
ch2nh2 H C N x 4 1 1 x 487.2972274
bhf2 F B H x 2 1 1 x 408.0356047
h2o H O x x 2 1 x x 229.2767203
hf F H x x 1 1 x x 138.5372026
ch2ch H C x x 3 2 x x 449.8993538
oh O H x x 1 1 x x 106.8428349
propyne H C x x 4 3 x x 707.4820489
acetaldehyde H C O x 4 2 1 x 679.2291142
allene H C x x 4 3 x x 709.1147821
sif4 F Si x x 4 1 x x 557.3972731
bf3 F B x x 3 1 x x 465.3564663
c2h3f H C F x 3 2 1 x 575.5345332
oxirane H C O x 4 2 1 x 654.3992828
ch2f2 H F C x 2 2 1 x 436.423042
alf3 F Al x x 3 1 x x 415.393352
bef2 F Be x x 2 1 x x 305.7760302
ch2c C H x x 2 2 x x 360.103572
n2h4 H N x x 4 2 x x 440.285411
ch2nh H C N x 3 1 1 x 440.405666
alf Al F x x 1 1 x x 157.4489961
acetic H C O x 4 2 2 x 804.4302539
c2h2 C H x x 2 2 x x 404.4953598
h2co H O C x 2 1 1 x 373.7542043
h2cn H C N x 2 1 1 x 347.4172098
bf F B x x 1 1 x x 179.5664027
becl2 Cl Be x x 2 1 x x 225.9004902
t-hcoh H C O x 2 1 1 x 320.5307286
alcl3 Cl Al x x 3 1 x x 303.099911
c-hcoh H C O x 2 1 1 x 315.9870916
alcl Al Cl x x 1 1 x x 118.1512445
ketene C H O x 2 2 1 x 537.8344502
sif F Si x x 1 1 x x 139.4642068
formic H O C x 2 2 1 x 500.8964661
hcnh H C N x 2 1 1 x 340.0952382
glyoxal C H O x 2 2 2 x 635.0254501
hcof C O H F 1 1 1 1 403.3335664
nh2cl H N Cl x 2 1 1 x 247.9202398
cf4 F C x x 4 1 x x 474.7726591
hccf C H F x 2 1 1 x 399.9485528
hcn H C N x 1 1 1 x 311.5779421
hnc H N C x 1 1 1 x 297.6532731
cch C H x x 2 1 x x 265.9527977
hco O C H x 1 1 1 x 281.0963925
co C O x x 1 1 x x 255.6015912
oxirene C H O x 2 2 1 x 457.7720074
f2co F O C x 2 1 1 x 420.5404203
hocn C N O H 1 1 1 1 410.1451061
hooh H O x x 2 2 x x 265.7473412
t-n2h2 H N x x 2 2 x x 297.0366268
hnco C O N H 1 1 1 1 439.3453316
c-n2h2 H N x x 2 2 x x 291.82875
cf2 F C x x 2 1 x x 257.4753801
co2 O C x x 2 1 x x 391.2861363
fccf F C x x 2 2 x x 389.667153
dioxirane H O C x 2 2 1 x 408.935198
cf C F x x 1 1 x x 134.5012007
ssh S H x x 2 1 x x 166.189671
hocl O H Cl x 1 1 1 x 163.7581575
nccn N C x x 2 2 x x 503.4368142
n2 N x x x 2 x x x 225.651076
n2h N H x x 2 1 x x 228.8641641
ocs O C S x 1 1 1 x 337.675817
sio Si O x x 1 1 x x 184.8329169
clcn Cl C N x 1 1 1 x 285.8527399
hoo O H x x 2 1 x x 177.4645531
hcno C H N O 1 1 1 1 371.1325039
honc H O N C 1 1 1 1 351.4849897
hno N H O x 1 1 1 x 204.6024775
hof H O F x 1 1 1 x 156.1411025
c-hono O N H x 2 1 1 x 312.7091293
t-hono O N H x 2 1 1 x 313.2705177
cs2 S C x x 2 1 x x 282.5847935
hnnn N H x x 3 1 x x 339.4784363
cs C S x x 1 1 x x 167.7696823
cn C N x x 1 1 x x 178.8549519
so3 O S x x 3 1 x x 340.362391
ccl2 Cl C x x 2 1 x x 177.7315049
bn3pi B N x x 1 1 x x 111.1711556
so2 O S x x 2 1 x x 254.5152782
no N O x x 1 1 x x 153.7597587
so S O x x 1 1 x x 127.6615177
n2o N O x x 2 1 x x 276.0853423
c-hooo O H x x 3 1 x x 235.0175197
s2 S x x x 2 x x x 106.3286768
p4 P x x x 4 x x x 289.0050234
cl2 Cl x x x 2 x x x 58.83178861
o2 O x x x 2 x x x 125.1018446
f2 F x x x 2 x x x 36.52186147
t-hooo O H x x 3 1 x x 234.8630169
s2o S O x x 2 1 x x 205.0995997
p2 P x x x 2 x x x 112.7041553
clf Cl F x x 1 1 x x 61.65058703
no2 O N x x 2 1 x x 234.5891321
clo Cl O x x 1 1 x x 67.68859345
s3 S x x x 3 x x x 166.0846224
cl2o Cl O x x 2 1 x x 99.47333979
s4-c2v S x x x 4 x x x 231.7706539
of O F x x 1 1 x x 55.36178967
c2 C x x x 2 x x x 139.4227796
oclo O Cl x x 2 1 x x 131.1418838
f2o F O x x 2 1 x x 93.69296869
b2 B x x x 2 x x x 72.39933369
fo2 O F x x 2 1 x x 136.9041685
cloo O Cl x x 2 1 x x 128.9987866
foof F O x x 2 2 x x 154.5231447
o3 O x x x 3 x x x 144.1587709
bn B N x x 1 1 x x 99.99368122
be2 Be x x x 2 x x x 6.894407482
