xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.357921
pentane H C x x 12 5 x x 1601.193354
hexane H C x x 14 6 x x 1897.042975
heptane H C x x 16 7 x x 2192.898431
octane H C x x 18 8 x x 2488.750273
isobutane H C x x 10 4 x x 1306.449834
isopentane H C x x 12 5 x x 1601.707784
isohexane H C x x 14 6 x x 1897.530918
isoheptane H C x x 16 7 x x 2193.419225
isooctane H C x x 18 8 x x 2488.89722
neopentane H C x x 12 5 x x 1603.85891
neohexane H C x x 14 6 x x 1898.456078
neoheptane H C x x 16 7 x x 2194.255725
3methylpentane H C x x 14 6 x x 1896.821928
diisopropyl H C x x 14 6 x x 1897.143295
hexamethylethane H C x x 18 8 x x 2487.543846
h2 H x x x 2 x x x 107.3660553
alh3 H Al x x 3 1 x x 208.8057624
alh Al H x x 1 1 x x 70.43880574
sih4 H Si x x 4 1 x x 319.6971566
bh3 H B x x 3 1 x x 281.637615
bh B H x x 1 1 x x 82.15075482
ch2-trip H C x x 2 1 x x 194.3628363
sih H Si x x 1 1 x x 72.67485093
si2h6 H Si x x 6 2 x x 528.5388831
ch3 H C x x 3 1 x x 309.6813187
ch4 H C x x 4 1 x x 419.677373
b2h6 H B x x 6 2 x x 610.0069688
sih3f H F Si x 3 1 1 x 374.5714178
ph3 H P x x 3 1 x x 240.3706914
c2h6 H C x x 6 2 x x 713.6833114
propane H C x x 8 3 x x 1009.495409
ch2-sing H C x x 2 1 x x 184.5218595
ch C H x x 1 1 x x 83.87834201
h2s H S x x 2 1 x x 181.4271151
hs S H x x 1 1 x x 87.57859537
c2h5f H C F x 5 2 1 x 722.0006577
ch3nh2 H C N x 5 1 1 x 583.0630178
ch3f H F C x 3 1 1 x 422.3805463
propene H C x x 6 3 x x 863.5955812
nh3 H N x x 3 1 x x 297.1234289
ethanol H C O x 6 2 1 x 810.4959888
ch3nh H C N x 4 1 1 x 478.9519495
c2h4 H C x x 4 2 x x 564.5042552
methanol H C O x 4 1 1 x 511.8366037
hcl Cl H x x 1 1 x x 105.606292
nh2 H N x x 2 1 x x 184.5397499
nh N H x x 1 1 x x 85.94657605
ch2nh2 H C N x 4 1 1 x 486.8395255
bhf2 F B H x 2 1 1 x 408.1356644
h2o H O x x 2 1 x x 229.2577376
hf F H x x 1 1 x x 138.5366526
ch2ch H C x x 3 2 x x 449.640123
oh O H x x 1 1 x x 106.84239
propyne H C x x 4 3 x x 707.0021477
acetaldehyde H C O x 4 2 1 x 678.9313526
allene H C x x 4 3 x x 708.7228128
sif4 F Si x x 4 1 x x 556.9064572
bf3 F B x x 3 1 x x 465.4372594
c2h3f H C F x 3 2 1 x 575.340541
oxirane H C O x 4 2 1 x 653.9353051
ch2f2 H F C x 2 2 1 x 436.6064634
alf3 F Al x x 3 1 x x 415.0114462
bef2 F Be x x 2 1 x x 305.6413118
ch2c C H x x 2 2 x x 359.9007344
n2h4 H N x x 4 2 x x 439.8547018
ch2nh H C N x 3 1 1 x 440.0275865
alf Al F x x 1 1 x x 157.4471739
acetic H C O x 4 2 2 x 804.3596048
c2h2 C H x x 2 2 x x 404.3347017
h2co H O C x 2 1 1 x 373.6895227
h2cn H C N x 2 1 1 x 347.2096854
bf F B x x 1 1 x x 179.5653293
becl2 Cl Be x x 2 1 x x 226.015029
t-hcoh H C O x 2 1 1 x 320.5620158
alcl3 Cl Al x x 3 1 x x 303.4322314
c-hcoh H C O x 2 1 1 x 315.7547291
alcl Al Cl x x 1 1 x x 118.1543606
ketene C H O x 2 2 1 x 537.775868
sif F Si x x 1 1 x x 139.4636754
formic H O C x 2 2 1 x 501.0504333
hcnh H C N x 2 1 1 x 340.0727459
glyoxal C H O x 2 2 2 x 635.2394621
hcof C O H F 1 1 1 1 403.5098552
nh2cl H N Cl x 2 1 1 x 248.0006276
cf4 F C x x 4 1 x x 474.9747836
hccf C H F x 2 1 1 x 399.9177641
hcn H C N x 1 1 1 x 311.5013823
hnc H N C x 1 1 1 x 297.6144078
cch C H x x 2 1 x x 265.8792819
hco O C H x 1 1 1 x 281.1442837
co C O x x 1 1 x x 255.6011367
oxirene C H O x 2 2 1 x 457.5542983
f2co F O C x 2 1 1 x 420.7047699
hocn C N O H 1 1 1 1 410.2426842
hooh H O x x 2 2 x x 265.715406
t-n2h2 H N x x 2 2 x x 297.0310112
hnco C O N H 1 1 1 1 439.4723748
c-n2h2 H N x x 2 2 x x 291.5615099
cf2 F C x x 2 1 x x 257.5047596
co2 O C x x 2 1 x x 391.3326203
fccf F C x x 2 2 x x 389.7539494
dioxirane H O C x 2 2 1 x 408.9284901
cf C F x x 1 1 x x 134.5010711
ssh S H x x 2 1 x x 166.1495909
hocl O H Cl x 1 1 1 x 163.8059134
nccn N C x x 2 2 x x 503.4917111
n2 N x x x 2 x x x 225.6503415
n2h N H x x 2 1 x x 228.8555686
ocs O C S x 1 1 1 x 337.7104633
sio Si O x x 1 1 x x 184.8328681
clcn Cl C N x 1 1 1 x 285.9966761
hoo O H x x 2 1 x x 177.4936038
hcno C H N O 1 1 1 1 371.1503314
honc H O N C 1 1 1 1 351.6195554
hno N H O x 1 1 1 x 204.6315047
hof H O F x 1 1 1 x 156.1872997
c-hono O N H x 2 1 1 x 312.7790025
t-hono O N H x 2 1 1 x 313.3441576
cs2 S C x x 2 1 x x 282.5973445
hnnn N H x x 3 1 x x 339.5088576
cs C S x x 1 1 x x 167.770003
cn C N x x 1 1 x x 178.8542045
so3 O S x x 3 1 x x 340.5016317
ccl2 Cl C x x 2 1 x x 177.8173431
bn3pi B N x x 1 1 x x 111.1702832
so2 O S x x 2 1 x x 254.560319
no N O x x 1 1 x x 153.7594192
so S O x x 1 1 x x 127.6612545
n2o N O x x 2 1 x x 276.1743331
c-hooo O H x x 3 1 x x 235.1336481
s2 S x x x 2 x x x 106.3297581
p4 P x x x 4 x x x 288.9797177
cl2 Cl x x x 2 x x x 58.8386273
o2 O x x x 2 x x x 125.1015411
f2 F x x x 2 x x x 36.522749
t-hooo O H x x 3 1 x x 234.9881173
s2o S O x x 2 1 x x 205.1182241
p2 P x x x 2 x x x 112.7018865
clf Cl F x x 1 1 x x 61.65186586
no2 O N x x 2 1 x x 234.6271303
clo Cl O x x 1 1 x x 67.69022418
s3 S x x x 3 x x x 166.0792549
cl2o Cl O x x 2 1 x x 99.55987782
s4-c2v S x x x 4 x x x 231.7740862
of O F x x 1 1 x x 55.3626406
c2 C x x x 2 x x x 139.4217637
oclo O Cl x x 2 1 x x 131.1850663
f2o F O x x 2 1 x x 93.72929768
b2 B x x x 2 x x x 72.39579106
fo2 O F x x 2 1 x x 136.9928153
cloo O Cl x x 2 1 x x 129.1290296
foof F O x x 2 2 x x 154.5584393
o3 O x x x 3 x x x 144.1934782
bn B N x x 1 1 x x 99.9927414
be2 Be x x x 2 x x x 6.93771718
C4H4 C H x x 4 4 x x 805.6710792
C6H6 C H x x 6 6 x x 1267.14674
C8H8 C H x x 8 8 x x 1721.189563
C10H10 C H x x 10 10 x x 2212.563858
C12H12 C H x x 12 12 x x 2735.248632
C20H20 C H x x 20 20 x x 4650.419198
