xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1309.518828
pentane H C x x 12 5 x x 1606.414164
hexane H C x x 14 6 x x 1903.323858
heptane H C x x 16 7 x x 2200.240758
octane H C x x 18 8 x x 2497.154186
isobutane H C x x 10 4 x x 1310.617866
isopentane H C x x 12 5 x x 1607.026279
isohexane H C x x 14 6 x x 1903.917121
isoheptane H C x x 16 7 x x 2200.870585
isooctane H C x x 18 8 x x 2497.669881
neopentane H C x x 12 5 x x 1609.111066
neohexane H C x x 14 6 x x 1904.946097
neoheptane H C x x 16 7 x x 2201.819579
3methylpentane H C x x 14 6 x x 1903.328794
diisopropyl H C x x 14 6 x x 1903.724926
hexamethylethane H C x x 18 8 x x 2496.738045
h2 H x x x 2 x x x 107.4518731
alh3 H Al x x 3 1 x x 209.7241461
alh Al H x x 1 1 x x 70.97772083
sih4 H Si x x 4 1 x x 320.951066
bh3 H B x x 3 1 x x 282.3388136
bh B H x x 1 1 x x 82.46306172
ch2-trip H C x x 2 1 x x 194.8355194
sih H Si x x 1 1 x x 73.16766902
si2h6 H Si x x 6 2 x x 532.3190962
ch3 H C x x 3 1 x x 310.4552147
ch4 H C x x 4 1 x x 420.7464824
b2h6 H B x x 6 2 x x 612.3413869
sih3f H F Si x 3 1 1 x 375.5066221
ph3 H P x x 3 1 x x 241.6789874
c2h6 H C x x 6 2 x x 715.7519023
propane H C x x 8 3 x x 1012.601646
ch2-sing H C x x 2 1 x x 185.0232951
ch C H x x 1 1 x x 84.13836727
h2s H S x x 2 1 x x 182.250907
hs S H x x 1 1 x x 87.97373886
c2h5f H C F x 5 2 1 x 723.6784346
ch3nh2 H C N x 5 1 1 x 584.8450081
ch3f H F C x 3 1 1 x 423.1045738
propene H C x x 6 3 x x 866.7335709
nh3 H N x x 3 1 x x 297.8448557
ethanol H C O x 6 2 1 x 812.5873729
ch3nh H C N x 4 1 1 x 480.6104301
c2h4 H C x x 4 2 x x 566.3405192
methanol H C O x 4 1 1 x 512.9894251
hcl Cl H x x 1 1 x x 105.9490937
nh2 H N x x 2 1 x x 184.988076
nh N H x x 1 1 x x 86.14467873
ch2nh2 H C N x 4 1 1 x 488.4847257
bhf2 F B H x 2 1 1 x 408.5676098
h2o H O x x 2 1 x x 229.603551
hf F H x x 1 1 x x 138.6463718
ch2ch H C x x 3 2 x x 451.1889862
oh O H x x 1 1 x x 106.9924178
propyne H C x x 4 3 x x 709.6551688
acetaldehyde H C O x 4 2 1 x 680.9021545
allene H C x x 4 3 x x 711.531659
sif4 F Si x x 4 1 x x 558.0917077
bf3 F B x x 3 1 x x 466.2278905
c2h3f H C F x 3 2 1 x 576.9687802
oxirane H C O x 4 2 1 x 655.7776003
ch2f2 H F C x 2 2 1 x 437.2761661
alf3 F Al x x 3 1 x x 415.9268016
bef2 F Be x x 2 1 x x 306.1481239
ch2c C H x x 2 2 x x 361.3471399
n2h4 H N x x 4 2 x x 441.3416036
ch2nh H C N x 3 1 1 x 441.4954815
alf Al F x x 1 1 x x 158.0198807
acetic H C O x 4 2 2 x 806.6053364
c2h2 C H x x 2 2 x x 405.5149186
h2co H O C x 2 1 1 x 374.549697
h2cn H C N x 2 1 1 x 348.4080348
bf F B x x 1 1 x x 179.9302509
becl2 Cl Be x x 2 1 x x 228.0107376
t-hcoh H C O x 2 1 1 x 321.4637697
alcl3 Cl Al x x 3 1 x x 307.2299978
c-hcoh H C O x 2 1 1 x 316.7001633
alcl Al Cl x x 1 1 x x 119.907961
ketene C H O x 2 2 1 x 539.472055
sif F Si x x 1 1 x x 140.0184238
formic H O C x 2 2 1 x 502.2627549
hcnh H C N x 2 1 1 x 341.2234675
glyoxal C H O x 2 2 2 x 637.1128977
hcof C O H F 1 1 1 1 404.3564252
nh2cl H N Cl x 2 1 1 x 249.4379073
cf4 F C x x 4 1 x x 476.2067746
hccf C H F x 2 1 1 x 401.079588
hcn H C N x 1 1 1 x 312.2994858
hnc H N C x 1 1 1 x 298.5271704
cch C H x x 2 1 x x 266.86701
