xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.336894
pentane H C x x 12 5 x x 1594.227094
hexane H C x x 14 6 x x 1888.121579
heptane H C x x 16 7 x x 2182.018316
octane H C x x 18 8 x x 2475.913716
isobutane H C x x 10 4 x x 1300.848314
isopentane H C x x 12 5 x x 1593.820058
isohexane H C x x 14 6 x x 1887.628647
isoheptane H C x x 16 7 x x 2181.532152
isooctane H C x x 18 8 x x 2472.00363
neopentane H C x x 12 5 x x 1595.049194
neohexane H C x x 14 6 x x 1886.971512
neoheptane H C x x 16 7 x x 2180.678767
3methylpentane H C x x 14 6 x x 1886.648055
diisopropyl H C x x 14 6 x x 1886.223353
hexamethylethane H C x x 18 8 x x 2468.579012
h2 H x x x 2 x x x 107.366039
alh3 H Al x x 3 1 x x 208.5013868
alh Al H x x 1 1 x x 70.43536877
sih4 H Si x x 4 1 x x 318.9988868
bh3 H B x x 3 1 x x 281.4753051
bh B H x x 1 1 x x 82.14991805
ch2-trip H C x x 2 1 x x 194.3223638
sih H Si x x 1 1 x x 72.67363065
si2h6 H Si x x 6 2 x x 526.4716547
ch3 H C x x 3 1 x x 309.6044752
ch4 H C x x 4 1 x x 419.5732838
b2h6 H B x x 6 2 x x 608.657885
sih3f H F Si x 3 1 1 x 373.4259925
ph3 H P x x 3 1 x x 240.2079224
c2h6 H C x x 6 2 x x 712.3919389
propane H C x x 8 3 x x 1006.373139
ch2-sing H C x x 2 1 x x 184.507821
ch C H x x 1 1 x x 83.87795422
h2s H S x x 2 1 x x 181.3918284
hs S H x x 1 1 x x 87.57732283
c2h5f H C F x 5 2 1 x 720.1150258
ch3nh2 H C N x 5 1 1 x 582.1526977
ch3f H F C x 3 1 1 x 421.8037935
propene H C x x 6 3 x x 861.700294
nh3 H N x x 3 1 x x 297.098295
ethanol H C O x 6 2 1 x 808.2237054
ch3nh H C N x 4 1 1 x 478.399946
c2h4 H C x x 4 2 x x 563.9030118
methanol H C O x 4 1 1 x 511.0733259
hcl Cl H x x 1 1 x x 105.6046989
nh2 H N x x 2 1 x x 184.5318284
nh N H x x 1 1 x x 85.94634883
ch2nh2 H C N x 4 1 1 x 486.2461936
bhf2 F B H x 2 1 1 x 407.4777178
h2o H O x x 2 1 x x 229.2524262
hf F H x x 1 1 x x 138.5363107
ch2ch H C x x 3 2 x x 449.2835415
oh O H x x 1 1 x x 106.8420305
propyne H C x x 4 3 x x 706.0990845
acetaldehyde H C O x 4 2 1 x 677.5567131
allene H C x x 4 3 x x 707.8532539
sif4 F Si x x 4 1 x x 555.4397018
bf3 F B x x 3 1 x x 464.9787155
c2h3f H C F x 3 2 1 x 574.3754571
oxirane H C O x 4 2 1 x 652.6933676
ch2f2 H F C x 2 2 1 x 435.8161487
alf3 F Al x x 3 1 x x 414.3589222
bef2 F Be x x 2 1 x x 305.4100072
ch2c C H x x 2 2 x x 359.7683361
n2h4 H N x x 4 2 x x 439.2696682
ch2nh H C N x 3 1 1 x 439.704563
alf Al F x x 1 1 x x 157.4426976
acetic H C O x 4 2 2 x 802.2242036
c2h2 C H x x 2 2 x x 404.115983
h2co H O C x 2 1 1 x 373.422723
h2cn H C N x 2 1 1 x 347.0810805
bf F B x x 1 1 x x 179.5645271
becl2 Cl Be x x 2 1 x x 225.3509864
t-hcoh H C O x 2 1 1 x 320.3759263
alcl3 Cl Al x x 3 1 x x 301.423207
c-hcoh H C O x 2 1 1 x 315.5953133
alcl Al Cl x x 1 1 x x 118.1316585
ketene C H O x 2 2 1 x 537.2110622
sif F Si x x 1 1 x x 139.4605176
formic H O C x 2 2 1 x 500.3581675
hcnh H C N x 2 1 1 x 339.9167538
glyoxal C H O x 2 2 2 x 633.8019419
hcof C O H F 1 1 1 1 403.0889203
nh2cl H N Cl x 2 1 1 x 247.7217884
cf4 F C x x 4 1 x x 474.332788
hccf C H F x 2 1 1 x 399.5643828
hcn H C N x 1 1 1 x 311.4051566
hnc H N C x 1 1 1 x 297.5393249
cch C H x x 2 1 x x 265.7717006
hco O C H x 1 1 1 x 281.0166939
co C O x x 1 1 x x 255.6006503
oxirene C H O x 2 2 1 x 456.8144015
f2co F O C x 2 1 1 x 420.3438191
hocn C N O H 1 1 1 1 409.82347
hooh H O x x 2 2 x x 265.4773828
t-n2h2 H N x x 2 2 x x 296.8863826
hnco C O N H 1 1 1 1 439.1169258
c-n2h2 H N x x 2 2 x x 291.462455
cf2 F C x x 2 1 x x 257.42618
co2 O C x x 2 1 x x 391.2089722
fccf F C x x 2 2 x x 389.2600824
dioxirane H O C x 2 2 1 x 408.3252676
cf C F x x 1 1 x x 134.4996053
ssh S H x x 2 1 x x 165.9178507
hocl O H Cl x 1 1 1 x 163.7060225
nccn N C x x 2 2 x x 503.0035929
n2 N x x x 2 x x x 225.6500867
n2h N H x x 2 1 x x 228.8266307
ocs O C S x 1 1 1 x 337.518812
sio Si O x x 1 1 x x 184.8306152
clcn Cl C N x 1 1 1 x 285.6124717
hoo O H x x 2 1 x x 177.4353539
hcno C H N O 1 1 1 1 370.8342188
honc H O N C 1 1 1 1 351.1302727
hno N H O x 1 1 1 x 204.5725649
hof H O F x 1 1 1 x 156.096032
c-hono O N H x 2 1 1 x 312.530134
t-hono O N H x 2 1 1 x 313.0602721
cs2 S C x x 2 1 x x 282.285187
hnnn N H x x 3 1 x x 339.189589
cs C S x x 1 1 x x 167.7673293
cn C N x x 1 1 x x 178.8538043
so3 O S x x 3 1 x x 339.9561272
ccl2 Cl C x x 2 1 x x 177.5806025
bn3pi B N x x 1 1 x x 111.1691962
so2 O S x x 2 1 x x 254.3708104
no N O x x 1 1 x x 153.758789
so S O x x 1 1 x x 127.6596796
n2o N O x x 2 1 x x 276.0143439
c-hooo O H x x 3 1 x x 234.7887512
s2 S x x x 2 x x x 106.3235915
p4 P x x x 4 x x x 288.9151602
cl2 Cl x x x 2 x x x 58.82332681
o2 O x x x 2 x x x 125.1008545
f2 F x x x 2 x x x 36.51886892
t-hooo O H x x 3 1 x x 234.6210354
s2o S O x x 2 1 x x 204.8403179
p2 P x x x 2 x x x 112.6978807
clf Cl F x x 1 1 x x 61.64667911
no2 O N x x 2 1 x x 234.543623
clo Cl O x x 1 1 x x 67.68599796
