xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1294.24783
pentane H C x x 12 5 x x 1587.822597
hexane H C x x 14 6 x x 1881.417581
heptane H C x x 16 7 x x 2175.012929
octane H C x x 18 8 x x 2468.601635
isobutane H C x x 10 4 x x 1295.460958
isopentane H C x x 12 5 x x 1588.638063
isohexane H C x x 14 6 x x 1882.210176
isoheptane H C x x 16 7 x x 2175.835142
isooctane H C x x 18 8 x x 2469.731666
neopentane H C x x 12 5 x x 1590.847095
neohexane H C x x 14 6 x x 1883.487621
neoheptane H C x x 16 7 x x 2177.03664
3methylpentane H C x x 14 6 x x 1881.716
diisopropyl H C x x 14 6 x x 1882.311417
hexamethylethane H C x x 18 8 x x 2469.324878
h2 H x x x 2 x x x 104.7870008
alh3 H Al x x 3 1 x x 207.5802489
alh Al H x x 1 1 x x 71.28056401
sih4 H Si x x 4 1 x x 318.3685804
bh3 H B x x 3 1 x x 279.8678415
bh B H x x 1 1 x x 82.56382105
ch2-trip H C x x 2 1 x x 187.9364599
sih H Si x x 1 1 x x 72.85545927
si2h6 H Si x x 6 2 x x 527.3026231
ch3 H C x x 3 1 x x 304.4798675
ch4 H C x x 4 1 x x 415.3603463
b2h6 H B x x 6 2 x x 605.1369492
sih3f H F Si x 3 1 1 x 375.2609772
ph3 H P x x 3 1 x x 240.5282438
c2h6 H C x x 6 2 x x 707.0501709
propane H C x x 8 3 x x 1000.640513
ch2-sing H C x x 2 1 x x 181.3900193
ch C H x x 1 1 x x 83.28729446
h2s H S x x 2 1 x x 180.491776
hs S H x x 1 1 x x 86.95701544
c2h5f H C F x 5 2 1 x 717.3366111
ch3nh2 H C N x 5 1 1 x 579.6935145
ch3f H F C x 3 1 1 x 420.0215639
propene H C x x 6 3 x x 857.0443615
nh3 H N x x 3 1 x x 295.7233446
ethanol H C O x 6 2 1 x 805.4805057
ch3nh H C N x 4 1 1 x 475.980719
c2h4 H C x x 4 2 x x 560.3915355
methanol H C O x 4 1 1 x 509.1804901
hcl Cl H x x 1 1 x x 104.7768103
nh2 H N x x 2 1 x x 183.1180006
nh N H x x 1 1 x x 84.6927473
ch2nh2 H C N x 4 1 1 x 483.1911813
bhf2 F B H x 2 1 1 x 409.6263943
h2o H O x x 2 1 x x 228.4971391
hf F H x x 1 1 x x 137.9801628
ch2ch H C x x 3 2 x x 444.9440293
oh O H x x 1 1 x x 106.3287208
propyne H C x x 4 3 x x 702.3000559
acetaldehyde H C O x 4 2 1 x 676.4060124
allene H C x x 4 3 x x 704.1483368
sif4 F Si x x 4 1 x x 563.7379077
bf3 F B x x 3 1 x x 468.9821259
c2h3f H C F x 3 2 1 x 572.916094
oxirane H C O x 4 2 1 x 649.6136225
ch2f2 H F C x 2 2 1 x 436.243776
alf3 F Al x x 3 1 x x 420.4067511
bef2 F Be x x 2 1 x x 308.0579981
ch2c C H x x 2 2 x x 359.7460766
n2h4 H N x x 4 2 x x 439.547213
ch2nh H C N x 3 1 1 x 439.3418293
alf Al F x x 1 1 x x 160.535947
acetic H C O x 4 2 2 x 802.8225665
c2h2 C H x x 2 2 x x 402.2484997
h2co H O C x 2 1 1 x 373.7578172
h2cn H C N x 2 1 1 x 346.8222583
bf F B x x 1 1 x x 182.207506
becl2 Cl Be x x 2 1 x x 228.5465672
t-hcoh H C O x 2 1 1 x 321.6851229
alcl3 Cl Al x x 3 1 x x 308.6337604
c-hcoh H C O x 2 1 1 x 317.1120905
alcl Al Cl x x 1 1 x x 121.4064033
ketene C H O x 2 2 1 x 536.9782008
sif F Si x x 1 1 x x 142.0112285
formic H O C x 2 2 1 x 502.1997101
hcnh H C N x 2 1 1 x 339.4240941
glyoxal C H O x 2 2 2 x 637.3269056
hcof C O H F 1 1 1 1 405.1399504
