xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1289.80941
pentane H C x x 12 5 x x 1581.77419
hexane H C x x 14 6 x x 1873.74789
heptane H C x x 16 7 x x 2165.719268
octane H C x x 18 8 x x 2457.68908
isobutane H C x x 10 4 x x 1290.484034
isopentane H C x x 12 5 x x 1581.641841
isohexane H C x x 14 6 x x 1873.536444
isoheptane H C x x 16 7 x x 2165.516074
isooctane H C x x 18 8 x x 2454.870832
neopentane H C x x 12 5 x x 1583.052001
neohexane H C x x 14 6 x x 1873.244517
neoheptane H C x x 16 7 x x 2165.046916
3methylpentane H C x x 14 6 x x 1872.655212
diisopropyl H C x x 14 6 x x 1872.425013
hexamethylethane H C x x 18 8 x x 2451.807909
h2 H x x x 2 x x x 104.7865559
alh3 H Al x x 3 1 x x 207.4133086
alh Al H x x 1 1 x x 71.2753341
sih4 H Si x x 4 1 x x 317.7131816
bh3 H B x x 3 1 x x 279.3170268
bh B H x x 1 1 x x 82.56259409
ch2-trip H C x x 2 1 x x 187.7741755
sih H Si x x 1 1 x x 72.85330953
si2h6 H Si x x 6 2 x x 525.5541406
ch3 H C x x 3 1 x x 304.160918
ch4 H C x x 4 1 x x 414.9626862
b2h6 H B x x 6 2 x x 602.1492006
sih3f H F Si x 3 1 1 x 374.3947161
ph3 H P x x 3 1 x x 239.9760145
c2h6 H C x x 6 2 x x 705.7032664
propane H C x x 8 3 x x 997.7583778
ch2-sing H C x x 2 1 x x 181.340669
ch C H x x 1 1 x x 83.28655168
h2s H S x x 2 1 x x 180.3518692
hs S H x x 1 1 x x 86.95594742
c2h5f H C F x 5 2 1 x 715.8554148
ch3nh2 H C N x 5 1 1 x 578.7306431
ch3f H F C x 3 1 1 x 419.6207516
propene H C x x 6 3 x x 855.3099049
nh3 H N x x 3 1 x x 295.6443544
ethanol H C O x 6 2 1 x 803.6411719
ch3nh H C N x 4 1 1 x 475.2956886
c2h4 H C x x 4 2 x x 559.7503244
