xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1299.881123
pentane H C x x 12 5 x x 1594.861783
hexane H C x x 14 6 x x 1889.859929
heptane H C x x 16 7 x x 2184.869736
octane H C x x 18 8 x x 2479.866594
isobutane H C x x 10 4 x x 1301.21182
isopentane H C x x 12 5 x x 1595.876095
isohexane H C x x 14 6 x x 1890.876398
isoheptane H C x x 16 7 x x 2185.922057
isooctane H C x x 18 8 x x 2481.875254
neopentane H C x x 12 5 x x 1598.304081
neohexane H C x x 14 6 x x 1892.545116
neoheptane H C x x 16 7 x x 2187.551845
3methylpentane H C x x 14 6 x x 1890.455429
diisopropyl H C x x 14 6 x x 1891.223452
hexamethylethane H C x x 18 8 x x 2482.154767
h2 H x x x 2 x x x 105.633688
alh3 H Al x x 3 1 x x 208.3207404
alh Al H x x 1 1 x x 71.56951529
sih4 H Si x x 4 1 x x 319.3986608
bh3 H B x x 3 1 x x 280.0620937
bh B H x x 1 1 x x 82.79686023
ch2-trip H C x x 2 1 x x 188.8357049
sih H Si x x 1 1 x x 73.10287472
si2h6 H Si x x 6 2 x x 529.59977
ch3 H C x x 3 1 x x 305.6282322
ch4 H C x x 4 1 x x 417.0760134
b2h6 H B x x 6 2 x x 606.3105272
sih3f H F Si x 3 1 1 x 376.2670055
ph3 H P x x 3 1 x x 241.4365303
c2h6 H C x x 6 2 x x 709.9612394
propane H C x x 8 3 x x 1004.911212
ch2-sing H C x x 2 1 x x 181.6240017
ch C H x x 1 1 x x 83.24897969
h2s H S x x 2 1 x x 181.8338547
hs S H x x 1 1 x x 87.43251275
c2h5f H C F x 5 2 1 x 719.7138949
ch3nh2 H C N x 5 1 1 x 579.9956793
ch3f H F C x 3 1 1 x 421.2158551
propene H C x x 6 3 x x 860.5021759
nh3 H N x x 3 1 x x 295.0403183
ethanol H C O x 6 2 1 x 807.2979501
ch3nh H C N x 4 1 1 x 475.5788081
c2h4 H C x x 4 2 x x 562.5233434
methanol H C O x 4 1 1 x 509.8334836
hcl Cl H x x 1 1 x x 105.8292949
nh2 H N x x 2 1 x x 181.701356
nh N H x x 1 1 x x 83.5554249
ch2nh2 H C N x 4 1 1 x 482.94419
bhf2 F B H x 2 1 1 x 408.7888061
h2o H O x x 2 1 x x 228.4424482
hf F H x x 1 1 x x 138.7597817
ch2ch H C x x 3 2 x x 446.5854675
oh O H x x 1 1 x x 105.589775
propyne H C x x 4 3 x x 705.4415084
acetaldehyde H C O x 4 2 1 x 677.6557978
allene H C x x 4 3 x x 706.9794959
sif4 F Si x x 4 1 x x 564.6245536
bf3 F B x x 3 1 x x 467.8757166
c2h3f H C F x 3 2 1 x 574.6922325
oxirane H C O x 4 2 1 x 652.9347036
ch2f2 H F C x 2 2 1 x 437.038711
alf3 F Al x x 3 1 x x 421.0304099
bef2 F Be x x 2 1 x x 306.4409083
ch2c C H x x 2 2 x x 360.5824422
n2h4 H N x x 4 2 x x 437.3700115
ch2nh H C N x 3 1 1 x 439.0318732
alf Al F x x 1 1 x x 160.1810418
acetic H C O x 4 2 2 x 803.429931
c2h2 C H x x 2 2 x x 404.0655841
h2co H O C x 2 1 1 x 373.8345058
h2cn H C N x 2 1 1 x 345.9449908
bf F B x x 1 1 x x 181.5392149
becl2 Cl Be x x 2 1 x x 226.9874996
t-hcoh H C O x 2 1 1 x 320.9534505
alcl3 Cl Al x x 3 1 x x 308.5047082
c-hcoh H C O x 2 1 1 x 316.4308467
alcl Al Cl x x 1 1 x x 120.9562575
ketene C H O x 2 2 1 x 538.2165373
sif F Si x x 1 1 x x 141.7079899
formic H O C x 2 2 1 x 501.5875292
hcnh H C N x 2 1 1 x 338.4510144
glyoxal C H O x 2 2 2 x 636.6183647
hcof C O H F 1 1 1 1 405.1750741
nh2cl H N Cl x 2 1 1 x 247.2803527
cf4 F C x x 4 1 x x 479.1276201
hccf C H F x 2 1 1 x 401.1381441
hcn H C N x 1 1 1 x 312.3922432
hnc H N C x 1 1 1 x 298.6821593
cch C H x x 2 1 x x 263.8847051
hco O C H x 1 1 1 x 280.9383133
co C O x x 1 1 x x 258.39145
oxirene C H O x 2 2 1 x 458.1492954
f2co F O C x 2 1 1 x 424.2631456
hocn C N O H 1 1 1 1 411.6989178
hooh H O x x 2 2 x x 265.1178948
t-n2h2 H N x x 2 2 x x 296.8486611
hnco C O N H 1 1 1 1 440.9393056
c-n2h2 H N x x 2 2 x x 291.6540164
cf2 F C x x 2 1 x x 260.9174817
co2 O C x x 2 1 x x 394.564328
fccf F C x x 2 2 x x 392.4382945
dioxirane H O C x 2 2 1 x 409.2847912
cf C F x x 1 1 x x 135.832861
ssh S H x x 2 1 x x 168.4583243
hocl O H Cl x 1 1 1 x 164.2013388
nccn N C x x 2 2 x x 506.5784291
n2 N x x x 2 x x x 228.2044039
n2h N H x x 2 1 x x 228.7641995
ocs O C S x 1 1 1 x 341.7019284
sio Si O x x 1 1 x x 188.4088096
clcn Cl C N x 1 1 1 x 288.6116834
hoo O H x x 2 1 x x 177.4237225
hcno C H N O 1 1 1 1 372.0671148
honc H O N C 1 1 1 1 353.0348267
hno N H O x 1 1 1 x 205.4036349
hof H O F x 1 1 1 x 156.3366631
c-hono O N H x 2 1 1 x 314.3875115
t-hono O N H x 2 1 1 x 314.9530581
cs2 S C x x 2 1 x x 287.5273573
hnnn N H x x 3 1 x x 340.8923124
cs C S x x 1 1 x x 171.7525806
cn C N x x 1 1 x x 179.904269
so3 O S x x 3 1 x x 345.4849531
ccl2 Cl C x x 2 1 x x 181.1839447
bn3pi B N x x 1 1 x x 107.9360631
so2 O S x x 2 1 x x 258.0399505
no N O x x 1 1 x x 155.3921359
so S O x x 1 1 x x 129.3803121
n2o N O x x 2 1 x x 279.1976569
c-hooo O H x x 3 1 x x 235.1856481
s2 S x x x 2 x x x 109.5585181
p4 P x x x 4 x x x 304.0654757
cl2 Cl x x x 2 x x x 60.27401029
o2 O x x x 2 x x x 127.3643488
f2 F x x x 2 x x x 37.34927607
t-hooo O H x x 3 1 x x 235.0693808
s2o S O x x 2 1 x x 209.6001819
p2 P x x x 2 x x x 119.3426475
clf Cl F x x 1 1 x x 62.97351945
no2 O N x x 2 1 x x 236.8446085
clo Cl O x x 1 1 x x 68.68587798
s3 S x x x 3 x x x 171.5429341
cl2o Cl O x x 2 1 x x 101.0312742
s4-c2v S x x x 4 x x x 237.7237973
of O F x x 1 1 x x 55.92885534
c2 C x x x 2 x x x 138.4779909
oclo O Cl x x 2 1 x x 133.15197
f2o F O x x 2 1 x x 94.94743572
b2 B x x x 2 x x x 63.0522463
fo2 O F x x 2 1 x x 138.179824
cloo O Cl x x 2 1 x x 130.6206844
foof F O x x 2 2 x x 155.648828
o3 O x x x 3 x x x 144.1056621
bn B N x x 1 1 x x 97.8119453
be2 Be x x x 2 x x x 5.542785973
