xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 106.998274
alh3 H Al x x 3 1 x x 209.0899298
alh Al H x x 1 1 x x 71.97631417
sih4 H Si x x 4 1 x x 320.7346142
bh3 H B x x 3 1 x x 282.1287781
bh B H x x 1 1 x x 82.9776103
ch2-trip H C x x 2 1 x x 189.7734854
sih H Si x x 1 1 x x 73.85979711
si2h6 H Si x x 6 2 x x 529.6238118
ch3 H C x x 3 1 x x 306.5221787
ch4 H C x x 4 1 x x 418.273365
b2h6 H B x x 6 2 x x 606.805772
sih3f H F Si x 3 1 1 x 375.1597032
ph3 H P x x 3 1 x x 243.5795575
c2h6 H C x x 6 2 x x 709.7904664
propane H C x x 8 3 x x 1002.429171
ch2-sing H C x x 2 1 x x 182.5741841
ch C H x x 1 1 x x 83.51739303
h2s H S x x 2 1 x x 182.8216074
hs S H x x 1 1 x x 88.27672164
c2h5f H C F x 5 2 1 x 717.2305261
ch3nh2 H C N x 5 1 1 x 580.9626265
ch3f H F C x 3 1 1 x 420.3221609
propene H C x x 6 3 x x 858.5296057
nh3 H N x x 3 1 x x 297.1619956
ethanol H C O x 6 2 1 x 806.0601857
ch3nh H C N x 4 1 1 x 476.4486799
c2h4 H C x x 4 2 x x 562.2464949
methanol H C O x 4 1 1 x 510.2615372
hcl Cl H x x 1 1 x x 105.8222948
nh2 H N x x 2 1 x x 183.7167485
nh N H x x 1 1 x x 84.66293534
ch2nh2 H C N x 4 1 1 x 483.6802019
bhf2 F B H x 2 1 1 x 407.3994988
h2o H O x x 2 1 x x 229.6790407
hf F H x x 1 1 x x 138.245859
ch2ch H C x x 3 2 x x 446.0287562
oh O H x x 1 1 x x 106.9041154
propyne H C x x 4 3 x x 703.710423
acetaldehyde H C O x 4 2 1 x 676.3522438
allene H C x x 4 3 x x 705.1225982
sif4 F Si x x 4 1 x x 556.7361123
bf3 F B x x 3 1 x x 464.8805643
c2h3f H C F x 3 2 1 x 572.0885038
oxirane H C O x 4 2 1 x 650.3591786
ch2f2 H F C x 2 2 1 x 434.003358
alf3 F Al x x 3 1 x x 414.5493371
bef2 F Be x x 2 1 x x 305.7574012
ch2c C H x x 2 2 x x 359.7004064
