xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1297.467463
pentane H C x x 12 5 x x 1590.250346
hexane H C x x 14 6 x x 1883.063478
heptane H C x x 16 7 x x 2175.873023
octane H C x x 18 8 x x 2468.678082
isobutane H C x x 10 4 x x 1298.781027
isopentane H C x x 12 5 x x 1591.255261
isohexane H C x x 14 6 x x 1884.082818
isoheptane H C x x 16 7 x x 2176.940599
isooctane H C x x 18 8 x x 2470.758672
neopentane H C x x 12 5 x x 1593.62679
neohexane H C x x 14 6 x x 1885.674756
neoheptane H C x x 16 7 x x 2178.528055
3methylpentane H C x x 14 6 x x 1883.665218
diisopropyl H C x x 14 6 x x 1884.362315
hexamethylethane H C x x 18 8 x x 2470.763614
h2 H x x x 2 x x x 111.991078
alh3 H Al x x 3 1 x x 214.3262497
alh Al H x x 1 1 x x 73.90819121
sih4 H Si x x 4 1 x x 324.0475649
bh3 H B x x 3 1 x x 284.0876928
bh B H x x 1 1 x x 85.2175539
ch2-trip H C x x 2 1 x x 193.7895339
sih H Si x x 1 1 x x 74.67734969
si2h6 H Si x x 6 2 x x 531.7074061
ch3 H C x x 3 1 x x 310.3312646
ch4 H C x x 4 1 x x 421.2809837
b2h6 H B x x 6 2 x x 609.5600752
sih3f H F Si x 3 1 1 x 379.2680732
ph3 H P x x 3 1 x x 242.3749282
c2h6 H C x x 6 2 x x 711.9384291
propane H C x x 8 3 x x 1004.665244
ch2-sing H C x x 2 1 x x 185.5945693
ch C H x x 1 1 x x 85.66557749
h2s H S x x 2 1 x x 181.6417365
hs S H x x 1 1 x x 87.46565827
c2h5f H C F x 5 2 1 x 720.871829
ch3nh2 H C N x 5 1 1 x 581.2595783
ch3f H F C x 3 1 1 x 424.6073283
propene H C x x 6 3 x x 859.8583529
nh3 H N x x 3 1 x x 298.0476225
ethanol H C O x 6 2 1 x 807.2529758
ch3nh H C N x 4 1 1 x 477.3272617
c2h4 H C x x 4 2 x x 564.0695556
methanol H C O x 4 1 1 x 512.084537
hcl Cl H x x 1 1 x x 105.9534474
nh2 H N x x 2 1 x x 184.6142859
nh N H x x 1 1 x x 86.00494655
ch2nh2 H C N x 4 1 1 x 484.8042874
bhf2 F B H x 2 1 1 x 409.6337226
h2o H O x x 2 1 x x 231.8603142
hf F H x x 1 1 x x 142.8213706
ch2ch H C x x 3 2 x x 449.1226328
oh O H x x 1 1 x x 107.2478699
propyne H C x x 4 3 x x 703.854421
acetaldehyde H C O x 4 2 1 x 677.2720805
allene H C x x 4 3 x x 706.4804612
sif4 F Si x x 4 1 x x 561.073491
bf3 F B x x 3 1 x x 466.2091628
c2h3f H C F x 3 2 1 x 575.615961
oxirane H C O x 4 2 1 x 650.5073935
ch2f2 H F C x 2 2 1 x 439.1471161
alf3 F Al x x 3 1 x x 421.980491
bef2 F Be x x 2 1 x x 308.3859443
ch2c C H x x 2 2 x x 361.4327808
n2h4 H N x x 4 2 x x 438.0854332
ch2nh H C N x 3 1 1 x 440.0766257
alf Al F x x 1 1 x x 161.2426051
acetic H C O x 4 2 2 x 800.3527922
c2h2 C H x x 2 2 x x 404.7574777
h2co H O C x 2 1 1 x 375.6258667
h2cn H C N x 2 1 1 x 347.0369925
bf F B x x 1 1 x x 182.4129663
becl2 Cl Be x x 2 1 x x 219.0870609
t-hcoh H C O x 2 1 1 x 322.8509186
alcl3 Cl Al x x 3 1 x x 294.2580185
c-hcoh H C O x 2 1 1 x 318.7036756
alcl Al Cl x x 1 1 x x 117.0787473
ketene C H O x 2 2 1 x 537.4432773
sif F Si x x 1 1 x x 142.5195577
formic H O C x 2 2 1 x 501.1955223
hcnh H C N x 2 1 1 x 340.3088744
glyoxal C H O x 2 2 2 x 634.2055393
hcof C O H F 1 1 1 1 406.2100199
nh2cl H N Cl x 2 1 1 x 246.1783719
cf4 F C x x 4 1 x x 476.6060698
hccf C H F x 2 1 1 x 401.1152345
hcn H C N x 1 1 1 x 312.1297719
hnc H N C x 1 1 1 x 297.764937
cch C H x x 2 1 x x 265.5161127
hco O C H x 1 1 1 x 282.9328141
co C O x x 1 1 x x 257.3409084
oxirene C H O x 2 2 1 x 457.6145978
f2co F O C x 2 1 1 x 423.0619384
hocn C N O H 1 1 1 1 409.4562653
hooh H O x x 2 2 x x 269.6298955
t-n2h2 H N x x 2 2 x x 297.6267874
hnco C O N H 1 1 1 1 439.4447597
c-n2h2 H N x x 2 2 x x 292.8370061
cf2 F C x x 2 1 x x 263.3300933
co2 O C x x 2 1 x x 392.9036093
fccf F C x x 2 2 x x 391.7382215
dioxirane H O C x 2 2 1 x 410.4224852
cf C F x x 1 1 x x 138.3826858
ssh S H x x 2 1 x x 163.1028583
hocl O H Cl x 1 1 1 x 164.7627647
nccn N C x x 2 2 x x 501.9715029
n2 N x x x 2 x x x 225.6067104
n2h N H x x 2 1 x x 229.1777692
ocs O C S x 1 1 1 x 337.1951808
sio Si O x x 1 1 x x 189.1315964
clcn Cl C N x 1 1 1 x 283.6317317
hoo O H x x 2 1 x x 181.2940272
hcno C H N O 1 1 1 1 374.6420344
honc H O N C 1 1 1 1 352.1478135
hno N H O x 1 1 1 x 207.5679423
hof H O F x 1 1 1 x 162.5495617
c-hono O N H x 2 1 1 x 317.8639953
t-hono O N H x 2 1 1 x 319.0445465
cs2 S C x x 2 1 x x 280.3470773
hnnn N H x x 3 1 x x 341.8788518
cs C S x x 1 1 x x 169.4763817
cn C N x x 1 1 x x 182.7825657
so3 O S x x 3 1 x x 341.1996177
ccl2 Cl C x x 2 1 x x 176.946889
