xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1295.774455
pentane H C x x 12 5 x x 1589.181844
hexane H C x x 14 6 x x 1882.610321
heptane H C x x 16 7 x x 2176.038688
octane H C x x 18 8 x x 2469.461245
isobutane H C x x 10 4 x x 1296.938963
isopentane H C x x 12 5 x x 1589.910826
isohexane H C x x 14 6 x x 1883.319276
isoheptane H C x x 16 7 x x 2176.779043
isooctane H C x x 18 8 x x 2470.287419
neopentane H C x x 12 5 x x 1592.062748
neohexane H C x x 14 6 x x 1884.467876
neoheptane H C x x 16 7 x x 2177.857459
3methylpentane H C x x 14 6 x x 1882.787255
diisopropyl H C x x 14 6 x x 1883.297081
hexamethylethane H C x x 18 8 x x 2469.643319
h2 H x x x 2 x x x 106.9258791
alh3 H Al x x 3 1 x x 209.5767651
alh Al H x x 1 1 x x 71.87012212
sih4 H Si x x 4 1 x x 320.5579216
bh3 H B x x 3 1 x x 281.5069488
bh B H x x 1 1 x x 83.07430751
ch2-trip H C x x 2 1 x x 189.5562074
sih H Si x x 1 1 x x 73.40631212
si2h6 H Si x x 6 2 x x 529.6256908
ch3 H C x x 3 1 x x 306.2023848
ch4 H C x x 4 1 x x 417.3709516
b2h6 H B x x 6 2 x x 607.4653465
sih3f H F Si x 3 1 1 x 375.9653345
ph3 H P x x 3 1 x x 241.866058
c2h6 H C x x 6 2 x x 708.9216641
propane H C x x 8 3 x x 1002.333567
ch2-sing H C x x 2 1 x x 182.4291229
ch C H x x 1 1 x x 83.72268841
h2s H S x x 2 1 x x 181.4260184
hs S H x x 1 1 x x 87.40622435
c2h5f H C F x 5 2 1 x 717.7487013
ch3nh2 H C N x 5 1 1 x 580.4983412
ch3f H F C x 3 1 1 x 420.6230123
propene H C x x 6 3 x x 857.5787294
nh3 H N x x 3 1 x x 296.6600716
ethanol H C O x 6 2 1 x 806.0347154
ch3nh H C N x 4 1 1 x 476.3388748
c2h4 H C x x 4 2 x x 561.0941883
methanol H C O x 4 1 1 x 509.9492554
hcl Cl H x x 1 1 x x 105.3305435
nh2 H N x x 2 1 x x 183.6612032
nh N H x x 1 1 x x 84.97738397
ch2nh2 H C N x 4 1 1 x 483.5506935
bhf2 F B H x 2 1 1 x 408.1487974
h2o H O x x 2 1 x x 229.3980424
hf F H x x 1 1 x x 138.7125479
ch2ch H C x x 3 2 x x 445.3319768
oh O H x x 1 1 x x 106.6960268
propyne H C x x 4 3 x x 701.783689
acetaldehyde H C O x 4 2 1 x 675.9820952
allene H C x x 4 3 x x 703.6472572
sif4 F Si x x 4 1 x x 559.756375
bf3 F B x x 3 1 x x 465.9297256
c2h3f H C F x 3 2 1 x 572.2194104
oxirane H C O x 4 2 1 x 649.2248156
ch2f2 H F C x 2 2 1 x 435.3605138
alf3 F Al x x 3 1 x x 418.0831274
bef2 F Be x x 2 1 x x 306.4622181
ch2c C H x x 2 2 x x 359.2659757
n2h4 H N x x 4 2 x x 439.3324606
ch2nh H C N x 3 1 1 x 439.0895673
alf Al F x x 1 1 x x 159.5099408
acetic H C O x 4 2 2 x 801.0302841
c2h2 C H x x 2 2 x x 401.868672
h2co H O C x 2 1 1 x 373.5220905
h2cn H C N x 2 1 1 x 346.0837827
bf F B x x 1 1 x x 181.0941617
becl2 Cl Be x x 2 1 x x 226.4041533
t-hcoh H C O x 2 1 1 x 321.2740092
alcl3 Cl Al x x 3 1 x x 305.3033114
c-hcoh H C O x 2 1 1 x 316.7526337
alcl Al Cl x x 1 1 x x 120.1252673
ketene C H O x 2 2 1 x 535.5437849
sif F Si x x 1 1 x x 140.9624364
formic H O C x 2 2 1 x 500.6562994
hcnh H C N x 2 1 1 x 338.722544
glyoxal C H O x 2 2 2 x 634.6192752
hcof C O H F 1 1 1 1 403.4975106
nh2cl H N Cl x 2 1 1 x 248.2230801
cf4 F C x x 4 1 x x 474.6346632
hccf C H F x 2 1 1 x 397.3589465
hcn H C N x 1 1 1 x 311.7758471
hnc H N C x 1 1 1 x 298.4543408
cch C H x x 2 1 x x 261.6812747
hco O C H x 1 1 1 x 280.8817031
co C O x x 1 1 x x 257.7374214
oxirene C H O x 2 2 1 x 454.6082379
f2co F O C x 2 1 1 x 420.8741235
hocn C N O H 1 1 1 1 410.0995372
hooh H O x x 2 2 x x 267.0538664
t-n2h2 H N x x 2 2 x x 298.0124928
hnco C O N H 1 1 1 1 438.9246963
c-n2h2 H N x x 2 2 x x 292.8017122
cf2 F C x x 2 1 x x 259.318409
co2 O C x x 2 1 x x 392.0564473
fccf F C x x 2 2 x x 387.0543491
dioxirane H O C x 2 2 1 x 408.5923423
cf C F x x 1 1 x x 135.2319764
ssh S H x x 2 1 x x 166.5740803
hocl O H Cl x 1 1 1 x 164.7287727
nccn N C x x 2 2 x x 503.6608861
n2 N x x x 2 x x x 227.7394236
n2h N H x x 2 1 x x 229.3962009
ocs O C S x 1 1 1 x 338.4843286
sio Si O x x 1 1 x x 188.3605468
clcn Cl C N x 1 1 1 x 285.5338294
hoo O H x x 2 1 x x 178.7521016
hcno C H N O 1 1 1 1 369.9997027
honc H O N C 1 1 1 1 352.4284138
hno N H O x 1 1 1 x 206.1701559
hof H O F x 1 1 1 x 157.7941885
c-hono O N H x 2 1 1 x 314.7788154
t-hono O N H x 2 1 1 x 315.4513921
cs2 S C x x 2 1 x x 283.0103131
hnnn N H x x 3 1 x x 339.6386622
cs C S x x 1 1 x x 169.541449
cn C N x x 1 1 x x 179.2114492
so3 O S x x 3 1 x x 342.4210801
ccl2 Cl C x x 2 1 x x 178.6725972
bn3pi B N x x 1 1 x x 110.1903584
so2 O S x x 2 1 x x 257.411334
no N O x x 1 1 x x 155.3579554
so S O x x 1 1 x x 129.1028447
n2o N O x x 2 1 x x 276.704998
c-hooo O H x x 3 1 x x 237.4589211
s2 S x x x 2 x x x 106.8437924
p4 P x x x 4 x x x 286.0494179
cl2 Cl x x x 2 x x x 59.78371964
o2 O x x x 2 x x x 126.7398024
f2 F x x x 2 x x x 38.40737096
t-hooo O H x x 3 1 x x 237.3913464
s2o S O x x 2 1 x x 207.1310847
p2 P x x x 2 x x x 116.5517635
clf Cl F x x 1 1 x x 62.74919939
no2 O N x x 2 1 x x 235.6262285
clo Cl O x x 1 1 x x 68.60426764
s3 S x x x 3 x x x 167.5865249
cl2o Cl O x x 2 1 x x 101.4783634
s4-c2v S x x x 4 x x x 232.7760831
of O F x x 1 1 x x 56.95395501
c2 C x x x 2 x x x 137.6648201
oclo O Cl x x 2 1 x x 131.250379
f2o F O x x 2 1 x x 96.73469045
b2 B x x x 2 x x x 65.96348243
fo2 O F x x 2 1 x x 139.455899
cloo O Cl x x 2 1 x x 131.5956881
foof F O x x 2 2 x x 158.4311147
o3 O x x x 3 x x x 147.0529865
bn B N x x 1 1 x x 100.5459707
be2 Be x x x 2 x x x 5.758300188
C4H4 C H x x 4 4 x x 790.0246965
C6H6 C H x x 6 6 x x 1250.785897
C8H8 C H x x 8 8 x x 1703.052759
C10H10 C H x x 10 10 x x 2189.497229
C12H12 C H x x 12 12 x x 2701.130371
C20H20 C H x x 20 20 x x 4597.296968
