xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1297.623346
pentane H C x x 12 5 x x 1590.411047
hexane H C x x 14 6 x x 1883.221233
heptane H C x x 16 7 x x 2176.026877
octane H C x x 18 8 x x 2468.829407
isobutane H C x x 10 4 x x 1298.612831
isopentane H C x x 12 5 x x 1590.816811
isohexane H C x x 14 6 x x 1883.600774
isoheptane H C x x 16 7 x x 2176.440905
isooctane H C x x 18 8 x x 2468.583959
neopentane H C x x 12 5 x x 1592.763346
neohexane H C x x 14 6 x x 1884.260564
neoheptane H C x x 16 7 x x 2177.026928
3methylpentane H C x x 14 6 x x 1882.85993
diisopropyl H C x x 14 6 x x 1883.035707
hexamethylethane H C x x 18 8 x x 2466.762624
h2 H x x x 2 x x x 111.9902892
alh3 H Al x x 3 1 x x 214.4163922
alh Al H x x 1 1 x x 73.90773252
sih4 H Si x x 4 1 x x 324.1092926
bh3 H B x x 3 1 x x 283.5611832
bh B H x x 1 1 x x 85.21786441
ch2-trip H C x x 2 1 x x 193.6216488
sih H Si x x 1 1 x x 74.67706338
si2h6 H Si x x 6 2 x x 531.7101868
ch3 H C x x 3 1 x x 310.0124739
ch4 H C x x 4 1 x x 420.9281996
b2h6 H B x x 6 2 x x 607.0934676
sih3f H F Si x 3 1 1 x 379.2721835
ph3 H P x x 3 1 x x 241.8470225
c2h6 H C x x 6 2 x x 712.0089173
propane H C x x 8 3 x x 1004.787714
ch2-sing H C x x 2 1 x x 185.5556303
ch C H x x 1 1 x x 85.66549749
h2s H S x x 2 1 x x 181.5019828
hs S H x x 1 1 x x 87.4675962
c2h5f H C F x 5 2 1 x 721.6553612
ch3nh2 H C N x 5 1 1 x 581.4258315
ch3f H F C x 3 1 1 x 425.2993643
propene H C x x 6 3 x x 860.0794306
nh3 H N x x 3 1 x x 297.9976166
ethanol H C O x 6 2 1 x 808.0508709
ch3nh H C N x 4 1 1 x 477.4305466
c2h4 H C x x 4 2 x x 564.1764113
methanol H C O x 4 1 1 x 512.6267875
hcl Cl H x x 1 1 x x 105.9564241
nh2 H N x x 2 1 x x 184.5995865
nh N H x x 1 1 x x 86.00460752
ch2nh2 H C N x 4 1 1 x 484.9490014
bhf2 F B H x 2 1 1 x 410.3165879
h2o H O x x 2 1 x x 231.8539741
hf F H x x 1 1 x x 142.8214731
ch2ch H C x x 3 2 x x 449.2516095
oh O H x x 1 1 x x 107.2481515
propyne H C x x 4 3 x x 704.0093695
acetaldehyde H C O x 4 2 1 x 677.99138
allene H C x x 4 3 x x 706.6212884
sif4 F Si x x 4 1 x x 561.2241904
bf3 F B x x 3 1 x x 466.8868619
c2h3f H C F x 3 2 1 x 576.2168109
oxirane H C O x 4 2 1 x 651.4487405
ch2f2 H F C x 2 2 1 x 440.4611282
alf3 F Al x x 3 1 x x 421.6294012
bef2 F Be x x 2 1 x x 308.2770829
ch2c C H x x 2 2 x x 361.5011938
n2h4 H N x x 4 2 x x 438.2700772
ch2nh H C N x 3 1 1 x 440.1166246
alf Al F x x 1 1 x x 161.2465401
acetic H C O x 4 2 2 x 801.5001254
c2h2 C H x x 2 2 x x 404.8775864
