xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.525449
pentane H C x x 12 5 x x 1600.285976
hexane H C x x 14 6 x x 1895.066411
heptane H C x x 16 7 x x 2189.844813
octane H C x x 18 8 x x 2484.622131
isobutane H C x x 10 4 x x 1306.604586
isopentane H C x x 12 5 x x 1600.822265
isohexane H C x x 14 6 x x 1895.582693
isoheptane H C x x 16 7 x x 2190.398848
isooctane H C x x 18 8 x x 2484.856418
neopentane H C x x 12 5 x x 1602.866142
neohexane H C x x 14 6 x x 1896.429883
neoheptane H C x x 16 7 x x 2191.175136
3methylpentane H C x x 14 6 x x 1894.92299
diisopropyl H C x x 14 6 x x 1895.219925
hexamethylethane H C x x 18 8 x x 2483.343096
h2 H x x x 2 x x x 112.202571
alh3 H Al x x 3 1 x x 215.8815936
alh Al H x x 1 1 x x 74.71603344
sih4 H Si x x 4 1 x x 326.1332545
bh3 H B x x 3 1 x x 284.7526503
bh B H x x 1 1 x x 85.80568463
ch2-trip H C x x 2 1 x x 194.5458307
sih H Si x x 1 1 x x 75.47723945
si2h6 H Si x x 6 2 x x 536.5796521
ch3 H C x x 3 1 x x 311.5326929
ch4 H C x x 4 1 x x 423.0850394
b2h6 H B x x 6 2 x x 610.6970698
sih3f H F Si x 3 1 1 x 381.0821562
ph3 H P x x 3 1 x x 243.9990786
c2h6 H C x x 6 2 x x 715.9859924
propane H C x x 8 3 x x 1010.715713
ch2-sing H C x x 2 1 x x 186.5805853
ch C H x x 1 1 x x 86.19443455
h2s H S x x 2 1 x x 182.9571208
hs S H x x 1 1 x x 88.17385191
c2h5f H C F x 5 2 1 x 724.9345128
ch3nh2 H C N x 5 1 1 x 584.8756808
ch3f H F C x 3 1 1 x 426.5810499
propene H C x x 6 3 x x 865.7220227
nh3 H N x x 3 1 x x 299.5805907
ethanol H C O x 6 2 1 x 812.0611347
ch3nh H C N x 4 1 1 x 480.4980563
c2h4 H C x x 4 2 x x 567.5335537
methanol H C O x 4 1 1 x 514.719088
hcl Cl H x x 1 1 x x 106.5936078
nh2 H N x x 2 1 x x 185.5790839
nh N H x x 1 1 x x 86.43379176
ch2nh2 H C N x 4 1 1 x 488.081064
bhf2 F B H x 2 1 1 x 411.0311445
h2o H O x x 2 1 x x 232.6293193
hf F H x x 1 1 x x 143.07301
ch2ch H C x x 3 2 x x 452.0275806
oh O H x x 1 1 x x 107.579715
propyne H C x x 4 3 x x 708.6095958
acetaldehyde H C O x 4 2 1 x 681.6747443
allene H C x x 4 3 x x 711.5320042
sif4 F Si x x 4 1 x x 563.057028
bf3 F B x x 3 1 x x 468.0448705
c2h3f H C F x 3 2 1 x 579.1786567
oxirane H C O x 4 2 1 x 654.5075009
ch2f2 H F C x 2 2 1 x 441.4379919
alf3 F Al x x 3 1 x x 423.0410287
bef2 F Be x x 2 1 x x 309.2046245
ch2c C H x x 2 2 x x 364.0209811
n2h4 H N x x 4 2 x x 441.2521498
ch2nh H C N x 3 1 1 x 442.8425568
alf Al F x x 1 1 x x 162.030176
acetic H C O x 4 2 2 x 805.8773627
c2h2 C H x x 2 2 x x 406.8818188
h2co H O C x 2 1 1 x 377.5097523
h2cn H C N x 2 1 1 x 349.2696414
bf F B x x 1 1 x x 183.0438187
becl2 Cl Be x x 2 1 x x 221.8258163
t-hcoh H C O x 2 1 1 x 324.8191176
alcl3 Cl Al x x 3 1 x x 298.6964034
c-hcoh H C O x 2 1 1 x 320.4749142
alcl Al Cl x x 1 1 x x 118.9752127
ketene C H O x 2 2 1 x 540.8112207
sif F Si x x 1 1 x x 143.3451723
formic H O C x 2 2 1 x 504.2637364
hcnh H C N x 2 1 1 x 342.6281251
glyoxal C H O x 2 2 2 x 638.7458385
hcof C O H F 1 1 1 1 408.3885724
nh2cl H N Cl x 2 1 1 x 249.0737238
cf4 F C x x 4 1 x x 479.7355328
hccf C H F x 2 1 1 x 403.3659256
hcn H C N x 1 1 1 x 313.6119852
hnc H N C x 1 1 1 x 299.4921557
cch C H x x 2 1 x x 267.2559184
hco O C H x 1 1 1 x 284.2634241
co C O x x 1 1 x x 258.1420997
oxirene C H O x 2 2 1 x 460.4475368
f2co F O C x 2 1 1 x 425.5497605
hocn C N O H 1 1 1 1 411.9786997
hooh H O x x 2 2 x x 271.0732353
t-n2h2 H N x x 2 2 x x 299.9156738
hnco C O N H 1 1 1 1 442.1715135
c-n2h2 H N x x 2 2 x x 294.949004
cf2 F C x x 2 1 x x 264.6449494
co2 O C x x 2 1 x x 394.6423907
fccf F C x x 2 2 x x 394.1012999
dioxirane H O C x 2 2 1 x 413.1001031
cf C F x x 1 1 x x 138.9910116
ssh S H x x 2 1 x x 166.0269643
hocl O H Cl x 1 1 1 x 166.4618176
nccn N C x x 2 2 x x 505.699107
n2 N x x x 2 x x x 226.4732369
n2h N H x x 2 1 x x 230.7630354
ocs O C S x 1 1 1 x 339.8871534
sio Si O x x 1 1 x x 190.2409447
clcn Cl C N x 1 1 1 x 286.4147489
hoo O H x x 2 1 x x 182.3672527
hcno C H N O 1 1 1 1 377.2216677
honc H O N C 1 1 1 1 354.845384
hno N H O x 1 1 1 x 208.9004861
hof H O F x 1 1 1 x 163.4312481
c-hono O N H x 2 1 1 x 320.3103539
t-hono O N H x 2 1 1 x 321.322333
cs2 S C x x 2 1 x x 284.3001583
hnnn N H x x 3 1 x x 344.8398144
cs C S x x 1 1 x x 171.0930017
cn C N x x 1 1 x x 183.8198457
so3 O S x x 3 1 x x 345.1590262
ccl2 Cl C x x 2 1 x x 180.7016442
bn3pi B N x x 1 1 x x 110.3673535
so2 O S x x 2 1 x x 259.3896653
no N O x x 1 1 x x 156.2815899
so S O x x 1 1 x x 130.5279791
n2o N O x x 2 1 x x 282.8390601
c-hooo O H x x 3 1 x x 247.6916599
s2 S x x x 2 x x x 106.5120578
p4 P x x x 4 x x x 283.7883137
cl2 Cl x x x 2 x x x 58.25809222
o2 O x x x 2 x x x 131.3341449
f2 F x x x 2 x x x 45.73341837
t-hooo O H x x 3 1 x x 249.1665413
s2o S O x x 2 1 x x 209.357396
p2 P x x x 2 x x x 114.4471209
clf Cl F x x 1 1 x x 65.70213143
no2 O N x x 2 1 x x 243.1189955
clo Cl O x x 1 1 x x 70.83826732
s3 S x x x 3 x x x 168.5562128
cl2o Cl O x x 2 1 x x 103.3266899
s4-c2v S x x x 4 x x x 236.0387002
of O F x x 1 1 x x 61.88031493
c2 C x x x 2 x x x 143.83852
oclo O Cl x x 2 1 x x 140.0024409
f2o F O x x 2 1 x x 106.6849727
b2 B x x x 2 x x x 71.65074855
fo2 O F x x 2 1 x x 154.5673472
cloo O Cl x x 2 1 x x 142.1372135
foof F O x x 2 2 x x 179.0706356
o3 O x x x 3 x x x 158.9436704
bn B N x x 1 1 x x 103.9346028
be2 Be x x x 2 x x x 9.10848909
C4H4 C H x x 4 4 x x 801.1080335
C6H6 C H x x 6 6 x x 1252.092187
C8H8 C H x x 8 8 x x 1698.083809
C10H10 C H x x 10 10 x x 2183.983484
C12H12 C H x x 12 12 x x 2700.644747
C20H20 C H x x 20 20 x x 4588.895955
