xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1315.598305
pentane H C x x 12 5 x x 1613.211452
hexane H C x x 14 6 x x 1910.845302
heptane H C x x 16 7 x x 2208.479283
octane H C x x 18 8 x x 2506.108104
isobutane H C x x 10 4 x x 1316.92993
isopentane H C x x 12 5 x x 1614.02683
isohexane H C x x 14 6 x x 1911.640411
isoheptane H C x x 16 7 x x 2209.3104
isooctane H C x x 18 8 x x 2507.376868
neopentane H C x x 12 5 x x 1616.588548
neohexane H C x x 14 6 x x 1913.040714
neoheptane H C x x 16 7 x x 2210.638098
3methylpentane H C x x 14 6 x x 1911.002431
diisopropyl H C x x 14 6 x x 1911.685928
hexamethylethane H C x x 18 8 x x 2506.800249
h2 H x x x 2 x x x 112.2940552
alh3 H Al x x 3 1 x x 218.9255503
alh Al H x x 1 1 x x 76.29668433
sih4 H Si x x 4 1 x x 330.2554149
bh3 H B x x 3 1 x x 286.2209905
bh B H x x 1 1 x x 86.46661274
ch2-trip H C x x 2 1 x x 195.3905792
sih H Si x x 1 1 x x 76.78334965
si2h6 H Si x x 6 2 x x 548.7887537
ch3 H C x x 3 1 x x 312.832566
ch4 H C x x 4 1 x x 424.7494001
b2h6 H B x x 6 2 x x 616.4068762
sih3f H F Si x 3 1 1 x 385.5694945
ph3 H P x x 3 1 x x 247.114051
c2h6 H C x x 6 2 x x 720.3333308
propane H C x x 8 3 x x 1017.961951
ch2-sing H C x x 2 1 x x 187.4424752
ch C H x x 1 1 x x 86.66819313
h2s H S x x 2 1 x x 184.8057806
hs S H x x 1 1 x x 89.08466999
c2h5f H C F x 5 2 1 x 729.6155595
ch3nh2 H C N x 5 1 1 x 588.3921161
ch3f H F C x 3 1 1 x 428.5035546
propene H C x x 6 3 x x 872.5452239
nh3 H N x x 3 1 x x 300.6027586
ethanol H C O x 6 2 1 x 817.5404599
ch3nh H C N x 4 1 1 x 483.6477319
c2h4 H C x x 4 2 x x 571.370599
methanol H C O x 4 1 1 x 517.3615241
hcl Cl H x x 1 1 x x 107.334159
nh2 H N x x 2 1 x x 186.2477508
nh N H x x 1 1 x x 86.74685248
ch2nh2 H C N x 4 1 1 x 491.2975416
bhf2 F B H x 2 1 1 x 413.0392327
h2o H O x x 2 1 x x 233.1139599
hf F H x x 1 1 x x 143.222589
ch2ch H C x x 3 2 x x 455.280793
oh O H x x 1 1 x x 107.8055801
propyne H C x x 4 3 x x 714.0207153
acetaldehyde H C O x 4 2 1 x 686.4812735
allene H C x x 4 3 x x 717.3005409
sif4 F Si x x 4 1 x x 568.8118929
bf3 F B x x 3 1 x x 470.3707751
c2h3f H C F x 3 2 1 x 583.3010613
oxirane H C O x 4 2 1 x 659.1980815
ch2f2 H F C x 2 2 1 x 443.665283
alf3 F Al x x 3 1 x x 427.0172537
bef2 F Be x x 2 1 x x 310.7729996
ch2c C H x x 2 2 x x 367.0658064
n2h4 H N x x 4 2 x x 443.9460892
ch2nh H C N x 3 1 1 x 445.6997343
alf Al F x x 1 1 x x 163.9335471
acetic H C O x 4 2 2 x 811.9698871
c2h2 C H x x 2 2 x x 409.4962069
h2co H O C x 2 1 1 x 379.4345412
h2cn H C N x 2 1 1 x 351.6004089
bf F B x x 1 1 x x 183.9384286
becl2 Cl Be x x 2 1 x x 228.304205
t-hcoh H C O x 2 1 1 x 326.6692258
alcl3 Cl Al x x 3 1 x x 313.4478502
c-hcoh H C O x 2 1 1 x 322.3553131
alcl Al Cl x x 1 1 x x 126.2694414
ketene C H O x 2 2 1 x 544.6977937
sif F Si x x 1 1 x x 145.0127719
formic H O C x 2 2 1 x 507.3463935
hcnh H C N x 2 1 1 x 344.9292594
glyoxal C H O x 2 2 2 x 643.9668173
hcof C O H F 1 1 1 1 410.6080674
nh2cl H N Cl x 2 1 1 x 252.3410073
cf4 F C x x 4 1 x x 482.7150043
hccf C H F x 2 1 1 x 406.2201348
hcn H C N x 1 1 1 x 315.3498866
hnc H N C x 1 1 1 x 301.4106653
cch C H x x 2 1 x x 269.5948189
hco O C H x 1 1 1 x 285.6764017
co C O x x 1 1 x x 259.1688886
oxirene C H O x 2 2 1 x 464.333499
f2co F O C x 2 1 1 x 428.1140722
hocn C N O H 1 1 1 1 414.7240843
hooh H O x x 2 2 x x 272.2531586
t-n2h2 H N x x 2 2 x x 301.8629402
hnco C O N H 1 1 1 1 445.0783082
c-n2h2 H N x x 2 2 x x 296.9280291
cf2 F C x x 2 1 x x 266.0247277
co2 O C x x 2 1 x x 396.6589003
fccf F C x x 2 2 x x 397.190873
dioxirane H O C x 2 2 1 x 415.9579936
cf C F x x 1 1 x x 139.6856085
ssh S H x x 2 1 x x 172.9193163
hocl O H Cl x 1 1 1 x 168.5546106
nccn N C x x 2 2 x x 510.3927317
n2 N x x x 2 x x x 227.4552648
n2h N H x x 2 1 x x 232.2288703
ocs O C S x 1 1 1 x 344.3806583
sio Si O x x 1 1 x x 192.7336826
clcn Cl C N x 1 1 1 x 290.6333112
hoo O H x x 2 1 x x 183.2419031
hcno C H N O 1 1 1 1 380.0365291
honc H O N C 1 1 1 1 357.6340692
hno N H O x 1 1 1 x 210.0642102
hof H O F x 1 1 1 x 164.0969352
c-hono O N H x 2 1 1 x 322.512306
t-hono O N H x 2 1 1 x 323.3901655
cs2 S C x x 2 1 x x 291.8281383
hnnn N H x x 3 1 x x 347.6506219
cs C S x x 1 1 x x 174.6760865
cn C N x x 1 1 x x 185.2290085
so3 O S x x 3 1 x x 351.3091016
ccl2 Cl C x x 2 1 x x 187.3224419
bn3pi B N x x 1 1 x x 112.2198604
so2 O S x x 2 1 x x 263.2641028
no N O x x 1 1 x x 157.0073764
so S O x x 1 1 x x 132.3872794
n2o N O x x 2 1 x x 284.8469026
c-hooo O H x x 3 1 x x 249.3868163
s2 S x x x 2 x x x 112.4041105
p4 P x x x 4 x x x 321.07619
cl2 Cl x x x 2 x x x 62.23622203
o2 O x x x 2 x x x 131.8796119
f2 F x x x 2 x x x 46.0075078
t-hooo O H x x 3 1 x x 250.7197782
s2o S O x x 2 1 x x 217.4240618
p2 P x x x 2 x x x 122.4439814
clf Cl F x x 1 1 x x 66.77297281
no2 O N x x 2 1 x x 244.8336896
clo Cl O x x 1 1 x x 72.38364152
s3 S x x x 3 x x x 181.1046605
cl2o Cl O x x 2 1 x x 107.8416371
s4-c2v S x x x 4 x x x 257.0279892
of O F x x 1 1 x x 62.26176251
