xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 104.2150717
alh3 H Al x x 3 1 x x 206.9885922
alh Al H x x 1 1 x x 71.45851322
sih4 H Si x x 4 1 x x 319.6944137
bh3 H B x x 3 1 x x 279.0828809
bh B H x x 1 1 x x 82.51405372
ch2-trip H C x x 2 1 x x 181.7167473
sih H Si x x 1 1 x x 74.20530303
si2h6 H Si x x 6 2 x x 529.437124
ch3 H C x x 3 1 x x 300.8607971
ch4 H C x x 4 1 x x 412.427684
b2h6 H B x x 6 2 x x 598.4013825
sih3f H F Si x 3 1 1 x 371.9525354
ph3 H P x x 3 1 x x 246.1148981
c2h6 H C x x 6 2 x x 700.7703213
propane H C x x 8 3 x x 990.3308453
ch2-sing H C x x 2 1 x x 180.4918192
ch C H x x 1 1 x x 84.03450648
h2s H S x x 2 1 x x 182.6256704
hs S H x x 1 1 x x 88.61725636
c2h5f H C F x 5 2 1 x 705.822907
ch3nh2 H C N x 5 1 1 x 578.695484
ch3f H F C x 3 1 1 x 412.109171
propene H C x x 6 3 x x 847.6883993
nh3 H N x x 3 1 x x 298.0472463
ethanol H C O x 6 2 1 x 795.8829779
ch3nh H C N x 4 1 1 x 475.1782098
c2h4 H C x x 4 2 x x 554.9089935
methanol H C O x 4 1 1 x 503.2389404
hcl Cl H x x 1 1 x x 104.2676161
nh2 H N x x 2 1 x x 186.3498179
nh N H x x 1 1 x x 86.6924009
ch2nh2 H C N x 4 1 1 x 481.0013275
bhf2 F B H x 2 1 1 x 397.9986184
h2o H O x x 2 1 x x 225.5918445
hf F H x x 1 1 x x 132.5697916
ch2ch H C x x 3 2 x x 437.7149324
oh O H x x 1 1 x x 106.4255631
propyne H C x x 4 3 x x 694.0891035
acetaldehyde H C O x 4 2 1 x 667.7090273
allene H C x x 4 3 x x 694.9254337
sif4 F Si x x 4 1 x x 546.0499657
bf3 F B x x 3 1 x x 452.4722346
c2h3f H C F x 3 2 1 x 561.408034
oxirane H C O x 4 2 1 x 640.1295405
ch2f2 H F C x 2 2 1 x 422.8253152
alf3 F Al x x 3 1 x x 405.2437146
bef2 F Be x x 2 1 x x 297.8180452
ch2c C H x x 2 2 x x 356.5959884
n2h4 H N x x 4 2 x x 443.6992834
ch2nh H C N x 3 1 1 x 439.2455657
alf Al F x x 1 1 x x 155.6806862
acetic H C O x 4 2 2 x 790.0720111
c2h2 C H x x 2 2 x x 397.4668202
h2co H O C x 2 1 1 x 368.7390664
h2cn H C N x 2 1 1 x 346.8780036
bf F B x x 1 1 x x 176.144554
becl2 Cl Be x x 2 1 x x 227.4986559
t-hcoh H C O x 2 1 1 x 317.1582823
alcl3 Cl Al x x 3 1 x x 307.0058969
c-hcoh H C O x 2 1 1 x 312.3101892
alcl Al Cl x x 1 1 x x 121.0766445
ketene C H O x 2 2 1 x 527.7478706
sif F Si x x 1 1 x x 137.9687449
formic H O C x 2 2 1 x 492.8552261
hcnh H C N x 2 1 1 x 337.91262
glyoxal C H O x 2 2 2 x 626.4612983
hcof C O H F 1 1 1 1 393.634775
nh2cl H N Cl x 2 1 1 x 250.2868286
cf4 F C x x 4 1 x x 454.1918096
hccf C H F x 2 1 1 x 387.7998829
hcn H C N x 1 1 1 x 314.6170822
hnc H N C x 1 1 1 x 301.6044207
cch C H x x 2 1 x x 254.9149855
hco O C H x 1 1 1 x 275.6810494
co C O x x 1 1 x x 256.7752381
oxirene C H O x 2 2 1 x 445.9099683
f2co F O C x 2 1 1 x 406.729062
hocn C N O H 1 1 1 1 409.8073815
hooh H O x x 2 2 x x 260.8825569
t-n2h2 H N x x 2 2 x x 304.55533
hnco C O N H 1 1 1 1 436.8365971
c-n2h2 H N x x 2 2 x x 298.9925142
cf2 F C x x 2 1 x x 247.8845593
co2 O C x x 2 1 x x 385.6029779
fccf F C x x 2 2 x x 372.5523786
dioxirane H O C x 2 2 1 x 400.2012654
