xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 106.9253657
alh3 H Al x x 3 1 x x 209.3841417
alh Al H x x 1 1 x x 71.86408761
sih4 H Si x x 4 1 x x 319.8016922
bh3 H B x x 3 1 x x 280.8713933
bh B H x x 1 1 x x 83.07289178
ch2-trip H C x x 2 1 x x 189.3689562
sih H Si x x 1 1 x x 73.40383164
si2h6 H Si x x 6 2 x x 527.608211
ch3 H C x x 3 1 x x 305.8343661
ch4 H C x x 4 1 x x 416.912113
b2h6 H B x x 6 2 x x 604.0179443
sih3f H F Si x 3 1 1 x 374.9658025
ph3 H P x x 3 1 x x 241.2288703
c2h6 H C x x 6 2 x x 707.3675435
propane H C x x 8 3 x x 999.0080264
ch2-sing H C x x 2 1 x x 182.3721802
ch C H x x 1 1 x x 83.72183136
h2s H S x x 2 1 x x 181.2645874
hs S H x x 1 1 x x 87.40499203
c2h5f H C F x 5 2 1 x 716.0396286
ch3nh2 H C N x 5 1 1 x 579.3873357
ch3f H F C x 3 1 1 x 420.1605366
propene H C x x 6 3 x x 855.5774334
nh3 H N x x 3 1 x x 296.568929
ethanol H C O x 6 2 1 x 803.9124071
ch3nh H C N x 4 1 1 x 475.548455
c2h4 H C x x 4 2 x x 560.3543293
methanol H C O x 4 1 1 x 509.1630973
hcl Cl H x x 1 1 x x 105.3294066
nh2 H N x x 2 1 x x 183.6331455
nh N H x x 1 1 x x 84.97668043
ch2nh2 H C N x 4 1 1 x 482.8340796
bhf2 F B H x 2 1 1 x 407.76842
h2o H O x x 2 1 x x 229.3814783
hf F H x x 1 1 x x 138.7119398
ch2ch H C x x 3 2 x x 444.9121047
oh O H x x 1 1 x x 106.6954782
propyne H C x x 4 3 x x 700.8407587
acetaldehyde H C O x 4 2 1 x 674.8418218
allene H C x x 4 3 x x 702.7871244
sif4 F Si x x 4 1 x x 558.4216673
bf3 F B x x 3 1 x x 465.6721682
c2h3f H C F x 3 2 1 x 571.4291313
oxirane H C O x 4 2 1 x 648.0616916
ch2f2 H F C x 2 2 1 x 434.9467229
alf3 F Al x x 3 1 x x 417.3778344
bef2 F Be x x 2 1 x x 306.212657
ch2c C H x x 2 2 x x 359.0374059
n2h4 H N x x 4 2 x x 438.6399086
ch2nh H C N x 3 1 1 x 438.6115424
alf Al F x x 1 1 x x 159.5056463
acetic H C O x 4 2 2 x 799.526159
c2h2 C H x x 2 2 x x 401.610006
h2co H O C x 2 1 1 x 373.2960806
h2cn H C N x 2 1 1 x 345.8546036
bf F B x x 1 1 x x 181.0928828
becl2 Cl Be x x 2 1 x x 226.0294916
t-hcoh H C O x 2 1 1 x 321.1684622
alcl3 Cl Al x x 3 1 x x 304.1601041
c-hcoh H C O x 2 1 1 x 316.4855121
alcl Al Cl x x 1 1 x x 120.1119132
ketene C H O x 2 2 1 x 535.1187476
sif F Si x x 1 1 x x 140.9599211
formic H O C x 2 2 1 x 500.2892776
hcnh H C N x 2 1 1 x 338.60085
glyoxal C H O x 2 2 2 x 633.7850651
hcof C O H F 1 1 1 1 403.3307065
nh2cl H N Cl x 2 1 1 x 248.0877723
cf4 F C x x 4 1 x x 474.3347511
hccf C H F x 2 1 1 x 397.0970125
hcn H C N x 1 1 1 x 311.6580388
hnc H N C x 1 1 1 x 298.3766488
cch C H x x 2 1 x x 261.5577994
hco O C H x 1 1 1 x 280.8273631
co C O x x 1 1 x x 257.7367799
oxirene C H O x 2 2 1 x 453.9553248
f2co F O C x 2 1 1 x 420.7400772
hocn C N O H 1 1 1 1 409.8802399
hooh H O x x 2 2 x x 266.8698039
