xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.402645
pentane H C x x 12 5 x x 1597.10825
hexane H C x x 14 6 x x 1891.820899
heptane H C x x 16 7 x x 2186.555761
octane H C x x 18 8 x x 2481.276732
isobutane H C x x 10 4 x x 1303.82234
isopentane H C x x 12 5 x x 1597.953332
isohexane H C x x 14 6 x x 1892.646798
isoheptane H C x x 16 7 x x 2187.409219
isooctane H C x x 18 8 x x 2482.603982
neopentane H C x x 12 5 x x 1600.666095
neohexane H C x x 14 6 x x 1894.111081
neoheptane H C x x 16 7 x x 2188.783119
3methylpentane H C x x 14 6 x x 1891.941631
diisopropyl H C x x 14 6 x x 1892.642034
hexamethylethane H C x x 18 8 x x 2482.006336
h2 H x x x 2 x x x 108.3816516
alh3 H Al x x 3 1 x x 222.8905872
alh Al H x x 1 1 x x 78.64015118
sih4 H Si x x 4 1 x x 327.4969902
bh3 H B x x 3 1 x x 283.8027331
bh B H x x 1 1 x x 84.20301688
ch2-trip H C x x 2 1 x x 190.9581505
sih H Si x x 1 1 x x 76.9017768
si2h6 H Si x x 6 2 x x 542.1531857
ch3 H C x x 3 1 x x 308.5485222
ch4 H C x x 4 1 x x 420.4209175
b2h6 H B x x 6 2 x x 612.459435
sih3f H F Si x 3 1 1 x 382.5663321
ph3 H P x x 3 1 x x 246.9869589
c2h6 H C x x 6 2 x x 712.9712155
propane H C x x 8 3 x x 1007.696503
ch2-sing H C x x 2 1 x x 183.9222329
ch C H x x 1 1 x x 83.3538148
h2s H S x x 2 1 x x 185.5288487
hs S H x x 1 1 x x 89.57915275
c2h5f H C F x 5 2 1 x 720.4804525
ch3nh2 H C N x 5 1 1 x 581.115028
ch3f H F C x 3 1 1 x 421.4835658
propene H C x x 6 3 x x 861.6232248
nh3 H N x x 3 1 x x 296.8070916
ethanol H C O x 6 2 1 x 808.7347369
ch3nh H C N x 4 1 1 x 477.1560565
c2h4 H C x x 4 2 x x 563.3619379
methanol H C O x 4 1 1 x 510.7070528
hcl Cl H x x 1 1 x x 107.9521007
nh2 H N x x 2 1 x x 183.9247324
nh N H x x 1 1 x x 83.58403172
ch2nh2 H C N x 4 1 1 x 482.7476535
bhf2 F B H x 2 1 1 x 410.9663327
h2o H O x x 2 1 x x 229.0773022
hf F H x x 1 1 x x 137.5243118
ch2ch H C x x 3 2 x x 447.1219629
oh O H x x 1 1 x x 107.1816011
propyne H C x x 4 3 x x 704.0382863
acetaldehyde H C O x 4 2 1 x 677.6085314
allene H C x x 4 3 x x 706.5498452
sif4 F Si x x 4 1 x x 569.6334224
bf3 F B x x 3 1 x x 470.0829713
c2h3f H C F x 3 2 1 x 573.5364714
