xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.57636
pentane H C x x 12 5 x x 1597.340822
hexane H C x x 14 6 x x 1892.112541
heptane H C x x 16 7 x x 2186.906875
octane H C x x 18 8 x x 2481.687153
isobutane H C x x 10 4 x x 1304.010251
isopentane H C x x 12 5 x x 1598.207176
isohexane H C x x 14 6 x x 1892.961879
isoheptane H C x x 16 7 x x 2187.784593
isooctane H C x x 18 8 x x 2483.112718
neopentane H C x x 12 5 x x 1600.943321
neohexane H C x x 14 6 x x 1894.461541
neoheptane H C x x 16 7 x x 2189.197171
3methylpentane H C x x 14 6 x x 1892.262085
diisopropyl H C x x 14 6 x x 1892.98072
hexamethylethane H C x x 18 8 x x 2482.55355
h2 H x x x 2 x x x 108.3819977
alh3 H Al x x 3 1 x x 222.9030468
alh Al H x x 1 1 x x 78.64041197
sih4 H Si x x 4 1 x x 327.5320235
bh3 H B x x 3 1 x x 283.813927
bh B H x x 1 1 x x 84.20713334
ch2-trip H C x x 2 1 x x 190.9737612
sih H Si x x 1 1 x x 76.91036126
si2h6 H Si x x 6 2 x x 542.2734659
ch3 H C x x 3 1 x x 308.5691146
ch4 H C x x 4 1 x x 420.4430326
b2h6 H B x x 6 2 x x 612.5100454
sih3f H F Si x 3 1 1 x 382.6562928
ph3 H P x x 3 1 x x 247.0212178
c2h6 H C x x 6 2 x x 713.0326047
propane H C x x 8 3 x x 1007.813137
ch2-sing H C x x 2 1 x x 183.9347539
ch C H x x 1 1 x x 83.35974024
h2s H S x x 2 1 x x 185.5579188
hs S H x x 1 1 x x 89.59400659
c2h5f H C F x 5 2 1 x 720.5952075
ch3nh2 H C N x 5 1 1 x 581.1823486
ch3f H F C x 3 1 1 x 421.5434462
propene H C x x 6 3 x x 861.7313288
nh3 H N x x 3 1 x x 296.8345354
ethanol H C O x 6 2 1 x 808.8562801
ch3nh H C N x 4 1 1 x 477.2122293
c2h4 H C x x 4 2 x x 563.4202886
methanol H C O x 4 1 1 x 510.7721816
hcl Cl H x x 1 1 x x 107.96938
nh2 H N x x 2 1 x x 183.9421835
nh N H x x 1 1 x x 83.59229627
ch2nh2 H C N x 4 1 1 x 482.8167189
bhf2 F B H x 2 1 1 x 411.0631409
h2o H O x x 2 1 x x 229.1007372
hf F H x x 1 1 x x 137.53864
ch2ch H C x x 3 2 x x 447.175013
oh O H x x 1 1 x x 107.1927342
propyne H C x x 4 3 x x 704.1279143
acetaldehyde H C O x 4 2 1 x 677.7067376
allene H C x x 4 3 x x 706.6431253
sif4 F Si x x 4 1 x x 569.8553811
bf3 F B x x 3 1 x x 470.2084763
c2h3f H C F x 3 2 1 x 573.6411077
oxirane H C O x 4 2 1 x 652.2094853
ch2f2 H F C x 2 2 1 x 435.3309708
alf3 F Al x x 3 1 x x 423.1796128
bef2 F Be x x 2 1 x x 305.4627167
ch2c C H x x 2 2 x x 361.6695806
n2h4 H N x x 4 2 x x 436.8322569
ch2nh H C N x 3 1 1 x 438.4600514
alf Al F x x 1 1 x x 163.2247938
acetic H C O x 4 2 2 x 802.9762659
c2h2 C H x x 2 2 x x 402.3438697
h2co H O C x 2 1 1 x 372.8970317
h2cn H C N x 2 1 1 x 345.2951324
bf F B x x 1 1 x x 183.7520384
becl2 Cl Be x x 2 1 x x 231.9836239
t-hcoh H C O x 2 1 1 x 320.9714407
alcl3 Cl Al x x 3 1 x x 318.6301887
c-hcoh H C O x 2 1 1 x 316.5329148
alcl Al Cl x x 1 1 x x 125.4613165
ketene C H O x 2 2 1 x 536.6225497
sif F Si x x 1 1 x x 142.220066
formic H O C x 2 2 1 x 500.0733734
hcnh H C N x 2 1 1 x 336.6570973
glyoxal C H O x 2 2 2 x 633.3297319
hcof C O H F 1 1 1 1 402.6154098
nh2cl H N Cl x 2 1 1 x 248.3777165
cf4 F C x x 4 1 x x 476.7112181
hccf C H F x 2 1 1 x 396.427552
hcn H C N x 1 1 1 x 309.6249651
hnc H N C x 1 1 1 x 296.3166229
cch C H x x 2 1 x x 261.8524221
hco O C H x 1 1 1 x 278.7251385
co C O x x 1 1 x x 256.3424941
oxirene C H O x 2 2 1 x 454.6818928
f2co F O C x 2 1 1 x 420.5341951
hocn C N O H 1 1 1 1 407.4030057
hooh H O x x 2 2 x x 266.058173
t-n2h2 H N x x 2 2 x x 294.9410426
hnco C O N H 1 1 1 1 437.7417176
c-n2h2 H N x x 2 2 x x 289.846413
cf2 F C x x 2 1 x x 259.0543707
co2 O C x x 2 1 x x 391.4070147
fccf F C x x 2 2 x x 383.8681805
dioxirane H O C x 2 2 1 x 409.7251546
cf C F x x 1 1 x x 132.6510695
ssh S H x x 2 1 x x 171.1564726
hocl O H Cl x 1 1 1 x 164.9550695
nccn N C x x 2 2 x x 500.74244
n2 N x x x 2 x x x 224.1680207
n2h N H x x 2 1 x x 225.347227
ocs O C S x 1 1 1 x 341.7066904
sio Si O x x 1 1 x x 190.2010892
clcn Cl C N x 1 1 1 x 285.7405311
hoo O H x x 2 1 x x 176.5031714
hcno C H N O 1 1 1 1 367.0386984
honc H O N C 1 1 1 1 348.7507601
hno N H O x 1 1 1 x 202.977176
hof H O F x 1 1 1 x 157.3074267
c-hono O N H x 2 1 1 x 313.0204602
t-hono O N H x 2 1 1 x 313.5440388
cs2 S C x x 2 1 x x 290.7807021
hnnn N H x x 3 1 x x 336.2854922
cs C S x x 1 1 x x 172.4033402
cn C N x x 1 1 x x 176.8936462
so3 O S x x 3 1 x x 347.8236838
ccl2 Cl C x x 2 1 x x 183.5750047
bn3pi B N x x 1 1 x x 111.1769532
so2 O S x x 2 1 x x 258.8655617
no N O x x 1 1 x x 150.6389901
so S O x x 1 1 x x 127.395286
n2o N O x x 2 1 x x 274.220565
c-hooo O H x x 3 1 x x 236.5056456
s2 S x x x 2 x x x 109.7469466
p4 P x x x 4 x x x 317.5946748
cl2 Cl x x x 2 x x x 61.23013128
o2 O x x x 2 x x x 122.386635
f2 F x x x 2 x x x 38.28657774
t-hooo O H x x 3 1 x x 236.7165701
s2o S O x x 2 1 x x 213.0286671
p2 P x x x 2 x x x 123.7038101
clf Cl F x x 1 1 x x 62.52550686
no2 O N x x 2 1 x x 232.5418783
clo Cl O x x 1 1 x x 68.257224
s3 S x x x 3 x x x 177.0595842
cl2o Cl O x x 2 1 x x 103.0921998
s4-c2v S x x x 4 x x x 246.3842193
of O F x x 1 1 x x 55.34775281
c2 C x x x 2 x x x 137.8144953
oclo O Cl x x 2 1 x x 132.8530973
f2o F O x x 2 1 x x 96.71408272
b2 B x x x 2 x x x 72.87052318
fo2 O F x x 2 1 x x 139.3331034
cloo O Cl x x 2 1 x x 131.8219145
foof F O x x 2 2 x x 161.4682974
o3 O x x x 3 x x x 145.9445959
bn B N x x 1 1 x x 104.9075697
be2 Be x x x 2 x x x 4.489748583
C4H4 C H x x 4 4 x x 801.3682771
C6H6 C H x x 6 6 x x 1259.725445
C8H8 C H x x 8 8 x x 1708.276609
C10H10 C H x x 10 10 x x 2196.892675
C12H12 C H x x 12 12 x x 2719.628077
C20H20 C H x x 20 20 x x 4614.454083
