xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.638718
pentane H C x x 12 5 x x 1594.501928
hexane H C x x 14 6 x x 1888.380308
heptane H C x x 16 7 x x 2182.264159
octane H C x x 18 8 x x 2476.135142
isobutane H C x x 10 4 x x 1301.679113
isopentane H C x x 12 5 x x 1595.067049
isohexane H C x x 14 6 x x 1888.938356
isoheptane H C x x 16 7 x x 2182.855545
isooctane H C x x 18 8 x x 2476.81622
neopentane H C x x 12 5 x x 1597.183774
neohexane H C x x 14 6 x x 1890.024366
neoheptane H C x x 16 7 x x 2183.888874
3methylpentane H C x x 14 6 x x 1888.368508
diisopropyl H C x x 14 6 x x 1888.827008
hexamethylethane H C x x 18 8 x x 2476.377544
h2 H x x x 2 x x x 107.6998722
alh3 H Al x x 3 1 x x 213.7610853
alh Al H x x 1 1 x x 71.13617954
sih4 H Si x x 4 1 x x 326.5802967
bh3 H B x x 3 1 x x 282.8465751
bh B H x x 1 1 x x 83.05336812
ch2-trip H C x x 2 1 x x 196.9598569
sih H Si x x 1 1 x x 74.36450515
si2h6 H Si x x 6 2 x x 538.9978378
ch3 H C x x 3 1 x x 311.3716489
ch4 H C x x 4 1 x x 420.7003777
b2h6 H B x x 6 2 x x 615.2987899
sih3f H F Si x 3 1 1 x 379.6702404
ph3 H P x x 3 1 x x 244.6510827
c2h6 H C x x 6 2 x x 712.9084586
propane H C x x 8 3 x x 1006.746745
ch2-sing H C x x 2 1 x x 187.0592055
ch C H x x 1 1 x x 86.71954936
h2s H S x x 2 1 x x 182.5973851
hs S H x x 1 1 x x 88.50056391
c2h5f H C F x 5 2 1 x 721.129191
ch3nh2 H C N x 5 1 1 x 584.1231863
ch3f H F C x 3 1 1 x 423.3883595
propene H C x x 6 3 x x 861.978884
nh3 H N x x 3 1 x x 298.6700844
ethanol H C O x 6 2 1 x 807.5100934
ch3nh H C N x 4 1 1 x 482.1329338
c2h4 H C x x 4 2 x x 564.7612019
methanol H C O x 4 1 1 x 510.8062189
hcl Cl H x x 1 1 x x 105.4145343
nh2 H N x x 2 1 x x 188.0154864
nh N H x x 1 1 x x 90.63111699
ch2nh2 H C N x 4 1 1 x 488.6767386
bhf2 F B H x 2 1 1 x 406.2334956
h2o H O x x 2 1 x x 227.2335419
hf F H x x 1 1 x x 137.2403812
ch2ch H C x x 3 2 x x 451.1331504
oh O H x x 1 1 x x 106.8697883
propyne H C x x 4 3 x x 706.3432099
acetaldehyde H C O x 4 2 1 x 677.9338987
allene H C x x 4 3 x x 708.9842319
sif4 F Si x x 4 1 x x 556.1398675
bf3 F B x x 3 1 x x 461.216071
c2h3f H C F x 3 2 1 x 575.606733
oxirane H C O x 4 2 1 x 656.5894136
ch2f2 H F C x 2 2 1 x 437.1755621
alf3 F Al x x 3 1 x x 415.7467246
bef2 F Be x x 2 1 x x 305.0652788
ch2c C H x x 2 2 x x 360.0926072
n2h4 H N x x 4 2 x x 443.0209948
ch2nh H C N x 3 1 1 x 443.0674906
alf Al F x x 1 1 x x 156.7498268
acetic H C O x 4 2 2 x 800.7838524
c2h2 C H x x 2 2 x x 405.2466244
h2co H O C x 2 1 1 x 374.7017567
h2cn H C N x 2 1 1 x 351.7462453
bf F B x x 1 1 x x 177.5382069
becl2 Cl Be x x 2 1 x x 225.5214088
t-hcoh H C O x 2 1 1 x 320.5067995
alcl3 Cl Al x x 3 1 x x 304.3879006
c-hcoh H C O x 2 1 1 x 315.9089953
alcl Al Cl x x 1 1 x x 117.601028
ketene C H O x 2 2 1 x 538.5607328
sif F Si x x 1 1 x x 140.6739799
formic H O C x 2 2 1 x 499.7201862
hcnh H C N x 2 1 1 x 344.5797002
glyoxal C H O x 2 2 2 x 634.7757461
hcof C O H F 1 1 1 1 404.3669632
nh2cl H N Cl x 2 1 1 x 251.2704835
cf4 F C x x 4 1 x x 472.9409442
hccf C H F x 2 1 1 x 400.4354735
hcn H C N x 1 1 1 x 315.7239088
hnc H N C x 1 1 1 x 300.589643
cch C H x x 2 1 x x 267.4811951
hco O C H x 1 1 1 x 283.4169816
co C O x x 1 1 x x 255.6287259
oxirene C H O x 2 2 1 x 462.1013172
f2co F O C x 2 1 1 x 420.3971272
hocn C N O H 1 1 1 1 412.4322967
hooh H O x x 2 2 x x 267.4037207
t-n2h2 H N x x 2 2 x x 303.5651358
hnco C O N H 1 1 1 1 442.7635203
c-n2h2 H N x x 2 2 x x 298.3148892
cf2 F C x x 2 1 x x 259.5082443
co2 O C x x 2 1 x x 392.3904237
fccf F C x x 2 2 x x 389.5727483
dioxirane H O C x 2 2 1 x 417.2359146
cf C F x x 1 1 x x 136.7469027
ssh S H x x 2 1 x x 169.0501598
hocl O H Cl x 1 1 1 x 165.4861142
