xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.6998617
alh3 H Al x x 3 1 x x 213.5006588
alh Al H x x 1 1 x x 71.13414233
sih4 H Si x x 4 1 x x 326.0836525
bh3 H B x x 3 1 x x 282.740881
bh B H x x 1 1 x x 83.05285867
ch2-trip H C x x 2 1 x x 196.9336152
sih H Si x x 1 1 x x 74.36376405
si2h6 H Si x x 6 2 x x 537.5716206
ch3 H C x x 3 1 x x 311.3219615
ch4 H C x x 4 1 x x 420.6331344
b2h6 H B x x 6 2 x x 614.3855893
sih3f H F Si x 3 1 1 x 378.8198417
ph3 H P x x 3 1 x x 244.5450976
c2h6 H C x x 6 2 x x 711.9544801
propane H C x x 8 3 x x 1004.430509
ch2-sing H C x x 2 1 x x 187.0501514
ch C H x x 1 1 x x 86.71930876
h2s H S x x 2 1 x x 182.5746307
hs S H x x 1 1 x x 88.49979192
c2h5f H C F x 5 2 1 x 719.7655731
ch3nh2 H C N x 5 1 1 x 583.4669498
ch3f H F C x 3 1 1 x 423.0293739
propene H C x x 6 3 x x 860.5802657
nh3 H N x x 3 1 x x 298.6538599
ethanol H C O x 6 2 1 x 805.8665163
ch3nh H C N x 4 1 1 x 481.7502638
c2h4 H C x x 4 2 x x 564.326655
methanol H C O x 4 1 1 x 510.2929875
hcl Cl H x x 1 1 x x 105.413573
nh2 H N x x 2 1 x x 188.0103773
nh N H x x 1 1 x x 90.63097426
ch2nh2 H C N x 4 1 1 x 488.2467149
bhf2 F B H x 2 1 1 x 405.8157905
h2o H O x x 2 1 x x 227.23013
hf F H x x 1 1 x x 137.2401721
ch2ch H C x x 3 2 x x 450.8733832
oh O H x x 1 1 x x 106.8695675
propyne H C x x 4 3 x x 705.6619136
acetaldehyde H C O x 4 2 1 x 676.9395493
allene H C x x 4 3 x x 708.314372
sif4 F Si x x 4 1 x x 555.1552202
bf3 F B x x 3 1 x x 460.9290913
c2h3f H C F x 3 2 1 x 574.9225174
oxirane H C O x 4 2 1 x 655.7520671
ch2f2 H F C x 2 2 1 x 436.6857404
alf3 F Al x x 3 1 x x 415.23929
bef2 F Be x x 2 1 x x 304.8915872
ch2c C H x x 2 2 x x 360.009674
n2h4 H N x x 4 2 x x 442.5994336
ch2nh H C N x 3 1 1 x 442.8383111
alf Al F x x 1 1 x x 156.7472306
acetic H C O x 4 2 2 x 799.23639
c2h2 C H x x 2 2 x x 405.0998086
h2co H O C x 2 1 1 x 374.5362021
h2cn H C N x 2 1 1 x 351.664868
bf F B x x 1 1 x x 177.5377255
becl2 Cl Be x x 2 1 x x 225.0804697
t-hcoh H C O x 2 1 1 x 320.3680857
alcl3 Cl Al x x 3 1 x x 303.0611086
c-hcoh H C O x 2 1 1 x 315.8089667
alcl Al Cl x x 1 1 x x 117.5881126
ketene C H O x 2 2 1 x 538.1558673
sif F Si x x 1 1 x x 140.6721174
formic H O C x 2 2 1 x 499.2616567
hcnh H C N x 2 1 1 x 344.4613235
glyoxal C H O x 2 2 2 x 633.7696772
hcof C O H F 1 1 1 1 404.1069731
nh2cl H N Cl x 2 1 1 x 251.1014435
cf4 F C x x 4 1 x x 472.5427774
hccf C H F x 2 1 1 x 400.2074697
hcn H C N x 1 1 1 x 315.6630186
hnc H N C x 1 1 1 x 300.5429402
cch C H x x 2 1 x x 267.4140536
hco O C H x 1 1 1 x 283.3381194
co C O x x 1 1 x x 255.6284323
oxirene C H O x 2 2 1 x 461.6130869
f2co F O C x 2 1 1 x 420.1743793
hocn C N O H 1 1 1 1 412.1358685
hooh H O x x 2 2 x x 267.2477263
t-n2h2 H N x x 2 2 x x 303.4521873
hnco C O N H 1 1 1 1 442.5125181
c-n2h2 H N x x 2 2 x x 298.2516722
cf2 F C x x 2 1 x x 259.4597085
co2 O C x x 2 1 x x 392.3139007
fccf F C x x 2 2 x x 389.2575515
dioxirane H O C x 2 2 1 x 416.8607426
cf C F x x 1 1 x x 136.7460167
ssh S H x x 2 1 x x 168.9075299
hocl O H Cl x 1 1 1 x 165.4257853
nccn N C x x 2 2 x x 511.465957
n2 N x x x 2 x x x 232.3783167
