xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.517819
alh3 H Al x x 3 1 x x 208.7131808
alh Al H x x 1 1 x x 72.04969605
sih4 H Si x x 4 1 x x 319.2519617
bh3 H B x x 3 1 x x 281.7998216
bh B H x x 1 1 x x 83.10278813
ch2-trip H C x x 2 1 x x 190.416366
sih H Si x x 1 1 x x 74.26029069
si2h6 H Si x x 6 2 x x 523.8113713
ch3 H C x x 3 1 x x 307.7182662
ch4 H C x x 4 1 x x 417.7673021
b2h6 H B x x 6 2 x x 606.2117993
sih3f H F Si x 3 1 1 x 376.1588077
ph3 H P x x 3 1 x x 243.588865
c2h6 H C x x 6 2 x x 707.0761105
propane H C x x 8 3 x x 998.5492112
ch2-sing H C x x 2 1 x x 184.7791005
ch C H x x 1 1 x x 85.60589612
h2s H S x x 2 1 x x 181.1109421
hs S H x x 1 1 x x 87.81520367
c2h5f H C F x 5 2 1 x 717.6503881
ch3nh2 H C N x 5 1 1 x 584.084814
ch3f H F C x 3 1 1 x 422.4485878
propene H C x x 6 3 x x 856.5130087
nh3 H N x x 3 1 x x 302.0421057
ethanol H C O x 6 2 1 x 806.2242688
ch3nh H C N x 4 1 1 x 481.044755
c2h4 H C x x 4 2 x x 562.1127828
methanol H C O x 4 1 1 x 512.1407716
hcl Cl H x x 1 1 x x 104.5377399
nh2 H N x x 2 1 x x 189.7152573
nh N H x x 1 1 x x 89.55008994
ch2nh2 H C N x 4 1 1 x 488.8179882
bhf2 F B H x 2 1 1 x 410.6731752
h2o H O x x 2 1 x x 232.8057578
hf F H x x 1 1 x x 141.0595937
ch2ch H C x x 3 2 x x 447.6009451
oh O H x x 1 1 x x 109.7491969
propyne H C x x 4 3 x x 703.1406796
acetaldehyde H C O x 4 2 1 x 678.6015479
allene H C x x 4 3 x x 705.9007849
sif4 F Si x x 4 1 x x 561.9030033
bf3 F B x x 3 1 x x 468.1929261
c2h3f H C F x 3 2 1 x 574.862939
oxirane H C O x 4 2 1 x 650.0426626
ch2f2 H F C x 2 2 1 x 437.8301784
alf3 F Al x x 3 1 x x 422.0758311
bef2 F Be x x 2 1 x x 313.6044023
ch2c C H x x 2 2 x x 361.8260749
n2h4 H N x x 4 2 x x 448.6903495
ch2nh H C N x 3 1 1 x 445.6513931
alf Al F x x 1 1 x x 162.4193021
acetic H C O x 4 2 2 x 804.5882893
c2h2 C H x x 2 2 x x 405.6411558
h2co H O C x 2 1 1 x 378.1959063
h2cn H C N x 2 1 1 x 353.6247715
bf F B x x 1 1 x x 182.9845674
becl2 Cl Be x x 2 1 x x 221.4922211
t-hcoh H C O x 2 1 1 x 325.0945043
alcl3 Cl Al x x 3 1 x x 291.285997
c-hcoh H C O x 2 1 1 x 320.987544
alcl Al Cl x x 1 1 x x 116.7180177
ketene C H O x 2 2 1 x 540.8727011
sif F Si x x 1 1 x x 144.5748749
formic H O C x 2 2 1 x 506.6918649
hcnh H C N x 2 1 1 x 347.2910927
glyoxal C H O x 2 2 2 x 641.9401716
hcof C O H F 1 1 1 1 409.3647031
nh2cl H N Cl x 2 1 1 x 252.1416229
