xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1287.498062
pentane H C x x 12 5 x x 1578.186348
hexane H C x x 14 6 x x 1868.898548
heptane H C x x 16 7 x x 2159.600001
octane H C x x 18 8 x x 2450.307308
isobutane H C x x 10 4 x x 1288.541415
isopentane H C x x 12 5 x x 1578.578909
isohexane H C x x 14 6 x x 1869.266529
isoheptane H C x x 16 7 x x 2160.005009
isooctane H C x x 18 8 x x 2450.027042
neopentane H C x x 12 5 x x 1580.577458
neohexane H C x x 14 6 x x 1869.850137
neoheptane H C x x 16 7 x x 2160.520543
3methylpentane H C x x 14 6 x x 1868.481277
diisopropyl H C x x 14 6 x x 1868.648464
hexamethylethane H C x x 18 8 x x 2447.833486
h2 H x x x 2 x x x 109.5170152
alh3 H Al x x 3 1 x x 208.7714747
alh Al H x x 1 1 x x 72.04359592
sih4 H Si x x 4 1 x x 318.8341732
bh3 H B x x 3 1 x x 280.9595707
bh B H x x 1 1 x x 83.10140114
ch2-trip H C x x 2 1 x x 190.1607196
sih H Si x x 1 1 x x 74.25760085
si2h6 H Si x x 6 2 x x 522.8430037
ch3 H C x x 3 1 x x 307.2127876
ch4 H C x x 4 1 x x 417.1460193
b2h6 H B x x 6 2 x x 602.1570829
sih3f H F Si x 3 1 1 x 375.8694143
ph3 H P x x 3 1 x x 242.7464945
c2h6 H C x x 6 2 x x 706.0464474
propane H C x x 8 3 x x 996.7225464
ch2-sing H C x x 2 1 x x 184.7032
ch C H x x 1 1 x x 85.60493604
h2s H S x x 2 1 x x 180.8908652
hs S H x x 1 1 x x 87.81456485
c2h5f H C F x 5 2 1 x 717.0078091
ch3nh2 H C N x 5 1 1 x 583.3283481
ch3f H F C x 3 1 1 x 422.3206101
propene H C x x 6 3 x x 855.4124143
nh3 H N x x 3 1 x x 301.9235195
ethanol H C O x 6 2 1 x 805.3498503
ch3nh H C N x 4 1 1 x 480.3899197
c2h4 H C x x 4 2 x x 561.594821
methanol H C O x 4 1 1 x 511.7179343
hcl Cl H x x 1 1 x x 104.5375847
nh2 H N x x 2 1 x x 189.6789468
nh N H x x 1 1 x x 89.54920685
ch2nh2 H C N x 4 1 1 x 488.3317754
bhf2 F B H x 2 1 1 x 410.7689927
h2o H O x x 2 1 x x 232.7849964
hf F H x x 1 1 x x 141.0589805
ch2ch H C x x 3 2 x x 447.3245881
oh O H x x 1 1 x x 109.7486984
propyne H C x x 4 3 x x 702.6300724
acetaldehyde H C O x 4 2 1 x 678.2895374
allene H C x x 4 3 x x 705.4805633
sif4 F Si x x 4 1 x x 561.3793513
bf3 F B x x 3 1 x x 468.2687244
c2h3f H C F x 3 2 1 x 574.6532558
oxirane H C O x 4 2 1 x 649.5293251
ch2f2 H F C x 2 2 1 x 438.0048507
alf3 F Al x x 3 1 x x 421.7034846
bef2 F Be x x 2 1 x x 313.4707258
ch2c C H x x 2 2 x x 361.601469
n2h4 H N x x 4 2 x x 448.2443938
ch2nh H C N x 3 1 1 x 445.2447557
alf Al F x x 1 1 x x 162.4170075
acetic H C O x 4 2 2 x 804.5225671
c2h2 C H x x 2 2 x x 405.4586823
h2co H O C x 2 1 1 x 378.1170726
h2cn H C N x 2 1 1 x 353.3959112
bf F B x x 1 1 x x 182.9833566
becl2 Cl Be x x 2 1 x x 221.6139524
t-hcoh H C O x 2 1 1 x 325.1373661
alcl3 Cl Al x x 3 1 x x 291.6338865
c-hcoh H C O x 2 1 1 x 320.7301683
alcl Al Cl x x 1 1 x x 116.7196257
ketene C H O x 2 2 1 x 540.7918772
sif F Si x x 1 1 x x 144.574108
formic H O C x 2 2 1 x 506.8554653
hcnh H C N x 2 1 1 x 347.2698938
glyoxal C H O x 2 2 2 x 642.1802647
hcof C O H F 1 1 1 1 409.5427247
nh2cl H N Cl x 2 1 1 x 252.2169976
cf4 F C x x 4 1 x x 475.8128408
hccf C H F x 2 1 1 x 402.4283981
hcn H C N x 1 1 1 x 320.5140887
hnc H N C x 1 1 1 x 305.6052101
cch C H x x 2 1 x x 266.5187443
hco O C H x 1 1 1 x 287.2749627
co C O x x 1 1 x x 261.8924835
oxirene C H O x 2 2 1 x 460.8762064
f2co F O C x 2 1 1 x 426.1713167
hocn C N O H 1 1 1 1 420.4302571
hooh H O x x 2 2 x x 276.0082868
t-n2h2 H N x x 2 2 x x 310.5736227
