xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1293.200606
pentane H C x x 12 5 x x 1585.366996
hexane H C x x 14 6 x x 1877.558107
heptane H C x x 16 7 x x 2169.740433
octane H C x x 18 8 x x 2461.927471
isobutane H C x x 10 4 x x 1294.309279
isopentane H C x x 12 5 x x 1585.953077
isohexane H C x x 14 6 x x 1878.129024
isoheptane H C x x 16 7 x x 2170.352613
isooctane H C x x 18 8 x x 2462.324013
neopentane H C x x 12 5 x x 1587.971794
neohexane H C x x 14 6 x x 1878.968549
neoheptane H C x x 16 7 x x 2171.134749
3methylpentane H C x x 14 6 x x 1877.502193
diisopropyl H C x x 14 6 x x 1877.817447
hexamethylethane H C x x 18 8 x x 2460.812319
h2 H x x x 2 x x x 109.62804
alh3 H Al x x 3 1 x x 209.9190986
alh Al H x x 1 1 x x 72.71617681
sih4 H Si x x 4 1 x x 320.4849388
bh3 H B x x 3 1 x x 281.8797199
bh B H x x 1 1 x x 83.49780683
ch2-trip H C x x 2 1 x x 190.7717225
sih H Si x x 1 1 x x 74.87599283
si2h6 H Si x x 6 2 x x 527.6522364
ch3 H C x x 3 1 x x 308.2167217
ch4 H C x x 4 1 x x 418.535112
b2h6 H B x x 6 2 x x 605.3123092
sih3f H F Si x 3 1 1 x 377.1562589
ph3 H P x x 3 1 x x 244.4270575
c2h6 H C x x 6 2 x x 708.8165247
propane H C x x 8 3 x x 1000.960016
ch2-sing H C x x 2 1 x x 185.3466636
ch C H x x 1 1 x x 85.93679462
h2s H S x x 2 1 x x 181.9396958
hs S H x x 1 1 x x 88.31420331
c2h5f H C F x 5 2 1 x 719.3893423
ch3nh2 H C N x 5 1 1 x 585.710657
ch3f H F C x 3 1 1 x 423.3678418
propene H C x x 6 3 x x 859.5640206
nh3 H N x x 3 1 x x 302.855125
ethanol H C O x 6 2 1 x 808.2816943
ch3nh H C N x 4 1 1 x 482.5815401
c2h4 H C x x 4 2 x x 564.0004681
methanol H C O x 4 1 1 x 513.3139522
hcl Cl H x x 1 1 x x 104.9724669
nh2 H N x x 2 1 x x 190.2558313
nh N H x x 1 1 x x 89.80317155
ch2nh2 H C N x 4 1 1 x 490.5002412
bhf2 F B H x 2 1 1 x 411.44003
h2o H O x x 2 1 x x 233.2305884
hf F H x x 1 1 x x 141.2002659
ch2ch H C x x 3 2 x x 449.3298756
oh O H x x 1 1 x x 109.9413599
propyne H C x x 4 3 x x 706.0421503
acetaldehyde H C O x 4 2 1 x 680.9678059
allene H C x x 4 3 x x 709.0811803
sif4 F Si x x 4 1 x x 563.0557834
bf3 F B x x 3 1 x x 469.3527182
c2h3f H C F x 3 2 1 x 576.8564812
oxirane H C O x 4 2 1 x 652.0665528
ch2f2 H F C x 2 2 1 x 439.0243877
alf3 F Al x x 3 1 x x 422.8693443
bef2 F Be x x 2 1 x x 314.1256566
ch2c C H x x 2 2 x x 363.4571866
n2h4 H N x x 4 2 x x 450.2124347
ch2nh H C N x 3 1 1 x 447.1556481
alf Al F x x 1 1 x x 163.1269497
acetic H C O x 4 2 2 x 807.6370227
c2h2 C H x x 2 2 x x 406.9858549
h2co H O C x 2 1 1 x 379.267186
h2cn H C N x 2 1 1 x 354.9425721
bf F B x x 1 1 x x 183.4435544
becl2 Cl Be x x 2 1 x x 224.0824116
t-hcoh H C O x 2 1 1 x 326.3042173
alcl3 Cl Al x x 3 1 x x 296.2731536
c-hcoh H C O x 2 1 1 x 321.9649368
alcl Al Cl x x 1 1 x x 118.8502649
ketene C H O x 2 2 1 x 543.0201629
sif F Si x x 1 1 x x 145.2657241
formic H O C x 2 2 1 x 508.5109779
hcnh H C N x 2 1 1 x 348.7486601
glyoxal C H O x 2 2 2 x 644.7351937
hcof C O H F 1 1 1 1 410.7039189
nh2cl H N Cl x 2 1 1 x 254.0865366
cf4 F C x x 4 1 x x 477.5030425
hccf C H F x 2 1 1 x 403.9558427
hcn H C N x 1 1 1 x 321.5421992
hnc H N C x 1 1 1 x 306.7753381
cch C H x x 2 1 x x 267.7835207
hco O C H x 1 1 1 x 288.0746758
co C O x x 1 1 x x 262.455577
oxirene C H O x 2 2 1 x 462.772138
f2co F O C x 2 1 1 x 427.6092411
hocn C N O H 1 1 1 1 421.961803
hooh H O x x 2 2 x x 276.8070675
t-n2h2 H N x x 2 2 x x 311.9420855
hnco C O N H 1 1 1 1 451.4742499
c-n2h2 H N x x 2 2 x x 306.9581926
cf2 F C x x 2 1 x x 264.5795926
co2 O C x x 2 1 x x 400.8745808
fccf F C x x 2 2 x x 395.4255346
dioxirane H O C x 2 2 1 x 418.3534477
cf C F x x 1 1 x x 139.5069548
ssh S H x x 2 1 x x 168.3784904
