xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.5923881
alh3 H Al x x 3 1 x x 210.0984848
alh Al H x x 1 1 x x 72.83661133
sih4 H Si x x 4 1 x x 320.4644743
bh3 H B x x 3 1 x x 281.7071441
bh B H x x 1 1 x x 83.45967364
ch2-trip H C x x 2 1 x x 190.6452483
sih H Si x x 1 1 x x 74.92115612
si2h6 H Si x x 6 2 x x 529.1652249
ch3 H C x x 3 1 x x 307.9848045
ch4 H C x x 4 1 x x 418.1838289
b2h6 H B x x 6 2 x x 604.7854063
sih3f H F Si x 3 1 1 x 377.206257
ph3 H P x x 3 1 x x 244.3193448
c2h6 H C x x 6 2 x x 708.0267514
propane H C x x 8 3 x x 999.7022929
ch2-sing H C x x 2 1 x x 185.2186616
ch C H x x 1 1 x x 85.88037862
h2s H S x x 2 1 x x 181.8652429
hs S H x x 1 1 x x 88.29319341
c2h5f H C F x 5 2 1 x 718.6087673
ch3nh2 H C N x 5 1 1 x 585.0186768
ch3f H F C x 3 1 1 x 423.0209683
propene H C x x 6 3 x x 858.7372744
nh3 H N x x 3 1 x x 302.6091261
ethanol H C O x 6 2 1 x 807.3499983
ch3nh H C N x 4 1 1 x 482.0444911
c2h4 H C x x 4 2 x x 563.5512767
methanol H C O x 4 1 1 x 512.8167311
hcl Cl H x x 1 1 x x 104.9355619
nh2 H N x x 2 1 x x 190.1143602
nh N H x x 1 1 x x 89.74632052
ch2nh2 H C N x 4 1 1 x 489.9825759
bhf2 F B H x 2 1 1 x 411.3024373
h2o H O x x 2 1 x x 233.1135011
hf F H x x 1 1 x x 141.1622888
ch2ch H C x x 3 2 x x 449.0370582
oh O H x x 1 1 x x 109.8950657
propyne H C x x 4 3 x x 705.6124432
acetaldehyde H C O x 4 2 1 x 680.3578499
allene H C x x 4 3 x x 708.6777804
sif4 F Si x x 4 1 x x 563.2848272
bf3 F B x x 3 1 x x 469.2254494
c2h3f H C F x 3 2 1 x 576.4301619
oxirane H C O x 4 2 1 x 651.4802121
ch2f2 H F C x 2 2 1 x 438.6767954
