xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.7077654
alh3 H Al x x 3 1 x x 210.5083119
alh Al H x x 1 1 x x 72.99135921
sih4 H Si x x 4 1 x x 321.59085
bh3 H B x x 3 1 x x 282.4926024
bh B H x x 1 1 x x 83.71210567
ch2-trip H C x x 2 1 x x 191.1612331
sih H Si x x 1 1 x x 75.155281
si2h6 H Si x x 6 2 x x 529.7548227
ch3 H C x x 3 1 x x 308.8778527
ch4 H C x x 4 1 x x 419.4725501
b2h6 H B x x 6 2 x x 607.5799233
sih3f H F Si x 3 1 1 x 378.2869889
ph3 H P x x 3 1 x x 245.3719259
c2h6 H C x x 6 2 x x 711.0291301
propane H C x x 8 3 x x 1004.552984
ch2-sing H C x x 2 1 x x 185.7437732
ch C H x x 1 1 x x 86.1320477
h2s H S x x 2 1 x x 182.5060925
hs S H x x 1 1 x x 88.56868136
c2h5f H C F x 5 2 1 x 721.6686401
ch3nh2 H C N x 5 1 1 x 587.5782359
ch3f H F C x 3 1 1 x 424.3546824
propene H C x x 6 3 x x 862.4620211
nh3 H N x x 3 1 x x 303.4785176
ethanol H C O x 6 2 1 x 810.9758726
ch3nh H C N x 4 1 1 x 484.1416286
c2h4 H C x x 4 2 x x 565.6016974
methanol H C O x 4 1 1 x 514.6895052
hcl Cl H x x 1 1 x x 105.2048079
nh2 H N x x 2 1 x x 190.6308456
nh N H x x 1 1 x x 89.96287978
ch2nh2 H C N x 4 1 1 x 492.0376957
bhf2 F B H x 2 1 1 x 412.1413738
h2o H O x x 2 1 x x 233.5267696
hf F H x x 1 1 x x 141.2946598
ch2ch H C x x 3 2 x x 450.5650887
oh O H x x 1 1 x x 110.0652515
propyne H C x x 4 3 x x 708.0394234
acetaldehyde H C O x 4 2 1 x 683.0363674
allene H C x x 4 3 x x 711.1277231
sif4 F Si x x 4 1 x x 564.3551656
bf3 F B x x 3 1 x x 470.121663
c2h3f H C F x 3 2 1 x 578.4954374
oxirane H C O x 4 2 1 x 654.0769183
ch2f2 H F C x 2 2 1 x 440.0810423
alf3 F Al x x 3 1 x x 423.5096037
bef2 F Be x x 2 1 x x 314.529125
ch2c C H x x 2 2 x x 364.5022207
n2h4 H N x x 4 2 x x 451.7184716
ch2nh H C N x 3 1 1 x 448.4044971
alf Al F x x 1 1 x x 163.3831739
acetic H C O x 4 2 2 x 810.1949648
c2h2 C H x x 2 2 x x 407.8583996
h2co H O C x 2 1 1 x 380.0770946
h2cn H C N x 2 1 1 x 355.8736406
bf F B x x 1 1 x x 183.6686056
becl2 Cl Be x x 2 1 x x 224.8878361
t-hcoh H C O x 2 1 1 x 327.0618972
alcl3 Cl Al x x 3 1 x x 297.3179372
c-hcoh H C O x 2 1 1 x 322.7591881
alcl Al Cl x x 1 1 x x 119.3506885
ketene C H O x 2 2 1 x 544.3671949
sif F Si x x 1 1 x x 145.5437574
formic H O C x 2 2 1 x 509.7814187
hcnh H C N x 2 1 1 x 349.6336563
glyoxal C H O x 2 2 2 x 646.6472149
hcof C O H F 1 1 1 1 411.5702148
nh2cl H N Cl x 2 1 1 x 255.158453
cf4 F C x x 4 1 x x 478.7582634
hccf C H F x 2 1 1 x 404.855987
hcn H C N x 1 1 1 x 322.1340307
hnc H N C x 1 1 1 x 307.4316029
cch C H x x 2 1 x x 268.4574988
hco O C H x 1 1 1 x 288.5844473
co C O x x 1 1 x x 262.7440423
oxirene C H O x 2 2 1 x 464.1031131
f2co F O C x 2 1 1 x 428.5516421
hocn C N O H 1 1 1 1 422.9206544
hooh H O x x 2 2 x x 277.432653
t-n2h2 H N x x 2 2 x x 312.8204805
hnco C O N H 1 1 1 1 452.4829252
c-n2h2 H N x x 2 2 x x 307.8717274
cf2 F C x x 2 1 x x 265.0690792
co2 O C x x 2 1 x x 401.5076879
fccf F C x x 2 2 x x 396.3521503
dioxirane H O C x 2 2 1 x 419.5465796
cf C F x x 1 1 x x 139.727959
ssh S H x x 2 1 x x 169.3632559
hocl O H Cl x 1 1 1 x 170.3425853
nccn N C x x 2 2 x x 525.1166545
n2 N x x x 2 x x x 241.3010158
n2h N H x x 2 1 x x 245.0706671
ocs O C S x 1 1 1 x 346.2994818
sio Si O x x 1 1 x x 196.7325822
clcn Cl C N x 1 1 1 x 295.574529
hoo O H x x 2 1 x x 189.2753587
hcno C H N O 1 1 1 1 387.951224
honc H O N C 1 1 1 1 365.8828319
hno N H O x 1 1 1 x 219.1645058
hof H O F x 1 1 1 x 168.2367268
c-hono O N H x 2 1 1 x 333.5733965
t-hono O N H x 2 1 1 x 334.6953342
cs2 S C x x 2 1 x x 289.8332347
hnnn N H x x 3 1 x x 364.737971
cs C S x x 1 1 x x 174.2278942
cn C N x x 1 1 x x 192.4110613
so3 O S x x 3 1 x x 355.192483
ccl2 Cl C x x 2 1 x x 182.0383896
bn3pi B N x x 1 1 x x 119.6429928
so2 O S x x 2 1 x x 269.0202929
no N O x x 1 1 x x 167.1420559
so S O x x 1 1 x x 136.0099008
n2o N O x x 2 1 x x 298.8669758
c-hooo O H x x 3 1 x x 259.8140175
s2 S x x x 2 x x x 110.0480936
p4 P x x x 4 x x x 299.864684
cl2 Cl x x x 2 x x x 60.04347434
o2 O x x x 2 x x x 135.9802148
f2 F x x x 2 x x x 49.13016002
t-hooo O H x x 3 1 x x 261.3636915
s2o S O x x 2 1 x x 218.0842105
p2 P x x x 2 x x x 124.9896686
clf Cl F x x 1 1 x x 67.73839045
no2 O N x x 2 1 x x 256.258363
clo Cl O x x 1 1 x x 75.79117946
s3 S x x x 3 x x x 176.4041846
cl2o Cl O x x 2 1 x x 110.9328463
s4-c2v S x x x 4 x x x 247.7644869
of O F x x 1 1 x x 67.35519567
c2 C x x x 2 x x x 147.3681377
oclo O Cl x x 2 1 x x 146.5150914
f2o F O x x 2 1 x x 114.7231371
b2 B x x x 2 x x x 70.03695732
fo2 O F x x 2 1 x x 164.5691729
cloo O Cl x x 2 1 x x 151.668636
foof F O x x 2 2 x x 192.2424283
o3 O x x x 3 x x x 171.4397936
bn B N x x 1 1 x x 115.4060766
be2 Be x x x 2 x x x 9.789342877
