xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1306.366413
pentane H C x x 12 5 x x 1602.042153
hexane H C x x 14 6 x x 1897.747622
heptane H C x x 16 7 x x 2193.445112
octane H C x x 18 8 x x 2489.146827
isobutane H C x x 10 4 x x 1307.641398
isopentane H C x x 12 5 x x 1602.805669
isohexane H C x x 14 6 x x 1898.508514
isoheptane H C x x 16 7 x x 2194.252864
isooctane H C x x 18 8 x x 2490.32266
neopentane H C x x 12 5 x x 1605.186437
neohexane H C x x 14 6 x x 1899.709088
neoheptane H C x x 16 7 x x 2195.413011
3methylpentane H C x x 14 6 x x 1897.880793
diisopropyl H C x x 14 6 x x 1898.456477
hexamethylethane H C x x 18 8 x x 2489.390296
h2 H x x x 2 x x x 109.7825545
alh3 H Al x x 3 1 x x 210.5892296
alh Al H x x 1 1 x x 72.64996878
sih4 H Si x x 4 1 x x 322.1298872
bh3 H B x x 3 1 x x 283.0763447
bh B H x x 1 1 x x 83.7209039
ch2-trip H C x x 2 1 x x 192.1660525
sih H Si x x 1 1 x x 75.15530579
si2h6 H Si x x 6 2 x x 530.4608543
ch3 H C x x 3 1 x x 310.2571508
ch4 H C x x 4 1 x x 421.3605397
b2h6 H B x x 6 2 x x 609.7573147
sih3f H F Si x 3 1 1 x 380.5598481
ph3 H P x x 3 1 x x 246.2584661
c2h6 H C x x 6 2 x x 714.9873291
propane H C x x 8 3 x x 1010.640984
ch2-sing H C x x 2 1 x x 186.6390326
ch C H x x 1 1 x x 86.45423093
h2s H S x x 2 1 x x 183.6464382
hs S H x x 1 1 x x 89.16041741
c2h5f H C F x 5 2 1 x 727.8807289
ch3nh2 H C N x 5 1 1 x 591.7897821
ch3f H F C x 3 1 1 x 428.1276474
propene H C x x 6 3 x x 867.7141878
nh3 H N x x 3 1 x x 305.4101669
ethanol H C O x 6 2 1 x 817.6940897
ch3nh H C N x 4 1 1 x 487.7904347
c2h4 H C x x 4 2 x x 568.7700255
methanol H C O x 4 1 1 x 518.9715168
hcl Cl H x x 1 1 x x 106.0334062
nh2 H N x x 2 1 x x 191.867242
nh N H x x 1 1 x x 90.5676689
ch2nh2 H C N x 4 1 1 x 495.9193549
bhf2 F B H x 2 1 1 x 416.3785355
h2o H O x x 2 1 x x 235.1915499
hf F H x x 1 1 x x 142.2450972
ch2ch H C x x 3 2 x x 453.520397
oh O H x x 1 1 x x 110.8696717
propyne H C x x 4 3 x x 712.85955
acetaldehyde H C O x 4 2 1 x 688.4463032
allene H C x x 4 3 x x 715.8682797
sif4 F Si x x 4 1 x x 572.8599069
bf3 F B x x 3 1 x x 476.2662532
c2h3f H C F x 3 2 1 x 583.8431064
oxirane H C O x 4 2 1 x 661.1713152
ch2f2 H F C x 2 2 1 x 446.1434251
alf3 F Al x x 3 1 x x 428.2186916
bef2 F Be x x 2 1 x x 316.5703372
ch2c C H x x 2 2 x x 366.7493024
n2h4 H N x x 4 2 x x 456.1873641
ch2nh H C N x 3 1 1 x 451.6990177
alf Al F x x 1 1 x x 164.8962706
acetic H C O x 4 2 2 x 818.6074916
c2h2 C H x x 2 2 x x 410.5281341
h2co H O C x 2 1 1 x 383.2282714
h2cn H C N x 2 1 1 x 358.6933544
bf F B x x 1 1 x x 185.4452132
becl2 Cl Be x x 2 1 x x 225.9782171
t-hcoh H C O x 2 1 1 x 330.5300323
alcl3 Cl Al x x 3 1 x x 300.4997903
c-hcoh H C O x 2 1 1 x 326.1384202
alcl Al Cl x x 1 1 x x 119.9952133
ketene C H O x 2 2 1 x 549.0479847
sif F Si x x 1 1 x x 147.4652589
formic H O C x 2 2 1 x 515.7269457
hcnh H C N x 2 1 1 x 352.7290939
glyoxal C H O x 2 2 2 x 653.3457569
hcof C O H F 1 1 1 1 416.9101609
nh2cl H N Cl x 2 1 1 x 258.4304212
cf4 F C x x 4 1 x x 490.3997292
hccf C H F x 2 1 1 x 409.4298776
hcn H C N x 1 1 1 x 324.5988301
hnc H N C x 1 1 1 x 309.8618901
cch C H x x 2 1 x x 270.583492
hco O C H x 1 1 1 x 291.4206221
co C O x x 1 1 x x 264.9698372
oxirene C H O x 2 2 1 x 470.0007151
f2co F O C x 2 1 1 x 436.2771848
