xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.5169976
alh3 H Al x x 3 1 x x 208.4049833
alh Al H x x 1 1 x x 72.04004084
sih4 H Si x x 4 1 x x 318.0419947
bh3 H B x x 3 1 x x 280.7829329
bh B H x x 1 1 x x 83.10052297
ch2-trip H C x x 2 1 x x 190.1167641
sih H Si x x 1 1 x x 74.25632194
si2h6 H Si x x 6 2 x x 520.5834035
ch3 H C x x 3 1 x x 307.1294364
ch4 H C x x 4 1 x x 417.0331604
b2h6 H B x x 6 2 x x 600.6959557
sih3f H F Si x 3 1 1 x 374.5595565
ph3 H P x x 3 1 x x 242.5693648
c2h6 H C x x 6 2 x x 704.5895175
propane H C x x 8 3 x x 993.2283464
ch2-sing H C x x 2 1 x x 184.6879922
ch C H x x 1 1 x x 85.60452483
h2s H S x x 2 1 x x 180.8526526
hs S H x x 1 1 x x 87.81323195
c2h5f H C F x 5 2 1 x 714.9158718
ch3nh2 H C N x 5 1 1 x 582.3072053
ch3f H F C x 3 1 1 x 421.7086268
propene H C x x 6 3 x x 853.310935
nh3 H N x x 3 1 x x 301.8962776
ethanol H C O x 6 2 1 x 802.8285756
ch3nh H C N x 4 1 1 x 479.7800835
c2h4 H C x x 4 2 x x 560.9290084
methanol H C O x 4 1 1 x 510.8829187
hcl Cl H x x 1 1 x x 104.5359209
nh2 H N x x 2 1 x x 189.6703649
nh N H x x 1 1 x x 89.54896427
ch2nh2 H C N x 4 1 1 x 487.671406
bhf2 F B H x 2 1 1 x 410.0645713
h2o H O x x 2 1 x x 232.7792551
hf F H x x 1 1 x x 141.0586208
ch2ch H C x x 3 2 x x 446.9291498
oh O H x x 1 1 x x 109.7483192
propyne H C x x 4 3 x x 701.6319912
acetaldehyde H C O x 4 2 1 x 676.7771103
allene H C x x 4 3 x x 704.5245723
sif4 F Si x x 4 1 x x 559.767471
bf3 F B x x 3 1 x x 467.7808343
c2h3f H C F x 3 2 1 x 573.5984924
oxirane H C O x 4 2 1 x 648.1816642
ch2f2 H F C x 2 2 1 x 437.168113
alf3 F Al x x 3 1 x x 420.9473623
bef2 F Be x x 2 1 x x 313.2051045
ch2c C H x x 2 2 x x 361.4603631
n2h4 H N x x 4 2 x x 447.5822664
ch2nh H C N x 3 1 1 x 444.8865534
alf Al F x x 1 1 x x 162.4124309
acetic H C O x 4 2 2 x 802.181689
c2h2 C H x x 2 2 x x 405.2272902
h2co H O C x 2 1 1 x 377.8342904
h2cn H C N x 2 1 1 x 353.2580849
bf F B x x 1 1 x x 182.9825212
becl2 Cl Be x x 2 1 x x 220.8927625
t-hcoh H C O x 2 1 1 x 324.9256291
alcl3 Cl Al x x 3 1 x x 289.4568654
c-hcoh H C O x 2 1 1 x 320.5601495
alcl Al Cl x x 1 1 x x 116.6966511
ketene C H O x 2 2 1 x 540.1926415
sif F Si x x 1 1 x x 144.5708504
formic H O C x 2 2 1 x 506.1046301
hcnh H C N x 2 1 1 x 347.0963824
glyoxal C H O x 2 2 2 x 640.6054353
hcof C O H F 1 1 1 1 409.0978165
nh2cl H N Cl x 2 1 1 x 251.9251304
cf4 F C x x 4 1 x x 475.1326587
hccf C H F x 2 1 1 x 402.058026
hcn H C N x 1 1 1 x 320.4110138
hnc H N C x 1 1 1 x 305.525507
cch C H x x 2 1 x x 266.4043659
hco O C H x 1 1 1 x 287.1400329
co C O x x 1 1 x x 261.8919754
oxirene C H O x 2 2 1 x 460.0787804
f2co F O C x 2 1 1 x 425.7899359
hocn C N O H 1 1 1 1 419.9638276
hooh H O x x 2 2 x x 275.7491057
t-n2h2 H N x x 2 2 x x 310.4049172
hnco C O N H 1 1 1 1 449.4215041
c-n2h2 H N x x 2 2 x x 305.3965266
cf2 F C x x 2 1 x x 263.6688995
co2 O C x x 2 1 x x 399.5998013
fccf F C x x 2 2 x x 393.3813592
dioxirane H O C x 2 2 1 x 416.1924785
cf C F x x 1 1 x x 139.0938779
ssh S H x x 2 1 x x 165.5097219
hocl O H Cl x 1 1 1 x 168.4831316
nccn N C x x 2 2 x x 520.6269785
n2 N x x x 2 x x x 240.4009873
n2h N H x x 2 1 x x 243.4446601
ocs O C S x 1 1 1 x 343.0522439
sio Si O x x 1 1 x x 195.3975741
clcn Cl C N x 1 1 1 x 292.1843355
hoo O H x x 2 1 x x 188.1926054
hcno C H N O 1 1 1 1 384.9571464
honc H O N C 1 1 1 1 362.7221974
hno N H O x 1 1 1 x 217.8130007
hof H O F x 1 1 1 x 167.3374154
c-hono O N H x 2 1 1 x 330.938625
t-hono O N H x 2 1 1 x 332.1887614
cs2 S C x x 2 1 x x 284.7185145
hnnn N H x x 3 1 x x 361.424857
cs C S x x 1 1 x x 172.2891085
cn C N x x 1 1 x x 191.2950316
so3 O S x x 3 1 x x 350.3576714
ccl2 Cl C x x 2 1 x x 177.447339
bn3pi B N x x 1 1 x x 118.3928141
so2 O S x x 2 1 x x 266.239888
no N O x x 1 1 x x 166.4414379
so S O x x 1 1 x x 134.8168905
n2o N O x x 2 1 x x 296.7569843
c-hooo O H x x 3 1 x x 257.5992274
s2 S x x x 2 x x x 107.4576355
p4 P x x x 4 x x x 284.2268128
cl2 Cl x x x 2 x x x 57.96103024
o2 O x x x 2 x x x 135.4246074
f2 F x x x 2 x x x 48.78224949
t-hooo O H x x 3 1 x x 259.2836893
s2o S O x x 2 1 x x 213.5340738
p2 P x x x 2 x x x 121.8455266
clf Cl F x x 1 1 x x 66.9139023
no2 O N x x 2 1 x x 254.4416153
clo Cl O x x 1 1 x x 74.70766655
s3 S x x x 3 x x x 169.6252499
cl2o Cl O x x 2 1 x x 107.2748914
s4-c2v S x x x 4 x x x 234.7846184
of O F x x 1 1 x x 66.92223036
c2 C x x x 2 x x x 145.9576185
oclo O Cl x x 2 1 x x 143.9171767
f2o F O x x 2 1 x x 113.6317943
b2 B x x x 2 x x x 68.19463677
fo2 O F x x 2 1 x x 163.2729939
cloo O Cl x x 2 1 x x 149.4171874
foof F O x x 2 2 x x 190.1516184
o3 O x x x 3 x x x 169.9402671
bn B N x x 1 1 x x 114.1552604
be2 Be x x x 2 x x x 6.005799737
