xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.885284
pentane H C x x 12 5 x x 1600.544455
hexane H C x x 14 6 x x 1896.22988
heptane H C x x 16 7 x x 2191.916766
octane H C x x 18 8 x x 2487.602076
isobutane H C x x 10 4 x x 1306.429093
isopentane H C x x 12 5 x x 1601.859414
isohexane H C x x 14 6 x x 1897.534667
isoheptane H C x x 16 7 x x 2193.255618
isooctane H C x x 18 8 x x 2490.783938
neopentane H C x x 12 5 x x 1604.727583
neohexane H C x x 14 6 x x 1899.831222
neoheptane H C x x 16 7 x x 2195.50262
3methylpentane H C x x 14 6 x x 1897.177457
diisopropyl H C x x 14 6 x x 1898.291304
hexamethylethane H C x x 18 8 x x 2492.023854
h2 H x x x 2 x x x 107.5869618
alh3 H Al x x 3 1 x x 210.5751984
alh Al H x x 1 1 x x 72.39762605
sih4 H Si x x 4 1 x x 323.9379228
bh3 H B x x 3 1 x x 285.4689544
bh B H x x 1 1 x x 83.2500522
ch2-trip H C x x 2 1 x x 190.1478928
sih H Si x x 1 1 x x 73.84626226
si2h6 H Si x x 6 2 x x 533.6155076
ch3 H C x x 3 1 x x 307.2963443
ch4 H C x x 4 1 x x 420.0576579
b2h6 H B x x 6 2 x x 617.3057592
sih3f H F Si x 3 1 1 x 380.5613872
ph3 H P x x 3 1 x x 243.8735642
c2h6 H C x x 6 2 x x 713.572308
propane H C x x 8 3 x x 1009.218981
ch2-sing H C x x 2 1 x x 182.0387014
ch C H x x 1 1 x x 83.41782503
h2s H S x x 2 1 x x 181.3501967
hs S H x x 1 1 x x 86.954343
c2h5f H C F x 5 2 1 x 722.4012198
ch3nh2 H C N x 5 1 1 x 585.1146257
ch3f H F C x 3 1 1 x 423.184956
propene H C x x 6 3 x x 861.5190112
nh3 H N x x 3 1 x x 299.1715214
ethanol H C O x 6 2 1 x 811.76709
ch3nh H C N x 4 1 1 x 478.9664728
c2h4 H C x x 4 2 x x 563.0373076
methanol H C O x 4 1 1 x 513.4059497
hcl Cl H x x 1 1 x x 105.8521647
nh2 H N x x 2 1 x x 184.6497403
nh N H x x 1 1 x x 85.52051981
ch2nh2 H C N x 4 1 1 x 486.3089456
