xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.219382
pentane H C x x 12 5 x x 1601.078232
hexane H C x x 14 6 x x 1896.961502
heptane H C x x 16 7 x x 2192.847288
octane H C x x 18 8 x x 2488.733091
isobutane H C x x 10 4 x x 1306.747471
isopentane H C x x 12 5 x x 1602.23733
isohexane H C x x 14 6 x x 1898.093657
isoheptane H C x x 16 7 x x 2194.009124
isooctane H C x x 18 8 x x 2491.398351
neopentane H C x x 12 5 x x 1605.192758
neohexane H C x x 14 6 x x 1900.229864
neoheptane H C x x 16 7 x x 2196.068472
3methylpentane H C x x 14 6 x x 1897.547055
diisopropyl H C x x 14 6 x x 1898.529382
hexamethylethane H C x x 18 8 x x 2491.964828
h2 H x x x 2 x x x 107.5865353
alh3 H Al x x 3 1 x x 210.6713029
alh Al H x x 1 1 x x 72.39639226
sih4 H Si x x 4 1 x x 324.0304694
bh3 H B x x 3 1 x x 285.1006159
bh B H x x 1 1 x x 83.24978958
ch2-trip H C x x 2 1 x x 190.031205
sih H Si x x 1 1 x x 73.84552001
si2h6 H Si x x 6 2 x x 534.0157966
ch3 H C x x 3 1 x x 307.0640859
ch4 H C x x 4 1 x x 419.7774819
b2h6 H B x x 6 2 x x 615.735098
sih3f H F Si x 3 1 1 x 380.8602988
ph3 H P x x 3 1 x x 243.5043324
c2h6 H C x x 6 2 x x 713.5037674
propane H C x x 8 3 x x 1009.343886
ch2-sing H C x x 2 1 x x 182.0052066
ch C H x x 1 1 x x 83.41752631
h2s H S x x 2 1 x x 181.2501324
hs S H x x 1 1 x x 86.9547433
c2h5f H C F x 5 2 1 x 722.7896487
ch3nh2 H C N x 5 1 1 x 585.0818812
ch3f H F C x 3 1 1 x 423.4429281
propene H C x x 6 3 x x 861.5889602
nh3 H N x x 3 1 x x 299.1209104
ethanol H C O x 6 2 1 x 812.1777107
ch3nh H C N x 4 1 1 x 478.8639783
c2h4 H C x x 4 2 x x 562.9886126
methanol H C O x 4 1 1 x 513.5534457
hcl Cl H x x 1 1 x x 105.8530207
nh2 H N x x 2 1 x x 184.6343708
nh N H x x 1 1 x x 85.52016913
ch2nh2 H C N x 4 1 1 x 486.2774642
bhf2 F B H x 2 1 1 x 415.1312652
h2o H O x x 2 1 x x 230.4287951
hf F H x x 1 1 x x 138.4196792
ch2ch H C x x 3 2 x x 445.3409541
oh O H x x 1 1 x x 106.9214555
propyne H C x x 4 3 x x 704.3018049
acetaldehyde H C O x 4 2 1 x 680.5054473
allene H C x x 4 3 x x 704.7169395
sif4 F Si x x 4 1 x x 569.8525578
bf3 F B x x 3 1 x x 474.6292286
c2h3f H C F x 3 2 1 x 574.5101074
oxirane H C O x 4 2 1 x 654.1067194
ch2f2 H F C x 2 2 1 x 438.8178632
alf3 F Al x x 3 1 x x 421.9990445
bef2 F Be x x 2 1 x x 311.4406565
ch2c C H x x 2 2 x x 359.2865159
n2h4 H N x x 4 2 x x 443.1591074
ch2nh H C N x 3 1 1 x 441.6088238
alf Al F x x 1 1 x x 161.6693479
acetic H C O x 4 2 2 x 807.9194872
c2h2 C H x x 2 2 x x 402.6029528
h2co H O C x 2 1 1 x 375.8569743
h2cn H C N x 2 1 1 x 347.4127342
bf F B x x 1 1 x x 183.2434832
becl2 Cl Be x x 2 1 x x 233.8467598
t-hcoh H C O x 2 1 1 x 323.1010814
alcl3 Cl Al x x 3 1 x x 315.1023819
c-hcoh H C O x 2 1 1 x 318.0193034
alcl Al Cl x x 1 1 x x 123.2367164
ketene C H O x 2 2 1 x 537.8801589
sif F Si x x 1 1 x x 142.2830635
formic H O C x 2 2 1 x 504.6618175
hcnh H C N x 2 1 1 x 339.8467787
glyoxal C H O x 2 2 2 x 639.109292
hcof C O H F 1 1 1 1 405.9977809
nh2cl H N Cl x 2 1 1 x 250.7296352
cf4 F C x x 4 1 x x 479.4108823
hccf C H F x 2 1 1 x 397.8932423
hcn H C N x 1 1 1 x 314.5277835
hnc H N C x 1 1 1 x 303.1554251
cch C H x x 2 1 x x 260.6550503
hco O C H x 1 1 1 x 282.3019256
co C O x x 1 1 x x 261.7599353
oxirene C H O x 2 2 1 x 455.0884473
f2co F O C x 2 1 1 x 423.8761039
hocn C N O H 1 1 1 1 413.1536255
hooh H O x x 2 2 x x 265.9106843
t-n2h2 H N x x 2 2 x x 298.7200481
hnco C O N H 1 1 1 1 441.1601234
c-n2h2 H N x x 2 2 x x 292.8486457
cf2 F C x x 2 1 x x 260.0622054
co2 O C x x 2 1 x x 394.8304243
fccf F C x x 2 2 x x 386.6644616
dioxirane H O C x 2 2 1 x 409.8391789
cf C F x x 1 1 x x 134.6331795
ssh S H x x 2 1 x x 165.4505683
hocl O H Cl x 1 1 1 x 164.6916719
nccn N C x x 2 2 x x 505.389713
n2 N x x x 2 x x x 228.8068664
n2h N H x x 2 1 x x 228.4450616
ocs O C S x 1 1 1 x 339.8957179
sio Si O x x 1 1 x x 190.1945938
clcn Cl C N x 1 1 1 x 286.6664497
hoo O H x x 2 1 x x 176.0001801
hcno C H N O 1 1 1 1 368.5319056
honc H O N C 1 1 1 1 356.3387858
hno N H O x 1 1 1 x 204.6526742
hof H O F x 1 1 1 x 154.3499696
c-hono O N H x 2 1 1 x 311.3065085
t-hono O N H x 2 1 1 x 311.4472738
cs2 S C x x 2 1 x x 281.2120714
hnnn N H x x 3 1 x x 336.2152631
cs C S x x 1 1 x x 167.133758
cn C N x x 1 1 x x 177.728982
so3 O S x x 3 1 x x 344.518996
ccl2 Cl C x x 2 1 x x 177.5099487
bn3pi B N x x 1 1 x x 112.9359711
so2 O S x x 2 1 x x 258.3167461
no N O x x 1 1 x x 153.9481342
so S O x x 1 1 x x 127.8663217
n2o N O x x 2 1 x x 270.8551299
c-hooo O H x x 3 1 x x 229.218979
s2 S x x x 2 x x x 103.599325
p4 P x x x 4 x x x 292.5974523
cl2 Cl x x x 2 x x x 61.60950696
o2 O x x x 2 x x x 121.6416664
f2 F x x x 2 x x x 32.04853208
t-hooo O H x x 3 1 x x 227.4411708
s2o S O x x 2 1 x x 203.4444823
p2 P x x x 2 x x x 113.6557857
clf Cl F x x 1 1 x x 61.04856583
no2 O N x x 2 1 x x 227.6404459
clo Cl O x x 1 1 x x 65.06118052
s3 S x x x 3 x x x 162.5175374
cl2o Cl O x x 2 1 x x 100.0667088
s4-c2v S x x x 4 x x x 227.9528284
of O F x x 1 1 x x 52.09027453
c2 C x x x 2 x x x 134.0259463
oclo O Cl x x 2 1 x x 121.0269903
f2o F O x x 2 1 x x 87.98918018
b2 B x x x 2 x x x 64.4660957
fo2 O F x x 2 1 x x 126.1055023
cloo O Cl x x 2 1 x x 122.2000469
foof F O x x 2 2 x x 140.0544189
o3 O x x x 3 x x x 137.5457209
bn B N x x 1 1 x x 108.4709748
be2 Be x x x 2 x x x 2.770722031
