xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1305.706359
pentane H C x x 12 5 x x 1601.56714
hexane H C x x 14 6 x x 1897.45151
heptane H C x x 16 7 x x 2193.33865
octane H C x x 18 8 x x 2489.228822
isobutane H C x x 10 4 x x 1307.095372
isopentane H C x x 12 5 x x 1602.623039
isohexane H C x x 14 6 x x 1898.4958
isoheptane H C x x 16 7 x x 2194.421031
isooctane H C x x 18 8 x x 2491.524919
neopentane H C x x 12 5 x x 1605.236735
neohexane H C x x 14 6 x x 1900.350472
neoheptane H C x x 16 7 x x 2196.219554
3methylpentane H C x x 14 6 x x 1898.027216
diisopropyl H C x x 14 6 x x 1898.844596
hexamethylethane H C x x 18 8 x x 2491.747811
h2 H x x x 2 x x x 107.6244059
alh3 H Al x x 3 1 x x 211.2973616
alh Al H x x 1 1 x x 72.80835347
sih4 H Si x x 4 1 x x 324.5443937
bh3 H B x x 3 1 x x 285.39236
bh B H x x 1 1 x x 83.43269872
ch2-trip H C x x 2 1 x x 190.2549825
sih H Si x x 1 1 x x 74.18884941
si2h6 H Si x x 6 2 x x 536.7570427
ch3 H C x x 3 1 x x 307.4132591
ch4 H C x x 4 1 x x 420.2458159
b2h6 H B x x 6 2 x x 616.4789007
sih3f H F Si x 3 1 1 x 381.0791856
ph3 H P x x 3 1 x x 244.2241071
c2h6 H C x x 6 2 x x 714.0256248
propane H C x x 8 3 x x 1009.823524
ch2-sing H C x x 2 1 x x 182.2594162
ch C H x x 1 1 x x 83.55750289
h2s H S x x 2 1 x x 181.7308263
hs S H x x 1 1 x x 87.20005478
c2h5f H C F x 5 2 1 x 722.8634779
ch3nh2 H C N x 5 1 1 x 585.5607362
ch3f H F C x 3 1 1 x 423.4560603
propene H C x x 6 3 x x 862.7036932
nh3 H N x x 3 1 x x 299.4537442
ethanol H C O x 6 2 1 x 812.3290323
ch3nh H C N x 4 1 1 x 479.453291
c2h4 H C x x 4 2 x x 563.7621474
methanol H C O x 4 1 1 x 513.7233606
hcl Cl H x x 1 1 x x 106.0560083
nh2 H N x x 2 1 x x 184.8503972
nh N H x x 1 1 x x 85.61992512
ch2nh2 H C N x 4 1 1 x 486.8879443
bhf2 F B H x 2 1 1 x 415.0284681
h2o H O x x 2 1 x x 230.5918722
hf F H x x 1 1 x x 138.4716178
ch2ch H C x x 3 2 x x 446.0901749
oh O H x x 1 1 x x 106.9952986
propyne H C x x 4 3 x x 705.6359961
acetaldehyde H C O x 4 2 1 x 681.064193
allene H C x x 4 3 x x 706.2215434
sif4 F Si x x 4 1 x x 570.1018542
bf3 F B x x 3 1 x x 474.8596479
c2h3f H C F x 3 2 1 x 575.037866
oxirane H C O x 4 2 1 x 654.5103731
ch2f2 H F C x 2 2 1 x 438.6904235
alf3 F Al x x 3 1 x x 422.6113128
bef2 F Be x x 2 1 x x 311.6882202
ch2c C H x x 2 2 x x 360.0713117
n2h4 H N x x 4 2 x x 443.606414
ch2nh H C N x 3 1 1 x 442.2546626
alf Al F x x 1 1 x x 162.1629449
acetic H C O x 4 2 2 x 808.4005164
c2h2 C H x x 2 2 x x 403.2234261
h2co H O C x 2 1 1 x 376.16865
h2cn H C N x 2 1 1 x 348.0079435
bf F B x x 1 1 x x 183.4798379
becl2 Cl Be x x 2 1 x x 235.483757
t-hcoh H C O x 2 1 1 x 323.5155333
alcl3 Cl Al x x 3 1 x x 319.0843323
c-hcoh H C O x 2 1 1 x 318.4424155
alcl Al Cl x x 1 1 x x 125.3618456
ketene C H O x 2 2 1 x 538.7293159
sif F Si x x 1 1 x x 142.7152081
formic H O C x 2 2 1 x 504.970951
hcnh H C N x 2 1 1 x 340.4435176
glyoxal C H O x 2 2 2 x 639.6200359
hcof C O H F 1 1 1 1 406.2305609
nh2cl H N Cl x 2 1 1 x 251.4651837
cf4 F C x x 4 1 x x 479.7194678
hccf C H F x 2 1 1 x 398.4549834
hcn H C N x 1 1 1 x 314.9439132
hnc H N C x 1 1 1 x 303.6511031
cch C H x x 2 1 x x 261.2214142
hco O C H x 1 1 1 x 282.5775437
co C O x x 1 1 x x 262.0356616
oxirene C H O x 2 2 1 x 455.5633961
f2co F O C x 2 1 1 x 424.2944182
hocn C N O H 1 1 1 1 413.6651268
hooh H O x x 2 2 x x 266.0690696
