xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.446864
pentane H C x x 12 5 x x 1594.496048
hexane H C x x 14 6 x x 1888.560189
heptane H C x x 16 7 x x 2182.623106
octane H C x x 18 8 x x 2476.689521
isobutane H C x x 10 4 x x 1301.452169
isopentane H C x x 12 5 x x 1594.863193
isohexane H C x x 14 6 x x 1888.860935
isoheptane H C x x 16 7 x x 2182.936549
isooctane H C x x 18 8 x x 2475.923104
neopentane H C x x 12 5 x x 1596.932489
neohexane H C x x 14 6 x x 1889.588118
neoheptane H C x x 16 7 x x 2183.512896
3methylpentane H C x x 14 6 x x 1888.116668
diisopropyl H C x x 14 6 x x 1888.4049
hexamethylethane H C x x 18 8 x x 2474.506885
h2 H x x x 2 x x x 107.5865169
alh3 H Al x x 3 1 x x 210.4082581
alh Al H x x 1 1 x x 72.39239614
sih4 H Si x x 4 1 x x 323.2825241
bh3 H B x x 3 1 x x 284.9181397
bh B H x x 1 1 x x 83.24882524
ch2-trip H C x x 2 1 x x 189.9856085
sih H Si x x 1 1 x x 73.84411251
si2h6 H Si x x 6 2 x x 531.867025
ch3 H C x x 3 1 x x 306.9773948
ch4 H C x x 4 1 x x 419.6599978
b2h6 H B x x 6 2 x x 614.3180105
sih3f H F Si x 3 1 1 x 379.6951261
ph3 H P x x 3 1 x x 243.321335
c2h6 H C x x 6 2 x x 712.2254035
propane H C x x 8 3 x x 1006.336845
ch2-sing H C x x 2 1 x x 181.9893511
ch C H x x 1 1 x x 83.41708225
h2s H S x x 2 1 x x 181.2102899
hs S H x x 1 1 x x 86.95327499
c2h5f H C F x 5 2 1 x 720.9200234
ch3nh2 H C N x 5 1 1 x 584.1517543
ch3f H F C x 3 1 1 x 422.7841438
propene H C x x 6 3 x x 859.7845546
nh3 H N x x 3 1 x x 299.0925312
ethanol H C O x 6 2 1 x 809.9277562
ch3nh H C N x 4 1 1 x 478.2814423
c2h4 H C x x 4 2 x x 562.3960965
methanol H C O x 4 1 1 x 512.7246127
hcl Cl H x x 1 1 x x 105.8511794
nh2 H N x x 2 1 x x 184.6254236
nh N H x x 1 1 x x 85.51991007
ch2nh2 H C N x 4 1 1 x 485.6878802
bhf2 F B H x 2 1 1 x 414.3869396
h2o H O x x 2 1 x x 230.4227872
hf F H x x 1 1 x x 138.4192859
ch2ch H C x x 3 2 x x 444.9929703
oh O H x x 1 1 x x 106.9210423
propyne H C x x 4 3 x x 703.4815898
acetaldehyde H C O x 4 2 1 x 679.1717094
allene H C x x 4 3 x x 703.9742342
sif4 F Si x x 4 1 x x 568.2401063
bf3 F B x x 3 1 x x 474.1066565
c2h3f H C F x 3 2 1 x 573.5530298
oxirane H C O x 4 2 1 x 652.7882553
ch2f2 H F C x 2 2 1 x 437.9136605
alf3 F Al x x 3 1 x x 421.3700695
bef2 F Be x x 2 1 x x 311.2077
ch2c C H x x 2 2 x x 359.1354419
n2h4 H N x x 4 2 x x 442.5481611
ch2nh H C N x 3 1 1 x 441.2778683
alf Al F x x 1 1 x x 161.6641071
acetic H C O x 4 2 2 x 805.8712329
c2h2 C H x x 2 2 x x 402.3823766
h2co H O C x 2 1 1 x 375.551677
h2cn H C N x 2 1 1 x 347.2665187
bf F B x x 1 1 x x 183.2425542
becl2 Cl Be x x 2 1 x x 233.1202137
t-hcoh H C O x 2 1 1 x 322.9153175
alcl3 Cl Al x x 3 1 x x 312.8965753
c-hcoh H C O x 2 1 1 x 317.8375695
alcl Al Cl x x 1 1 x x 123.2099775
ketene C H O x 2 2 1 x 537.3710985
sif F Si x x 1 1 x x 142.2793861
formic H O C x 2 2 1 x 503.9055107
hcnh H C N x 2 1 1 x 339.7050126
glyoxal C H O x 2 2 2 x 637.640873
hcof C O H F 1 1 1 1 405.5154919
nh2cl H N Cl x 2 1 1 x 250.4079403
cf4 F C x x 4 1 x x 478.6762324
hccf C H F x 2 1 1 x 397.519995
hcn H C N x 1 1 1 x 314.4184541
hnc H N C x 1 1 1 x 303.0695558
cch C H x x 2 1 x x 260.532203
hco O C H x 1 1 1 x 282.155746
co C O x x 1 1 x x 261.7593731
oxirene C H O x 2 2 1 x 454.2878289
f2co F O C x 2 1 1 x 423.4623435
hocn C N O H 1 1 1 1 412.7171592
hooh H O x x 2 2 x x 265.6448783
t-n2h2 H N x x 2 2 x x 298.5798733
hnco C O N H 1 1 1 1 440.8243016
c-n2h2 H N x x 2 2 x x 292.7363863
cf2 F C x x 2 1 x x 259.9721225
co2 O C x x 2 1 x x 394.6888276
fccf F C x x 2 2 x x 386.1340053
dioxirane H O C x 2 2 1 x 409.149853
cf C F x x 1 1 x x 134.6314862
ssh S H x x 2 1 x x 165.1849329
hocl O H Cl x 1 1 1 x 164.5762638
nccn N C x x 2 2 x x 504.9147463
n2 N x x x 2 x x x 228.8065741
n2h N H x x 2 1 x x 228.4120735
ocs O C S x 1 1 1 x 339.674467
sio Si O x x 1 1 x x 190.1919655
clcn Cl C N x 1 1 1 x 286.2242938
hoo O H x x 2 1 x x 175.9332857
hcno C H N O 1 1 1 1 368.2205152
honc H O N C 1 1 1 1 355.8146834
hno N H O x 1 1 1 x 204.5849889
hof H O F x 1 1 1 x 154.2450887
c-hono O N H x 2 1 1 x 311.0217734
t-hono O N H x 2 1 1 x 311.1907008
cs2 S C x x 2 1 x x 280.848626
hnnn N H x x 3 1 x x 335.8898896
cs C S x x 1 1 x x 167.1306457
cn C N x x 1 1 x x 177.7285208
so3 O S x x 3 1 x x 343.8972431
ccl2 Cl C x x 2 1 x x 177.2343923
bn3pi B N x x 1 1 x x 112.9347115
so2 O S x x 2 1 x x 258.1008873
no N O x x 1 1 x x 153.9474086
so S O x x 1 1 x x 127.8644982
n2o N O x x 2 1 x x 270.6714119
c-hooo O H x x 3 1 x x 228.8241987
s2 S x x x 2 x x x 103.5921275
p4 P x x x 4 x x x 292.5220677
cl2 Cl x x x 2 x x x 61.59167471
o2 O x x x 2 x x x 121.6408778
f2 F x x x 2 x x x 32.04407884
t-hooo O H x x 3 1 x x 227.0932039
s2o S O x x 2 1 x x 203.1250078
p2 P x x x 2 x x x 113.6511081
clf Cl F x x 1 1 x x 61.04256769
no2 O N x x 2 1 x x 227.5446457
clo Cl O x x 1 1 x x 65.05628292
s3 S x x x 3 x x x 161.9991778
cl2o Cl O x x 2 1 x x 99.79045564
s4-c2v S x x x 4 x x x 226.7208879
of O F x x 1 1 x x 52.08712227
c2 C x x x 2 x x x 134.0255798
oclo O Cl x x 2 1 x x 120.7887408
f2o F O x x 2 1 x x 87.83869428
b2 B x x x 2 x x x 64.46480664
fo2 O F x x 2 1 x x 125.8651923
cloo O Cl x x 2 1 x x 121.7861193
foof F O x x 2 2 x x 139.5730005
o3 O x x x 3 x x x 137.4612113
bn B N x x 1 1 x x 108.4700314
be2 Be x x x 2 x x x 2.524845404
C4H4 C H x x 4 4 x x 791.6081141
C6H6 C H x x 6 6 x x 1264.758207
C8H8 C H x x 8 8 x x 1724.960703
C10H10 C H x x 10 10 x x 2209.349693
C12H12 C H x x 12 12 x x 2716.094161
C20H20 C H x x 20 20 x x 4613.564657
