xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1290.615929
pentane H C x x 12 5 x x 1581.349577
hexane H C x x 14 6 x x 1872.10968
heptane H C x x 16 7 x x 2162.859568
octane H C x x 18 8 x x 2453.61011
isobutane H C x x 10 4 x x 1291.657244
isopentane H C x x 12 5 x x 1581.799354
isohexane H C x x 14 6 x x 1872.541827
isoheptane H C x x 16 7 x x 2163.329808
isooctane H C x x 18 8 x x 2453.742231
neopentane H C x x 12 5 x x 1583.898018
neohexane H C x x 14 6 x x 1873.351662
neoheptane H C x x 16 7 x x 2164.090308
3methylpentane H C x x 14 6 x x 1871.768054
diisopropyl H C x x 14 6 x x 1871.971811
hexamethylethane H C x x 18 8 x x 2452.017234
h2 H x x x 2 x x x 113.2265745
alh3 H Al x x 3 1 x x 213.5257698
alh Al H x x 1 1 x x 73.61104196
sih4 H Si x x 4 1 x x 324.8537403
bh3 H B x x 3 1 x x 284.2962177
bh B H x x 1 1 x x 84.41404312
ch2-trip H C x x 2 1 x x 190.7420239
sih H Si x x 1 1 x x 75.44520276
si2h6 H Si x x 6 2 x x 531.8990353
ch3 H C x x 3 1 x x 308.6049836
ch4 H C x x 4 1 x x 420.1801328
b2h6 H B x x 6 2 x x 607.0266055
sih3f H F Si x 3 1 1 x 378.6118646
ph3 H P x x 3 1 x x 246.7226388
c2h6 H C x x 6 2 x x 709.1336943
propane H C x x 8 3 x x 999.8148267
ch2-sing H C x x 2 1 x x 184.9962701
ch C H x x 1 1 x x 85.76142438
h2s H S x x 2 1 x x 184.1119559
hs S H x x 1 1 x x 89.2827055
c2h5f H C F x 5 2 1 x 717.1167896
ch3nh2 H C N x 5 1 1 x 583.5661773
ch3f H F C x 3 1 1 x 422.9216844
propene H C x x 6 3 x x 855.4819233
nh3 H N x x 3 1 x x 302.2284896
ethanol H C O x 6 2 1 x 806.5229083
ch3nh H C N x 4 1 1 x 479.1485903
c2h4 H C x x 4 2 x x 561.9052565
methanol H C O x 4 1 1 x 513.2457059
hcl Cl H x x 1 1 x x 106.2321463
nh2 H N x x 2 1 x x 188.7504358
nh N H x x 1 1 x x 88.22092377
ch2nh2 H C N x 4 1 1 x 486.6497456
bhf2 F B H x 2 1 1 x 407.3748534
h2o H O x x 2 1 x x 234.4128795
hf F H x x 1 1 x x 142.0008564
ch2ch H C x x 3 2 x x 445.8732723
oh O H x x 1 1 x x 110.2595331
propyne H C x x 4 3 x x 700.1035179
acetaldehyde H C O x 4 2 1 x 677.3396794
allene H C x x 4 3 x x 702.6839474
sif4 F Si x x 4 1 x x 554.1061267
bf3 F B x x 3 1 x x 461.4152772
c2h3f H C F x 3 2 1 x 571.9738187
oxirane H C O x 4 2 1 x 648.9930521
ch2f2 H F C x 2 2 1 x 435.5382731
alf3 F Al x x 3 1 x x 416.935658
bef2 F Be x x 2 1 x x 309.1487761
ch2c C H x x 2 2 x x 359.8684999
n2h4 H N x x 4 2 x x 445.6594699
ch2nh H C N x 3 1 1 x 443.2396475
alf Al F x x 1 1 x x 160.0693324
acetic H C O x 4 2 2 x 801.2455583
c2h2 C H x x 2 2 x x 403.4342665
h2co H O C x 2 1 1 x 377.7666685
h2cn H C N x 2 1 1 x 349.933121
bf F B x x 1 1 x x 180.2862916
becl2 Cl Be x x 2 1 x x 220.2300219
t-hcoh H C O x 2 1 1 x 324.2394955
alcl3 Cl Al x x 3 1 x x 291.6566434
c-hcoh H C O x 2 1 1 x 319.9080546
alcl Al Cl x x 1 1 x x 116.0440058
ketene C H O x 2 2 1 x 537.3765735
sif F Si x x 1 1 x x 142.1156201
formic H O C x 2 2 1 x 504.1328173
hcnh H C N x 2 1 1 x 343.5329361
glyoxal C H O x 2 2 2 x 637.6569489
hcof C O H F 1 1 1 1 406.0177165
nh2cl H N Cl x 2 1 1 x 250.9622564
cf4 F C x x 4 1 x x 466.2444026
hccf C H F x 2 1 1 x 397.6620915
hcn H C N x 1 1 1 x 316.6708379
hnc H N C x 1 1 1 x 301.4936283
cch C H x x 2 1 x x 262.7491538
hco O C H x 1 1 1 x 285.1893857
co C O x x 1 1 x x 259.4872709
oxirene C H O x 2 2 1 x 457.7227057
f2co F O C x 2 1 1 x 419.4977603
hocn C N O H 1 1 1 1 414.7531199
hooh H O x x 2 2 x x 276.0069296
t-n2h2 H N x x 2 2 x x 306.3595312
hnco C O N H 1 1 1 1 444.1326047
c-n2h2 H N x x 2 2 x x 301.3508109
cf2 F C x x 2 1 x x 258.6570761
co2 O C x x 2 1 x x 395.7938641
fccf F C x x 2 2 x x 386.3581293
dioxirane H O C x 2 2 1 x 415.0309305
cf C F x x 1 1 x x 136.0929346
ssh S H x x 2 1 x x 167.5105629
hocl O H Cl x 1 1 1 x 168.3554244
nccn N C x x 2 2 x x 509.9083075
n2 N x x x 2 x x x 234.8899825
n2h N H x x 2 1 x x 237.8813798
ocs O C S x 1 1 1 x 340.4979798
sio Si O x x 1 1 x x 193.3732327
clcn Cl C N x 1 1 1 x 287.2329893
hoo O H x x 2 1 x x 187.2291823
hcno C H N O 1 1 1 1 379.6185184
honc H O N C 1 1 1 1 357.701599
hno N H O x 1 1 1 x 215.2914782
hof H O F x 1 1 1 x 166.6488032
c-hono O N H x 2 1 1 x 326.3067319
t-hono O N H x 2 1 1 x 327.5716428
cs2 S C x x 2 1 x x 283.5395791
hnnn N H x x 3 1 x x 352.9888811
cs C S x x 1 1 x x 171.1479419
cn C N x x 1 1 x x 186.3046165
so3 O S x x 3 1 x x 347.3816807
ccl2 Cl C x x 2 1 x x 175.1354275
bn3pi B N x x 1 1 x x 113.4592244
so2 O S x x 2 1 x x 263.8906125
no N O x x 1 1 x x 162.8068631
so S O x x 1 1 x x 133.4335843
n2o N O x x 2 1 x x 289.9969627
c-hooo O H x x 3 1 x x 255.1330737
s2 S x x x 2 x x x 107.6364744
p4 P x x x 4 x x x 283.728679
cl2 Cl x x x 2 x x x 57.81018395
o2 O x x x 2 x x x 133.9337497
f2 F x x x 2 x x x 47.38952994
t-hooo O H x x 3 1 x x 256.8631773
s2o S O x x 2 1 x x 212.9058313
p2 P x x x 2 x x x 121.4145381
clf Cl F x x 1 1 x x 65.73850321
no2 O N x x 2 1 x x 249.1016113
clo Cl O x x 1 1 x x 73.41504385
s3 S x x x 3 x x x 170.8717719
cl2o Cl O x x 2 1 x x 105.025585
s4-c2v S x x x 4 x x x 236.2841675
of O F x x 1 1 x x 65.15798561
c2 C x x x 2 x x x 141.5163058
oclo O Cl x x 2 1 x x 141.0348535
f2o F O x x 2 1 x x 110.2178847
b2 B x x x 2 x x x 64.86714542
fo2 O F x x 2 1 x x 160.1549658
cloo O Cl x x 2 1 x x 147.3344497
foof F O x x 2 2 x x 185.2089344
o3 O x x x 3 x x x 167.0133455
bn B N x x 1 1 x x 108.8831138
be2 Be x x x 2 x x x 6.059347246
