xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1302.236167
pentane H C x x 12 5 x x 1595.957056
hexane H C x x 14 6 x x 1889.703062
heptane H C x x 16 7 x x 2183.44202
octane H C x x 18 8 x x 2477.182138
isobutane H C x x 10 4 x x 1303.417049
isopentane H C x x 12 5 x x 1596.688698
isohexane H C x x 14 6 x x 1890.429386
isoheptane H C x x 16 7 x x 2184.212114
isooctane H C x x 18 8 x x 2478.322264
neopentane H C x x 12 5 x x 1598.90873
neohexane H C x x 14 6 x x 1891.636253
neoheptane H C x x 16 7 x x 2185.379635
3methylpentane H C x x 14 6 x x 1889.864754
diisopropyl H C x x 14 6 x x 1890.349677
hexamethylethane H C x x 18 8 x x 2477.536818
h2 H x x x 2 x x x 113.4739886
alh3 H Al x x 3 1 x x 215.7047809
alh Al H x x 1 1 x x 74.82141099
sih4 H Si x x 4 1 x x 327.910629
bh3 H B x x 3 1 x x 286.0608075
bh B H x x 1 1 x x 85.2035946
ch2-trip H C x x 2 1 x x 191.9813166
sih H Si x x 1 1 x x 76.59859202
si2h6 H Si x x 6 2 x x 539.743202
ch3 H C x x 3 1 x x 310.6484347
ch4 H C x x 4 1 x x 423.0381326
b2h6 H B x x 6 2 x x 612.8669819
sih3f H F Si x 3 1 1 x 381.312185
ph3 H P x x 3 1 x x 249.8919901
c2h6 H C x x 6 2 x x 714.798914
propane H C x x 8 3 x x 1008.455861
ch2-sing H C x x 2 1 x x 186.3245743
ch C H x x 1 1 x x 86.44468179
h2s H S x x 2 1 x x 186.148126
hs S H x x 1 1 x x 90.25565369
c2h5f H C F x 5 2 1 x 722.1273601
ch3nh2 H C N x 5 1 1 x 588.413684
ch3f H F C x 3 1 1 x 424.982885
propene H C x x 6 3 x x 863.6885795
nh3 H N x x 3 1 x x 304.2083233
ethanol H C O x 6 2 1 x 812.5675307
ch3nh H C N x 4 1 1 x 483.5089473
c2h4 H C x x 4 2 x x 566.6826569
methanol H C O x 4 1 1 x 516.4163679
hcl Cl H x x 1 1 x x 107.093779
nh2 H N x x 2 1 x x 189.9740599
nh N H x x 1 1 x x 88.75770884
ch2nh2 H C N x 4 1 1 x 491.0300811
bhf2 F B H x 2 1 1 x 408.6462146
h2o H O x x 2 1 x x 235.3679195
hf F H x x 1 1 x x 142.3064534
ch2ch H C x x 3 2 x x 449.8260072
oh O H x x 1 1 x x 110.6701115
propyne H C x x 4 3 x x 706.7396423
acetaldehyde H C O x 4 2 1 x 682.7953516
allene H C x x 4 3 x x 709.7122915
sif4 F Si x x 4 1 x x 557.1429502
bf3 F B x x 3 1 x x 463.3783916
c2h3f H C F x 3 2 1 x 576.400883
oxirane H C O x 4 2 1 x 653.8739765
ch2f2 H F C x 2 2 1 x 437.4421442
alf3 F Al x x 3 1 x x 419.1319754
bef2 F Be x x 2 1 x x 310.4583947
ch2c C H x x 2 2 x x 363.4561309
n2h4 H N x x 4 2 x x 449.7193494
ch2nh H C N x 3 1 1 x 447.0521683
alf Al F x x 1 1 x x 161.2937784
acetic H C O x 4 2 2 x 807.7354268
c2h2 C H x x 2 2 x x 406.354521
h2co H O C x 2 1 1 x 380.0052948
h2cn H C N x 2 1 1 x 352.9735448
bf F B x x 1 1 x x 181.1690827
becl2 Cl Be x x 2 1 x x 224.2764158
t-hcoh H C O x 2 1 1 x 326.6195562
alcl3 Cl Al x x 3 1 x x 298.4024834
c-hcoh H C O x 2 1 1 x 322.343722
alcl Al Cl x x 1 1 x x 119.304924
ketene C H O x 2 2 1 x 541.7528531
sif F Si x x 1 1 x x 143.3526846
formic H O C x 2 2 1 x 507.3737743
hcnh H C N x 2 1 1 x 346.5056399
glyoxal C H O x 2 2 2 x 642.6600701
hcof C O H F 1 1 1 1 408.2146961
nh2cl H N Cl x 2 1 1 x 254.4903899
cf4 F C x x 4 1 x x 469.3766248
hccf C H F x 2 1 1 x 400.5438055
hcn H C N x 1 1 1 x 318.6547939
hnc H N C x 1 1 1 x 303.7706994
cch C H x x 2 1 x x 265.1343873
hco O C H x 1 1 1 x 286.7476917
co C O x x 1 1 x x 260.5866203
oxirene C H O x 2 2 1 x 461.3982165
f2co F O C x 2 1 1 x 422.2071231
hocn C N O H 1 1 1 1 417.7498292
hooh H O x x 2 2 x x 277.6224212
t-n2h2 H N x x 2 2 x x 309.2015349
hnco C O N H 1 1 1 1 447.4268889
c-n2h2 H N x x 2 2 x x 304.2902332
cf2 F C x x 2 1 x x 260.2736619
co2 O C x x 2 1 x x 397.9661947
fccf F C x x 2 2 x x 389.1947083
dioxirane H O C x 2 2 1 x 417.9343303
cf C F x x 1 1 x x 136.9099728
ssh S H x x 2 1 x x 171.9187079
hocl O H Cl x 1 1 1 x 170.522914
nccn N C x x 2 2 x x 514.783335
n2 N x x x 2 x x x 236.0539348
n2h N H x x 2 1 x x 239.9119975
ocs O C S x 1 1 1 x 344.2607605
sio Si O x x 1 1 x x 195.068955
clcn Cl C N x 1 1 1 x 290.8182512
hoo O H x x 2 1 x x 188.4851963
hcno C H N O 1 1 1 1 382.8466578
honc H O N C 1 1 1 1 360.8316828
hno N H O x 1 1 1 x 216.8935682
hof H O F x 1 1 1 x 167.5880332
c-hono O N H x 2 1 1 x 329.1199141
t-hono O N H x 2 1 1 x 330.3251666
cs2 S C x x 2 1 x x 289.4898933
hnnn N H x x 3 1 x x 356.6474955
cs C S x x 1 1 x x 173.6130612
cn C N x x 1 1 x x 187.743686
so3 O S x x 3 1 x x 352.373059
ccl2 Cl C x x 2 1 x x 180.5432333
bn3pi B N x x 1 1 x x 115.0630931
so2 O S x x 2 1 x x 267.0394513
no N O x x 1 1 x x 163.7126305
so S O x x 1 1 x x 134.9607111
n2o N O x x 2 1 x x 292.3542873
c-hooo O H x x 3 1 x x 257.1771651
s2 S x x x 2 x x x 110.8909423
p4 P x x x 4 x x x 303.2527817
cl2 Cl x x x 2 x x x 60.42816533
o2 O x x x 2 x x x 134.652125
f2 F x x x 2 x x x 47.83139037
t-hooo O H x x 3 1 x x 258.8564508
s2o S O x x 2 1 x x 218.1365632
p2 P x x x 2 x x x 125.3452921
