xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 113.2265243
alh3 H Al x x 3 1 x x 213.0003182
alh Al H x x 1 1 x x 73.60291568
sih4 H Si x x 4 1 x x 323.3157352
bh3 H B x x 3 1 x x 283.8376418
bh B H x x 1 1 x x 84.41188203
ch2-trip H C x x 2 1 x x 190.6239218
sih H Si x x 1 1 x x 75.44207637
si2h6 H Si x x 6 2 x x 527.8496398
ch3 H C x x 3 1 x x 308.3742939
ch4 H C x x 4 1 x x 419.8638009
b2h6 H B x x 6 2 x x 603.8877941
sih3f H F Si x 3 1 1 x 376.4861672
ph3 H P x x 3 1 x x 246.2628965
c2h6 H C x x 6 2 x x 706.3837946
propane H C x x 8 3 x x 993.6203643
ch2-sing H C x x 2 1 x x 184.9535648
ch C H x x 1 1 x x 85.76036192
h2s H S x x 2 1 x x 184.0083689
hs S H x x 1 1 x x 89.27945666
c2h5f H C F x 5 2 1 x 713.2960618
ch3nh2 H C N x 5 1 1 x 581.5281498
ch3f H F C x 3 1 1 x 421.5352438
propene H C x x 6 3 x x 851.7217445
nh3 H N x x 3 1 x x 302.1514172
ethanol H C O x 6 2 1 x 801.9070802
ch3nh H C N x 4 1 1 x 477.8165105
c2h4 H C x x 4 2 x x 560.5929084
methanol H C O x 4 1 1 x 511.4483456
hcl Cl H x x 1 1 x x 106.2281482
nh2 H N x x 2 1 x x 188.7261866
nh N H x x 1 1 x x 88.22027741
ch2nh2 H C N x 4 1 1 x 485.3340086
bhf2 F B H x 2 1 1 x 405.9436201
h2o H O x x 2 1 x x 234.3967736
hf F H x x 1 1 x x 141.9999597
ch2ch H C x x 3 2 x x 445.0931679
oh O H x x 1 1 x x 110.2585779
propyne H C x x 4 3 x x 698.373795
acetaldehyde H C O x 4 2 1 x 674.6154675
allene H C x x 4 3 x x 701.1002517
sif4 F Si x x 4 1 x x 551.1917723
bf3 F B x x 3 1 x x 460.3294885
c2h3f H C F x 3 2 1 x 570.0141713
oxirane H C O x 4 2 1 x 646.1793649
ch2f2 H F C x 2 2 1 x 433.6426276
alf3 F Al x x 3 1 x x 415.8340841
bef2 F Be x x 2 1 x x 308.7419359
ch2c C H x x 2 2 x x 359.5047454
n2h4 H N x x 4 2 x x 444.3181652
ch2nh H C N x 3 1 1 x 442.4700076
alf Al F x x 1 1 x x 160.059522
acetic H C O x 4 2 2 x 797.2523299
c2h2 C H x x 2 2 x x 402.9347532
h2co H O C x 2 1 1 x 377.0876804
h2cn H C N x 2 1 1 x 349.5712178
bf F B x x 1 1 x x 180.2843146
becl2 Cl Be x x 2 1 x x 219.1066669
