xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 111.6261895
alh3 H Al x x 3 1 x x 213.6922574
alh Al H x x 1 1 x x 72.96142065
sih4 H Si x x 4 1 x x 327.5987034
bh3 H B x x 3 1 x x 287.3875368
bh B H x x 1 1 x x 84.60108144
ch2-trip H C x x 2 1 x x 198.9282076
sih H Si x x 1 1 x x 75.78147746
si2h6 H Si x x 6 2 x x 540.8774601
ch3 H C x x 3 1 x x 317.7102879
ch4 H C x x 4 1 x x 430.4385915
b2h6 H B x x 6 2 x x 625.2487259
sih3f H F Si x 3 1 1 x 384.1460741
ph3 H P x x 3 1 x x 250.5968457
c2h6 H C x x 6 2 x x 731.2003201
propane H C x x 8 3 x x 1034.182841
ch2-sing H C x x 2 1 x x 190.8815364
ch C H x x 1 1 x x 87.95276322
h2s H S x x 2 1 x x 188.2037328
hs S H x x 1 1 x x 91.21687151
c2h5f H C F x 5 2 1 x 742.432805
ch3nh2 H C N x 5 1 1 x 604.0201564
ch3f H F C x 3 1 1 x 435.8038129
propene H C x x 6 3 x x 886.0827482
nh3 H N x x 3 1 x x 310.9016661
ethanol H C O x 6 2 1 x 835.2413272
ch3nh H C N x 4 1 1 x 497.6835454
c2h4 H C x x 4 2 x x 579.8804032
methanol H C O x 4 1 1 x 529.6823521
hcl Cl H x x 1 1 x x 109.0121049
nh2 H N x x 2 1 x x 195.1247925
nh N H x x 1 1 x x 92.04380144
ch2nh2 H C N x 4 1 1 x 506.1103152
bhf2 F B H x 2 1 1 x 418.3194857
h2o H O x x 2 1 x x 239.8455698
hf F H x x 1 1 x x 144.7212636
ch2ch H C x x 3 2 x x 463.0567337
oh O H x x 1 1 x x 112.9336563
propyne H C x x 4 3 x x 726.8511165
acetaldehyde H C O x 4 2 1 x 701.7577769
allene H C x x 4 3 x x 729.6976183
sif4 F Si x x 4 1 x x 571.4641287
bf3 F B x x 3 1 x x 477.1817252
c2h3f H C F x 3 2 1 x 594.1664956
oxirane H C O x 4 2 1 x 676.5252844
ch2f2 H F C x 2 2 1 x 452.8690111
alf3 F Al x x 3 1 x x 426.3579329
bef2 F Be x x 2 1 x x 313.9324817
ch2c C H x x 2 2 x x 372.8725606
n2h4 H N x x 4 2 x x 464.6960304
ch2nh H C N x 3 1 1 x 459.2631314
alf Al F x x 1 1 x x 162.8826927
acetic H C O x 4 2 2 x 834.0888185
c2h2 C H x x 2 2 x x 417.3933937
h2co H O C x 2 1 1 x 389.6454062
h2cn H C N x 2 1 1 x 363.9044237
bf F B x x 1 1 x x 185.5474562
becl2 Cl Be x x 2 1 x x 227.3556259
t-hcoh H C O x 2 1 1 x 336.5011744
alcl3 Cl Al x x 3 1 x x 304.3977218
c-hcoh H C O x 2 1 1 x 332.2843064
alcl Al Cl x x 1 1 x x 120.1705864
ketene C H O x 2 2 1 x 559.1323541
sif F Si x x 1 1 x x 145.9695708
formic H O C x 2 2 1 x 524.4569996
hcnh H C N x 2 1 1 x 358.1637333
glyoxal C H O x 2 2 2 x 663.6906065
hcof C O H F 1 1 1 1 423.0084509
nh2cl H N Cl x 2 1 1 x 263.2629778
cf4 F C x x 4 1 x x 496.076919
hccf C H F x 2 1 1 x 416.5688857
hcn H C N x 1 1 1 x 327.9480335
hnc H N C x 1 1 1 x 313.2453676
cch C H x x 2 1 x x 276.4810822
hco O C H x 1 1 1 x 295.9295812
co C O x x 1 1 x x 267.6100313
oxirene C H O x 2 2 1 x 480.5971319
f2co F O C x 2 1 1 x 442.5338886
hocn C N O H 1 1 1 1 434.2081201
hooh H O x x 2 2 x x 287.1768415
t-n2h2 H N x x 2 2 x x 320.4930236
hnco C O N H 1 1 1 1 464.1484204
c-n2h2 H N x x 2 2 x x 315.6481579
cf2 F C x x 2 1 x x 273.4974452
co2 O C x x 2 1 x x 412.4327149
fccf F C x x 2 2 x x 409.9065024
dioxirane H O C x 2 2 1 x 435.9359363
cf C F x x 1 1 x x 143.9012501
ssh S H x x 2 1 x x 175.494454
hocl O H Cl x 1 1 1 x 177.1253527
nccn N C x x 2 2 x x 534.5867322
n2 N x x x 2 x x x 244.2016212
n2h N H x x 2 1 x x 250.2521092
ocs O C S x 1 1 1 x 356.0526399
sio Si O x x 1 1 x x 197.3892741
clcn Cl C N x 1 1 1 x 303.5534069
hoo O H x x 2 1 x x 196.890895
hcno C H N O 1 1 1 1 400.3593575
honc H O N C 1 1 1 1 377.1727211
hno N H O x 1 1 1 x 225.9596234
hof H O F x 1 1 1 x 174.4722165
c-hono O N H x 2 1 1 x 345.6646253
t-hono O N H x 2 1 1 x 346.6143512
cs2 S C x x 2 1 x x 298.2065177
hnnn N H x x 3 1 x x 374.9770813
cs C S x x 1 1 x x 178.4095843
cn C N x x 1 1 x x 196.204385
so3 O S x x 3 1 x x 370.9928274
ccl2 Cl C x x 2 1 x x 190.4459485
bn3pi B N x x 1 1 x x 121.6430201
so2 O S x x 2 1 x x 278.3912058
no N O x x 1 1 x x 171.7129682
so S O x x 1 1 x x 140.1454431
n2o N O x x 2 1 x x 308.8813657
c-hooo O H x x 3 1 x x 271.4169285
s2 S x x x 2 x x x 114.0773061
p4 P x x x 4 x x x 307.4266036
cl2 Cl x x x 2 x x x 64.15211708
o2 O x x x 2 x x x 142.0015147
f2 F x x x 2 x x x 52.1797478
t-hooo O H x x 3 1 x x 272.6155964
s2o S O x x 2 1 x x 226.4449374
p2 P x x x 2 x x x 124.4518672
clf Cl F x x 1 1 x x 71.25132012
no2 O N x x 2 1 x x 267.1564896
clo Cl O x x 1 1 x x 80.21621319
s3 S x x x 3 x x x 183.3802051
cl2o Cl O x x 2 1 x x 117.266979
s4-c2v S x x x 4 x x x 256.2612473
of O F x x 1 1 x x 71.22327528
c2 C x x x 2 x x x 152.1014062
oclo O Cl x x 2 1 x x 157.9723242
f2o F O x x 2 1 x x 121.8496695
b2 B x x x 2 x x x 75.43335029
fo2 O F x x 2 1 x x 172.5850634
cloo O Cl x x 2 1 x x 159.1733161
foof F O x x 2 2 x x 203.2080954
o3 O x x x 3 x x x 182.4901259
bn B N x x 1 1 x x 116.8900125
be2 Be x x x 2 x x x 8.24152179
