xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1335.156216
pentane H C x x 12 5 x x 1637.540098
hexane H C x x 14 6 x x 1939.956768
heptane H C x x 16 7 x x 2242.355601
octane H C x x 18 8 x x 2544.764616
isobutane H C x x 10 4 x x 1336.337532
isopentane H C x x 12 5 x x 1638.222239
isohexane H C x x 14 6 x x 1940.615276
isoheptane H C x x 16 7 x x 2243.061819
isooctane H C x x 18 8 x x 2545.619837
neopentane H C x x 12 5 x x 1640.459519
neohexane H C x x 14 6 x x 1941.738497
neoheptane H C x x 16 7 x x 2244.117882
3methylpentane H C x x 14 6 x x 1939.985616
diisopropyl H C x x 14 6 x x 1940.452317
hexamethylethane H C x x 18 8 x x 2544.587106
h2 H x x x 2 x x x 111.6254869
alh3 H Al x x 3 1 x x 213.7464556
alh Al H x x 1 1 x x 72.95633309
sih4 H Si x x 4 1 x x 327.2502086
bh3 H B x x 3 1 x x 286.6595335
bh B H x x 1 1 x x 84.59992196
ch2-trip H C x x 2 1 x x 198.7063563
sih H Si x x 1 1 x x 75.77920373
si2h6 H Si x x 6 2 x x 540.128118
ch3 H C x x 3 1 x x 317.2715313
ch4 H C x x 4 1 x x 429.8997788
b2h6 H B x x 6 2 x x 621.7729935
sih3f H F Si x 3 1 1 x 383.9241096
ph3 H P x x 3 1 x x 249.8670125
c2h6 H C x x 6 2 x x 730.3440172
propane H C x x 8 3 x x 1032.711097
ch2-sing H C x x 2 1 x x 190.8157791
ch C H x x 1 1 x x 87.95194599
h2s H S x x 2 1 x x 188.012825
hs S H x x 1 1 x x 91.21639625
c2h5f H C F x 5 2 1 x 741.9563254
ch3nh2 H C N x 5 1 1 x 603.391237
ch3f H F C x 3 1 1 x 435.7258908
propene H C x x 6 3 x x 885.2091599
nh3 H N x x 3 1 x x 310.7990687
ethanol H C O x 6 2 1 x 834.5765025
ch3nh H C N x 4 1 1 x 497.1340109
c2h4 H C x x 4 2 x x 579.4544335
methanol H C O x 4 1 1 x 529.3476922
hcl Cl H x x 1 1 x x 109.0120764
nh2 H N x x 2 1 x x 195.0933903
nh N H x x 1 1 x x 92.04304123
ch2nh2 H C N x 4 1 1 x 505.7104591
bhf2 F B H x 2 1 1 x 418.4394782
h2o H O x x 2 1 x x 239.8276581
hf F H x x 1 1 x x 144.7207486
ch2ch H C x x 3 2 x x 462.8313658
oh O H x x 1 1 x x 112.9332425
propyne H C x x 4 3 x x 726.4537777
acetaldehyde H C O x 4 2 1 x 701.5547509
allene H C x x 4 3 x x 729.3830208
sif4 F Si x x 4 1 x x 571.068283
bf3 F B x x 3 1 x x 477.2744793
c2h3f H C F x 3 2 1 x 594.0343783
oxirane H C O x 4 2 1 x 676.140455
ch2f2 H F C x 2 2 1 x 453.0694558
alf3 F Al x x 3 1 x x 426.0488203
bef2 F Be x x 2 1 x x 313.8215725
ch2c C H x x 2 2 x x 372.6834574
n2h4 H N x x 4 2 x x 464.323123
ch2nh H C N x 3 1 1 x 458.9214423
alf Al F x x 1 1 x x 162.8810392
acetic H C O x 4 2 2 x 834.1459651
c2h2 C H x x 2 2 x x 417.2483632
h2co H O C x 2 1 1 x 389.5922726
h2cn H C N x 2 1 1 x 363.7109815
bf F B x x 1 1 x x 185.5464521
becl2 Cl Be x x 2 1 x x 227.4965613
t-hcoh H C O x 2 1 1 x 336.5447158
alcl3 Cl Al x x 3 1 x x 304.8081019
c-hcoh H C O x 2 1 1 x 332.0680025
alcl Al Cl x x 1 1 x x 120.1739158
ketene C H O x 2 2 1 x 559.1037089
sif F Si x x 1 1 x x 145.9691341
formic H O C x 2 2 1 x 524.6357077
hcnh H C N x 2 1 1 x 358.1532541
glyoxal C H O x 2 2 2 x 663.9740273
hcof C O H F 1 1 1 1 423.1899343
nh2cl H N Cl x 2 1 1 x 263.3474208
cf4 F C x x 4 1 x x 496.2905142
hccf C H F x 2 1 1 x 416.5506907
hcn H C N x 1 1 1 x 327.8784399
hnc H N C x 1 1 1 x 313.210725
cch C H x x 2 1 x x 276.4145038
hco O C H x 1 1 1 x 295.9793143
co C O x x 1 1 x x 267.6096105
oxirene C H O x 2 2 1 x 480.4205792
f2co F O C x 2 1 1 x 442.7020243
hocn C N O H 1 1 1 1 434.3268372
hooh H O x x 2 2 x x 287.1568031
t-n2h2 H N x x 2 2 x x 320.500057
hnco C O N H 1 1 1 1 464.287226
c-n2h2 H N x x 2 2 x x 315.3968202
cf2 F C x x 2 1 x x 273.5279503
co2 O C x x 2 1 x x 412.4810122
fccf F C x x 2 2 x x 410.0048925
dioxirane H O C x 2 2 1 x 435.9493087
cf C F x x 1 1 x x 143.901166
ssh S H x x 2 1 x x 175.4633242
hocl O H Cl x 1 1 1 x 177.1736246
nccn N C x x 2 2 x x 534.6619193
n2 N x x x 2 x x x 244.200928
n2h N H x x 2 1 x x 250.2449088
ocs O C S x 1 1 1 x 356.0908984
sio Si O x x 1 1 x x 197.3892755
clcn Cl C N x 1 1 1 x 303.701714
hoo O H x x 2 1 x x 196.9203969
hcno C H N O 1 1 1 1 400.3871955
honc H O N C 1 1 1 1 377.3281272
hno N H O x 1 1 1 x 225.9891243
hof H O F x 1 1 1 x 174.5190469
c-hono O N H x 2 1 1 x 345.7393469
t-hono O N H x 2 1 1 x 346.7060215
cs2 S C x x 2 1 x x 298.2254177
hnnn N H x x 3 1 x x 375.0282256
cs C S x x 1 1 x x 178.4099508
cn C N x x 1 1 x x 196.2036831
so3 O S x x 3 1 x x 371.1442597
ccl2 Cl C x x 2 1 x x 190.5332062
bn3pi B N x x 1 1 x x 121.6422148
so2 O S x x 2 1 x x 278.4406888
no N O x x 1 1 x x 171.7126624
so S O x x 1 1 x x 140.1452324
