xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1338.032899
pentane H C x x 12 5 x x 1641.106354
hexane H C x x 14 6 x x 1944.213133
heptane H C x x 16 7 x x 2247.303391
octane H C x x 18 8 x x 2550.404357
isobutane H C x x 10 4 x x 1339.171846
isopentane H C x x 12 5 x x 1641.819825
isohexane H C x x 14 6 x x 1944.912612
isoheptane H C x x 16 7 x x 2248.055409
isooctane H C x x 18 8 x x 2551.370287
neopentane H C x x 12 5 x x 1643.905224
neohexane H C x x 14 6 x x 1946.014828
neoheptane H C x x 16 7 x x 2249.102682
3methylpentane H C x x 14 6 x x 1944.38621
diisopropyl H C x x 14 6 x x 1944.842057
hexamethylethane H C x x 18 8 x x 2550.542828
h2 H x x x 2 x x x 111.6941635
alh3 H Al x x 3 1 x x 214.5392775
alh Al H x x 1 1 x x 73.45361346
sih4 H Si x x 4 1 x x 328.2694238
bh3 H B x x 3 1 x x 287.2314789
bh B H x x 1 1 x x 84.86990945
ch2-trip H C x x 2 1 x x 199.0970796
sih H Si x x 1 1 x x 76.22394138
si2h6 H Si x x 6 2 x x 543.5783945
ch3 H C x x 3 1 x x 317.9048156
ch4 H C x x 4 1 x x 430.7679725
b2h6 H B x x 6 2 x x 623.6136447
sih3f H F Si x 3 1 1 x 384.6034004
ph3 H P x x 3 1 x x 250.9896303
c2h6 H C x x 6 2 x x 731.8770177
propane H C x x 8 3 x x 1034.903786
ch2-sing H C x x 2 1 x x 191.234332
ch C H x x 1 1 x x 88.17184288
h2s H S x x 2 1 x x 188.7259869
hs S H x x 1 1 x x 91.56308022
c2h5f H C F x 5 2 1 x 743.0816245
ch3nh2 H C N x 5 1 1 x 604.7335116
ch3f H F C x 3 1 1 x 436.2444798
propene H C x x 6 3 x x 887.6599084
nh3 H N x x 3 1 x x 311.3872381
ethanol H C O x 6 2 1 x 836.0109904
ch3nh H C N x 4 1 1 x 498.4429014
c2h4 H C x x 4 2 x x 580.9337669
methanol H C O x 4 1 1 x 530.1920839
hcl Cl H x x 1 1 x x 109.3093295
nh2 H N x x 2 1 x x 195.4621956
nh N H x x 1 1 x x 92.20759456
ch2nh2 H C N x 4 1 1 x 507.0045421
bhf2 F B H x 2 1 1 x 418.7309254
h2o H O x x 2 1 x x 240.1103832
hf F H x x 1 1 x x 144.8103805
ch2ch H C x x 3 2 x x 464.112242
oh O H x x 1 1 x x 113.0571142
propyne H C x x 4 3 x x 728.6586549
acetaldehyde H C O x 4 2 1 x 703.0442846
allene H C x x 4 3 x x 731.7372865
sif4 F Si x x 4 1 x x 571.9974983
bf3 F B x x 3 1 x x 477.9108674
c2h3f H C F x 3 2 1 x 595.2978519
oxirane H C O x 4 2 1 x 677.5392832
ch2f2 H F C x 2 2 1 x 453.5217797
alf3 F Al x x 3 1 x x 426.8335156
bef2 F Be x x 2 1 x x 314.2410559
ch2c C H x x 2 2 x x 373.9200799
n2h4 H N x x 4 2 x x 465.4598687
ch2nh H C N x 3 1 1 x 460.1159419
alf Al F x x 1 1 x x 163.4240875
acetic H C O x 4 2 2 x 835.7889645
c2h2 C H x x 2 2 x x 418.2511292
h2co H O C x 2 1 1 x 390.2860451
h2cn H C N x 2 1 1 x 364.7164118
bf F B x x 1 1 x x 185.8699216
becl2 Cl Be x x 2 1 x x 229.417236
t-hcoh H C O x 2 1 1 x 337.2806066
alcl3 Cl Al x x 3 1 x x 308.6872481
c-hcoh H C O x 2 1 1 x 332.8486585
alcl Al Cl x x 1 1 x x 121.9649131
ketene C H O x 2 2 1 x 560.5146025
sif F Si x x 1 1 x x 146.4831733
formic H O C x 2 2 1 x 525.5742557
hcnh H C N x 2 1 1 x 359.1143407
glyoxal C H O x 2 2 2 x 665.4199342
hcof C O H F 1 1 1 1 423.8610648
nh2cl H N Cl x 2 1 1 x 264.575751
cf4 F C x x 4 1 x x 497.2602844
hccf C H F x 2 1 1 x 417.5343993
hcn H C N x 1 1 1 x 328.5569447
hnc H N C x 1 1 1 x 313.9916636
cch C H x x 2 1 x x 277.2720108
hco O C H x 1 1 1 x 296.4862958
co C O x x 1 1 x x 267.9998665
oxirene C H O x 2 2 1 x 481.5474861
f2co F O C x 2 1 1 x 443.5891814
hocn C N O H 1 1 1 1 435.2921691
hooh H O x x 2 2 x x 287.6126314
t-n2h2 H N x x 2 2 x x 321.3712227
hnco C O N H 1 1 1 1 465.3545359
c-n2h2 H N x x 2 2 x x 316.3304529
cf2 F C x x 2 1 x x 274.0691229
co2 O C x x 2 1 x x 413.2432117
fccf F C x x 2 2 x x 410.9696128
dioxirane H O C x 2 2 1 x 436.8041259
cf C F x x 1 1 x x 144.1820052
ssh S H x x 2 1 x x 177.444505
hocl O H Cl x 1 1 1 x 177.9523147
nccn N C x x 2 2 x x 536.4842877
n2 N x x x 2 x x x 244.599632
n2h N H x x 2 1 x x 250.9081267
ocs O C S x 1 1 1 x 357.6581429
sio Si O x x 1 1 x x 198.1194101
clcn Cl C N x 1 1 1 x 305.1401006
hoo O H x x 2 1 x x 197.3103131
hcno C H N O 1 1 1 1 401.4730434
honc H O N C 1 1 1 1 378.3314373
hno N H O x 1 1 1 x 226.4965557
hof H O F x 1 1 1 x 174.7929237
c-hono O N H x 2 1 1 x 346.629389
t-hono O N H x 2 1 1 x 347.5242801
cs2 S C x x 2 1 x x 301.0546227
hnnn N H x x 3 1 x x 376.2145033
cs C S x x 1 1 x x 179.4672301
cn C N x x 1 1 x x 196.7238354
so3 O S x x 3 1 x x 373.0527592
ccl2 Cl C x x 2 1 x x 192.9309667
bn3pi B N x x 1 1 x x 122.2618565
so2 O S x x 2 1 x x 279.6648455
no N O x x 1 1 x x 172.0176618
so S O x x 1 1 x x 140.7507035
n2o N O x x 2 1 x x 309.7674381
c-hooo O H x x 3 1 x x 272.1532226
s2 S x x x 2 x x x 115.6573223
p4 P x x x 4 x x x 317.4929032
cl2 Cl x x x 2 x x x 65.343445
o2 O x x x 2 x x x 142.2391487
f2 F x x x 2 x x x 52.31832773
t-hooo O H x x 3 1 x x 273.3159993
s2o S O x x 2 1 x x 228.8748989
p2 P x x x 2 x x x 126.4686936
clf Cl F x x 1 1 x x 71.64301481
no2 O N x x 2 1 x x 267.9190774
clo Cl O x x 1 1 x x 80.74903717
s3 S x x x 3 x x x 187.3615707
cl2o Cl O x x 2 1 x x 119.1881492
s4-c2v S x x x 4 x x x 263.8895732
of O F x x 1 1 x x 71.40234825
c2 C x x x 2 x x x 152.7933119
oclo O Cl x x 2 1 x x 159.1023277
f2o F O x x 2 1 x x 122.2231574
b2 B x x x 2 x x x 76.45993261
fo2 O F x x 2 1 x x 173.0379211
cloo O Cl x x 2 1 x x 160.1258558
foof F O x x 2 2 x x 203.7424107
o3 O x x x 3 x x x 183.1122163
bn B N x x 1 1 x x 117.5091487
be2 Be x x x 2 x x x 10.40915741
C4H4 C H x x 4 4 x x 829.8671414
C6H6 C H x x 6 6 x x 1303.295427
C8H8 C H x x 8 8 x x 1770.297319
C10H10 C H x x 10 10 x x 2274.318562
C12H12 C H x x 12 12 x x 2807.097583
C20H20 C H x x 20 20 x x 4772.178939
