xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 111.6919361
alh3 H Al x x 3 1 x x 214.9157934
alh Al H x x 1 1 x x 73.65521255
sih4 H Si x x 4 1 x x 328.675911
bh3 H B x x 3 1 x x 287.312617
bh B H x x 1 1 x x 84.91572067
ch2-trip H C x x 2 1 x x 199.1319861
sih H Si x x 1 1 x x 76.36410942
si2h6 H Si x x 6 2 x x 545.6208048
ch3 H C x x 3 1 x x 317.9492052
ch4 H C x x 4 1 x x 430.8107369
b2h6 H B x x 6 2 x x 624.0284779
sih3f H F Si x 3 1 1 x 385.0802824
ph3 H P x x 3 1 x x 251.2476215
c2h6 H C x x 6 2 x x 732.0556759
propane H C x x 8 3 x x 1035.237309
ch2-sing H C x x 2 1 x x 191.269664
ch C H x x 1 1 x x 88.19475264
h2s H S x x 2 1 x x 188.8704342
hs S H x x 1 1 x x 91.63827156
c2h5f H C F x 5 2 1 x 743.2965439
ch3nh2 H C N x 5 1 1 x 604.8557031
ch3f H F C x 3 1 1 x 436.3133932
propene H C x x 6 3 x x 888.0665932
nh3 H N x x 3 1 x x 311.4025465
ethanol H C O x 6 2 1 x 836.2576387
ch3nh H C N x 4 1 1 x 498.5735394
c2h4 H C x x 4 2 x x 581.1567945
methanol H C O x 4 1 1 x 530.2868441
hcl Cl H x x 1 1 x x 109.3628301
nh2 H N x x 2 1 x x 195.4769471
nh N H x x 1 1 x x 92.21680458
ch2nh2 H C N x 4 1 1 x 507.1449572
bhf2 F B H x 2 1 1 x 418.8783007
h2o H O x x 2 1 x x 240.1170596
hf F H x x 1 1 x x 144.8118061
ch2ch H C x x 3 2 x x 464.3274755
oh O H x x 1 1 x x 113.0622595
propyne H C x x 4 3 x x 729.0411686
acetaldehyde H C O x 4 2 1 x 703.3186883
allene H C x x 4 3 x x 732.1560415
sif4 F Si x x 4 1 x x 572.696542
bf3 F B x x 3 1 x x 478.0947458
c2h3f H C F x 3 2 1 x 595.5568657
oxirane H C O x 4 2 1 x 677.8053934
ch2f2 H F C x 2 2 1 x 453.6198355
alf3 F Al x x 3 1 x x 427.4256386
bef2 F Be x x 2 1 x x 314.3903019
ch2c C H x x 2 2 x x 374.1481619
n2h4 H N x x 4 2 x x 465.5334465
ch2nh H C N x 3 1 1 x 460.2619453
alf Al F x x 1 1 x x 163.7171533
acetic H C O x 4 2 2 x 836.1517897
c2h2 C H x x 2 2 x x 418.4532186
h2co H O C x 2 1 1 x 390.3889338
h2cn H C N x 2 1 1 x 364.8541923
bf F B x x 1 1 x x 185.9520736
becl2 Cl Be x x 2 1 x x 230.3873709
t-hcoh H C O x 2 1 1 x 337.380468
alcl3 Cl Al x x 3 1 x x 311.8421997
c-hcoh H C O x 2 1 1 x 332.9482531
alcl Al Cl x x 1 1 x x 123.6609282
ketene C H O x 2 2 1 x 560.8014067
sif F Si x x 1 1 x x 146.7027157
formic H O C x 2 2 1 x 525.7507699
hcnh H C N x 2 1 1 x 359.2535745
glyoxal C H O x 2 2 2 x 665.7909702
hcof C O H F 1 1 1 1 423.9955082
nh2cl H N Cl x 2 1 1 x 264.8466431
cf4 F C x x 4 1 x x 497.4264727
hccf C H F x 2 1 1 x 417.768637
hcn H C N x 1 1 1 x 328.6815142
hnc H N C x 1 1 1 x 314.1292569
cch C H x x 2 1 x x 277.4798468
hco O C H x 1 1 1 x 296.5780049
co C O x x 1 1 x x 268.0838824
oxirene C H O x 2 2 1 x 481.8379574
f2co F O C x 2 1 1 x 443.7586227
hocn C N O H 1 1 1 1 435.4871871
hooh H O x x 2 2 x x 287.6484547
t-n2h2 H N x x 2 2 x x 321.4574123
hnco C O N H 1 1 1 1 465.5604772
c-n2h2 H N x x 2 2 x x 316.4166129
cf2 F C x x 2 1 x x 274.1589935
co2 O C x x 2 1 x x 413.4002176
fccf F C x x 2 2 x x 411.2353657
dioxirane H O C x 2 2 1 x 436.9619461
cf C F x x 1 1 x x 144.2313339
ssh S H x x 2 1 x x 178.5915999
hocl O H Cl x 1 1 1 x 178.1378762
nccn N C x x 2 2 x x 536.9113298
n2 N x x x 2 x x x 244.6684737
n2h N H x x 2 1 x x 250.9874531
ocs O C S x 1 1 1 x 358.2311312
sio Si O x x 1 1 x x 198.4793207
clcn Cl C N x 1 1 1 x 305.6278342
hoo O H x x 2 1 x x 197.3465648
hcno C H N O 1 1 1 1 401.6721034
honc H O N C 1 1 1 1 378.5232101
hno N H O x 1 1 1 x 226.5523863
hof H O F x 1 1 1 x 174.8138797
c-hono O N H x 2 1 1 x 346.7426067
t-hono O N H x 2 1 1 x 347.6313078
cs2 S C x x 2 1 x x 302.1447021
hnnn N H x x 3 1 x x 376.3813748
cs C S x x 1 1 x x 179.9791568
cn C N x x 1 1 x x 196.8472513
so3 O S x x 3 1 x x 373.7272724
ccl2 Cl C x x 2 1 x x 193.841045
bn3pi B N x x 1 1 x x 122.4633128
so2 O S x x 2 1 x x 280.1028993
no N O x x 1 1 x x 172.0643198
so S O x x 1 1 x x 140.9675291
n2o N O x x 2 1 x x 309.9009038
c-hooo O H x x 3 1 x x 272.2303717
s2 S x x x 2 x x x 116.7482576
p4 P x x x 4 x x x 325.1274919
cl2 Cl x x x 2 x x x 65.96938646
o2 O x x x 2 x x x 142.27101
f2 F x x x 2 x x x 52.32804277
t-hooo O H x x 3 1 x x 273.3866186
s2o S O x x 2 1 x x 230.2087999
p2 P x x x 2 x x x 128.1368856
clf Cl F x x 1 1 x x 71.7440668
no2 O N x x 2 1 x x 268.0262646
clo Cl O x x 1 1 x x 80.91197206
s3 S x x x 3 x x x 189.6001163
cl2o Cl O x x 2 1 x x 119.7559103
s4-c2v S x x x 4 x x x 267.5779333
of O F x x 1 1 x x 71.4203392
c2 C x x x 2 x x x 153.0089862
oclo O Cl x x 2 1 x x 159.4413271
f2o F O x x 2 1 x x 122.2598351
b2 B x x x 2 x x x 77.00293867
fo2 O F x x 2 1 x x 173.0907354
cloo O Cl x x 2 1 x x 160.3303189
foof F O x x 2 2 x x 203.8114019
o3 O x x x 3 x x x 183.18963
bn B N x x 1 1 x x 117.7111624
be2 Be x x x 2 x x x 11.41830542
