xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1340.514048
pentane H C x x 12 5 x x 1644.197423
hexane H C x x 14 6 x x 1947.914691
heptane H C x x 16 7 x x 2251.616175
octane H C x x 18 8 x x 2555.326578
isobutane H C x x 10 4 x x 1341.646289
isopentane H C x x 12 5 x x 1644.90947
isohexane H C x x 14 6 x x 1948.615083
isoheptane H C x x 16 7 x x 2252.369393
isooctane H C x x 18 8 x x 2556.316333
neopentane H C x x 12 5 x x 1646.983665
neohexane H C x x 14 6 x x 1949.71541
neoheptane H C x x 16 7 x x 2253.419419
3methylpentane H C x x 14 6 x x 1948.086994
diisopropyl H C x x 14 6 x x 1948.579166
hexamethylethane H C x x 18 8 x x 2555.565645
h2 H x x x 2 x x x 111.7694184
alh3 H Al x x 3 1 x x 214.335274
alh Al H x x 1 1 x x 73.28922933
sih4 H Si x x 4 1 x x 328.3146597
bh3 H B x x 3 1 x x 287.4903822
bh B H x x 1 1 x x 84.90008484
ch2-trip H C x x 2 1 x x 199.2843681
sih H Si x x 1 1 x x 76.13315014
si2h6 H Si x x 6 2 x x 542.2385334
ch3 H C x x 3 1 x x 318.2812559
ch4 H C x x 4 1 x x 431.3807772
b2h6 H B x x 6 2 x x 624.4461481
sih3f H F Si x 3 1 1 x 384.5611149
ph3 H P x x 3 1 x x 251.103172
c2h6 H C x x 6 2 x x 733.130739
propane H C x x 8 3 x x 1036.783391
ch2-sing H C x x 2 1 x x 191.4254255
ch C H x x 1 1 x x 88.24383287
h2s H S x x 2 1 x x 188.7874447
hs S H x x 1 1 x x 91.55935629
c2h5f H C F x 5 2 1 x 744.2553996
ch3nh2 H C N x 5 1 1 x 605.8449894
ch3f H F C x 3 1 1 x 436.8046551
propene H C x x 6 3 x x 888.7667724
nh3 H N x x 3 1 x x 311.824933
ethanol H C O x 6 2 1 x 837.4129952
ch3nh H C N x 4 1 1 x 499.2759808
c2h4 H C x x 4 2 x x 581.5667011
methanol H C O x 4 1 1 x 530.9888477
hcl Cl H x x 1 1 x x 109.3341642
nh2 H N x x 2 1 x x 195.7004594
nh N H x x 1 1 x x 92.29582982
ch2nh2 H C N x 4 1 1 x 507.7856968
bhf2 F B H x 2 1 1 x 418.8882418
h2o H O x x 2 1 x x 240.3179951
hf F H x x 1 1 x x 144.8783257
ch2ch H C x x 3 2 x x 464.4879088
oh O H x x 1 1 x x 113.1328736
propyne H C x x 4 3 x x 729.1375648
acetaldehyde H C O x 4 2 1 x 703.8715877
allene H C x x 4 3 x x 732.1558396
sif4 F Si x x 4 1 x x 571.7161052
bf3 F B x x 3 1 x x 478.0223466
c2h3f H C F x 3 2 1 x 595.842318
oxirane H C O x 4 2 1 x 678.3546095
ch2f2 H F C x 2 2 1 x 454.0345693
alf3 F Al x x 3 1 x x 426.4367107
bef2 F Be x x 2 1 x x 314.2038103
ch2c C H x x 2 2 x x 374.1356482
n2h4 H N x x 4 2 x x 466.4008444
ch2nh H C N x 3 1 1 x 460.6575952
alf Al F x x 1 1 x x 163.1761627
acetic H C O x 4 2 2 x 836.6989877
c2h2 C H x x 2 2 x x 418.3975022
h2co H O C x 2 1 1 x 390.6078613
h2cn H C N x 2 1 1 x 365.0410654
bf F B x x 1 1 x x 185.8417127
becl2 Cl Be x x 2 1 x x 228.2371297
t-hcoh H C O x 2 1 1 x 337.5664329
alcl3 Cl Al x x 3 1 x x 305.4110431
c-hcoh H C O x 2 1 1 x 333.1625917
alcl Al Cl x x 1 1 x x 120.7361533
ketene C H O x 2 2 1 x 560.7690078
sif F Si x x 1 1 x x 146.3023197
formic H O C x 2 2 1 x 526.023338
hcnh H C N x 2 1 1 x 359.3952155
glyoxal C H O x 2 2 2 x 665.8212774
hcof C O H F 1 1 1 1 424.12603
nh2cl H N Cl x 2 1 1 x 264.7046114
cf4 F C x x 4 1 x x 497.6907366
hccf C H F x 2 1 1 x 417.6069395
hcn H C N x 1 1 1 x 328.6722869
hnc H N C x 1 1 1 x 314.1153157
cch C H x x 2 1 x x 277.2879148
hco O C H x 1 1 1 x 296.6157425
co C O x x 1 1 x x 267.998902
oxirene C H O x 2 2 1 x 481.7991197
f2co F O C x 2 1 1 x 443.8011142
hocn C N O H 1 1 1 1 435.4721034
hooh H O x x 2 2 x x 287.974564
t-n2h2 H N x x 2 2 x x 321.7734461
hnco C O N H 1 1 1 1 465.5396629
c-n2h2 H N x x 2 2 x x 316.7590554
cf2 F C x x 2 1 x x 274.1755158
co2 O C x x 2 1 x x 413.2879934
fccf F C x x 2 2 x x 410.9689621
dioxirane H O C x 2 2 1 x 437.2564163
cf C F x x 1 1 x x 144.2087359
ssh S H x x 2 1 x x 176.5629838
hocl O H Cl x 1 1 1 x 177.9516764
nccn N C x x 2 2 x x 536.3137544
n2 N x x x 2 x x x 244.6415531
n2h N H x x 2 1 x x 251.11494
ocs O C S x 1 1 1 x 357.1670493
sio Si O x x 1 1 x x 197.8190381
clcn Cl C N x 1 1 1 x 304.7222326
hoo O H x x 2 1 x x 197.4979151
hcno C H N O 1 1 1 1 401.6423883
honc H O N C 1 1 1 1 378.5309243
hno N H O x 1 1 1 x 226.6989873
hof H O F x 1 1 1 x 174.9807467
c-hono O N H x 2 1 1 x 346.9773057
t-hono O N H x 2 1 1 x 347.8407653
cs2 S C x x 2 1 x x 299.6108881
hnnn N H x x 3 1 x x 376.5312663
cs C S x x 1 1 x x 179.0394377
cn C N x x 1 1 x x 196.6969087
so3 O S x x 3 1 x x 372.7133043
ccl2 Cl C x x 2 1 x x 191.9037525
bn3pi B N x x 1 1 x x 122.1306891
so2 O S x x 2 1 x x 279.3943745
no N O x x 1 1 x x 172.0669822
so S O x x 1 1 x x 140.5908647
n2o N O x x 2 1 x x 309.8972875
c-hooo O H x x 3 1 x x 272.4868193
s2 S x x x 2 x x x 114.764297
p4 P x x x 4 x x x 311.1795659
cl2 Cl x x x 2 x x x 64.77877905
o2 O x x x 2 x x x 142.2916621
f2 F x x x 2 x x x 52.383298
t-hooo O H x x 3 1 x x 273.6139613
