xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 111.6254707
alh3 H Al x x 3 1 x x 213.4225846
alh Al H x x 1 1 x x 72.95297234
sih4 H Si x x 4 1 x x 326.5399823
bh3 H B x x 3 1 x x 286.4977592
bh B H x x 1 1 x x 84.59909943
ch2-trip H C x x 2 1 x x 198.666056
sih H Si x x 1 1 x x 75.7780048
si2h6 H Si x x 6 2 x x 538.0529883
ch3 H C x x 3 1 x x 317.1950618
ch4 H C x x 4 1 x x 429.7962175
b2h6 H B x x 6 2 x x 620.4223627
sih3f H F Si x 3 1 1 x 382.7467293
ph3 H P x x 3 1 x x 249.704783
c2h6 H C x x 6 2 x x 729.0245512
propane H C x x 8 3 x x 1029.527085
ch2-sing H C x x 2 1 x x 190.8018167
ch C H x x 1 1 x x 87.95156335
h2s H S x x 2 1 x x 187.9777295
hs S H x x 1 1 x x 91.21514626
c2h5f H C F x 5 2 1 x 740.0401032
ch3nh2 H C N x 5 1 1 x 602.4647488
ch3f H F C x 3 1 1 x 435.1563469
propene H C x x 6 3 x x 883.2809338
nh3 H N x x 3 1 x x 310.7740665
ethanol H C O x 6 2 1 x 832.2700957
ch3nh H C N x 4 1 1 x 496.5769578
c2h4 H C x x 4 2 x x 578.8446006
methanol H C O x 4 1 1 x 528.5817308
hcl Cl H x x 1 1 x x 109.0105133
nh2 H N x x 2 1 x x 195.0855117
nh N H x x 1 1 x x 92.04281648
ch2nh2 H C N x 4 1 1 x 505.1070557
bhf2 F B H x 2 1 1 x 417.7869573
h2o H O x x 2 1 x x 239.82238
hf F H x x 1 1 x x 144.7204123
ch2ch H C x x 3 2 x x 462.4689128
oh O H x x 1 1 x x 112.9328884
propyne H C x x 4 3 x x 725.5310141
acetaldehyde H C O x 4 2 1 x 700.161394
allene H C x x 4 3 x x 728.4934323
sif4 F Si x x 4 1 x x 569.5955379
bf3 F B x x 3 1 x x 476.8211449
c2h3f H C F x 3 2 1 x 593.0601048
oxirane H C O x 4 2 1 x 674.8969107
ch2f2 H F C x 2 2 1 x 452.2897039
alf3 F Al x x 3 1 x x 425.3705227
bef2 F Be x x 2 1 x x 313.5830961
ch2c C H x x 2 2 x x 372.5525627
n2h4 H N x x 4 2 x x 463.7264577
ch2nh H C N x 3 1 1 x 458.5938967
alf Al F x x 1 1 x x 162.8766805
acetic H C O x 4 2 2 x 831.9830433
c2h2 C H x x 2 2 x x 417.0312613
h2co H O C x 2 1 1 x 389.3289923
h2cn H C N x 2 1 1 x 363.583573
bf F B x x 1 1 x x 185.5456658
becl2 Cl Be x x 2 1 x x 226.8310996
t-hcoh H C O x 2 1 1 x 336.3534086
alcl3 Cl Al x x 3 1 x x 302.7972316
c-hcoh H C O x 2 1 1 x 331.9103362
alcl Al Cl x x 1 1 x x 120.1518907
ketene C H O x 2 2 1 x 558.5373019
sif F Si x x 1 1 x x 145.9660493
formic H O C x 2 2 1 x 523.9431691
hcnh H C N x 2 1 1 x 357.9933618
glyoxal C H O x 2 2 2 x 662.5227123
hcof C O H F 1 1 1 1 422.7749251
nh2cl H N Cl x 2 1 1 x 263.0735468
cf4 F C x x 4 1 x x 495.657042
hccf C H F x 2 1 1 x 416.2021779
hcn H C N x 1 1 1 x 327.7831019
hnc H N C x 1 1 1 x 313.1365988
cch C H x x 2 1 x x 276.3082168
hco O C H x 1 1 1 x 295.8535052
co C O x x 1 1 x x 267.6091332
oxirene C H O x 2 2 1 x 479.6830535
f2co F O C x 2 1 1 x 442.3462238
hocn C N O H 1 1 1 1 433.9011038
hooh H O x x 2 2 x x 286.919154
t-n2h2 H N x x 2 2 x x 320.3496087
hnco C O N H 1 1 1 1 463.9303967
c-n2h2 H N x x 2 2 x x 315.2985126
cf2 F C x x 2 1 x x 273.4504814
co2 O C x x 2 1 x x 412.3590583
fccf F C x x 2 2 x x 409.517935
dioxirane H O C x 2 2 1 x 435.35373
cf C F x x 1 1 x x 143.8997272
ssh S H x x 2 1 x x 175.2349891
hocl O H Cl x 1 1 1 x 177.0755875
nccn N C x x 2 2 x x 534.1732028
n2 N x x x 2 x x x 244.2006768
n2h N H x x 2 1 x x 250.2162819
ocs O C S x 1 1 1 x 355.9027715
sio Si O x x 1 1 x x 197.3870771
clcn Cl C N x 1 1 1 x 303.3240599
hoo O H x x 2 1 x x 196.8630231
hcno C H N O 1 1 1 1 400.0746309
honc H O N C 1 1 1 1 376.8341277
hno N H O x 1 1 1 x 225.9310705
hof H O F x 1 1 1 x 174.4291947
c-hono O N H x 2 1 1 x 345.4937661
t-hono O N H x 2 1 1 x 346.4136621
cs2 S C x x 2 1 x x 297.9205297
hnnn N H x x 3 1 x x 374.7013635
cs C S x x 1 1 x x 178.4073382
cn C N x x 1 1 x x 196.2032896
so3 O S x x 3 1 x x 370.6050301
ccl2 Cl C x x 2 1 x x 190.3019053
bn3pi B N x x 1 1 x x 121.6411497
so2 O S x x 2 1 x x 278.2533048
no N O x x 1 1 x x 171.7120426
so S O x x 1 1 x x 140.1436887
n2o N O x x 2 1 x x 308.8135945
c-hooo O H x x 3 1 x x 271.1985586
s2 S x x x 2 x x x 114.0724519
p4 P x x x 4 x x x 307.3408251
cl2 Cl x x x 2 x x x 64.14403992
o2 O x x x 2 x x x 142.0005696
f2 F x x x 2 x x x 52.17689127
t-hooo O H x x 3 1 x x 272.3846141
s2o S O x x 2 1 x x 226.1974411
p2 P x x x 2 x x x 124.4458779
clf Cl F x x 1 1 x x 71.24758984
no2 O N x x 2 1 x x 267.1130491
clo Cl O x x 1 1 x x 80.21373567
s3 S x x x 3 x x x 182.9488357
cl2o Cl O x x 2 1 x x 117.1229771
s4-c2v S x x x 4 x x x 255.2536467
of O F x x 1 1 x x 71.22147176
c2 C x x x 2 x x x 152.1001325
oclo O Cl x x 2 1 x x 157.8134503
f2o F O x x 2 1 x x 121.7586823
b2 B x x x 2 x x x 75.42890696
fo2 O F x x 2 1 x x 172.4687855
cloo O Cl x x 2 1 x x 158.9539192
foof F O x x 2 2 x x 202.7948126
o3 O x x x 3 x x x 182.452957
bn B N x x 1 1 x x 116.8883382
be2 Be x x x 2 x x x 8.082067779
