xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 105.252522
alh3 H Al x x 3 1 x x 202.8669227
alh Al H x x 1 1 x x 68.73425567
sih4 H Si x x 4 1 x x 312.2399859
bh3 H B x x 3 1 x x 276.0023697
bh B H x x 1 1 x x 80.68540226
ch2-trip H C x x 2 1 x x 192.5674501
sih H Si x x 1 1 x x 71.29577079
si2h6 H Si x x 6 2 x x 517.3275748
ch3 H C x x 3 1 x x 306.4912429
ch4 H C x x 4 1 x x 415.228854
b2h6 H B x x 6 2 x x 600.8451191
sih3f H F Si x 3 1 1 x 370.4309405
ph3 H P x x 3 1 x x 236.9222277
c2h6 H C x x 6 2 x x 707.6477775
propane H C x x 8 3 x x 1001.932291
ch2-sing H C x x 2 1 x x 183.1914638
ch C H x x 1 1 x x 83.56034873
h2s H S x x 2 1 x x 180.045012
hs S H x x 1 1 x x 87.0162451
c2h5f H C F x 5 2 1 x 720.755149
ch3nh2 H C N x 5 1 1 x 581.5667908
ch3f H F C x 3 1 1 x 422.7165584
propene H C x x 6 3 x x 860.7067315
nh3 H N x x 3 1 x x 297.1919724
ethanol H C O x 6 2 1 x 809.0545883
ch3nh H C N x 4 1 1 x 479.0229012
c2h4 H C x x 4 2 x x 563.0674469
methanol H C O x 4 1 1 x 512.0176725
hcl Cl H x x 1 1 x x 105.2615851
nh2 H N x x 2 1 x x 185.4483909
nh N H x x 1 1 x x 86.95327426
ch2nh2 H C N x 4 1 1 x 487.4570918
bhf2 F B H x 2 1 1 x 410.8787173
h2o H O x x 2 1 x x 230.8982953
hf F H x x 1 1 x x 140.3081176
ch2ch H C x x 3 2 x x 450.3310186
oh O H x x 1 1 x x 108.1685602
propyne H C x x 4 3 x x 708.5567691
acetaldehyde H C O x 4 2 1 x 682.8573086
allene H C x x 4 3 x x 711.3795065
sif4 F Si x x 4 1 x x 561.8364444
bf3 F B x x 3 1 x x 471.2493016
c2h3f H C F x 3 2 1 x 579.2780804
oxirane H C O x 4 2 1 x 657.9403656
ch2f2 H F C x 2 2 1 x 441.5874392
alf3 F Al x x 3 1 x x 419.967151
bef2 F Be x x 2 1 x x 309.9567727
ch2c C H x x 2 2 x x 362.4190295
n2h4 H N x x 4 2 x x 443.4514845
ch2nh H C N x 3 1 1 x 443.6498722
alf Al F x x 1 1 x x 159.9031111
acetic H C O x 4 2 2 x 812.7209846
c2h2 C H x x 2 2 x x 407.4323616
h2co H O C x 2 1 1 x 379.0969807
h2cn H C N x 2 1 1 x 352.2007022
bf F B x x 1 1 x x 182.8532114
