xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1300.900224
pentane H C x x 12 5 x x 1596.364229
hexane H C x x 14 6 x x 1891.857149
heptane H C x x 16 7 x x 2187.338898
octane H C x x 18 8 x x 2482.82949
isobutane H C x x 10 4 x x 1302.022784
isopentane H C x x 12 5 x x 1597.058287
isohexane H C x x 14 6 x x 1892.542306
isoheptane H C x x 16 7 x x 2188.075709
isooctane H C x x 18 8 x x 2483.821148
neopentane H C x x 12 5 x x 1599.150534
neohexane H C x x 14 6 x x 1893.673219
neoheptane H C x x 16 7 x x 2189.156631
3methylpentane H C x x 14 6 x x 1892.014176
diisopropyl H C x x 14 6 x x 1892.445902
hexamethylethane H C x x 18 8 x x 2483.05678
h2 H x x x 2 x x x 105.3551421
alh3 H Al x x 3 1 x x 203.9121975
alh Al H x x 1 1 x x 69.37698335
sih4 H Si x x 4 1 x x 313.6487325
bh3 H B x x 3 1 x x 276.8288577
bh B H x x 1 1 x x 81.05987684
ch2-trip H C x x 2 1 x x 193.1309445
sih H Si x x 1 1 x x 71.88503448
si2h6 H Si x x 6 2 x x 521.6836889
ch3 H C x x 3 1 x x 307.4127599
ch4 H C x x 4 1 x x 416.5016681
b2h6 H B x x 6 2 x x 603.5549117
sih3f H F Si x 3 1 1 x 371.4005721
ph3 H P x x 3 1 x x 238.4749412
c2h6 H C x x 6 2 x x 709.9957593
propane H C x x 8 3 x x 1005.389024
ch2-sing H C x x 2 1 x x 183.7916596
ch C H x x 1 1 x x 83.87226666
h2s H S x x 2 1 x x 181.0292709
hs S H x x 1 1 x x 87.48971962
c2h5f H C F x 5 2 1 x 722.6126216
ch3nh2 H C N x 5 1 1 x 583.611487
ch3f H F C x 3 1 1 x 423.5497536
propene H C x x 6 3 x x 864.3364345
nh3 H N x x 3 1 x x 298.0544684
ethanol H C O x 6 2 1 x 811.3769571
ch3nh H C N x 4 1 1 x 480.9632009
c2h4 H C x x 4 2 x x 565.2223104
methanol H C O x 4 1 1 x 513.3356841
hcl Cl H x x 1 1 x x 105.6725564
nh2 H N x x 2 1 x x 185.9851917
nh N H x x 1 1 x x 87.19083415
ch2nh2 H C N x 4 1 1 x 489.3794272
bhf2 F B H x 2 1 1 x 411.3511953
h2o H O x x 2 1 x x 231.3122809
hf F H x x 1 1 x x 140.4395648
ch2ch H C x x 3 2 x x 452.1608504
oh O H x x 1 1 x x 108.3484148
propyne H C x x 4 3 x x 711.6911789
acetaldehyde H C O x 4 2 1 x 685.129999
allene H C x x 4 3 x x 714.7162369
sif4 F Si x x 4 1 x x 563.1138036
bf3 F B x x 3 1 x x 472.1695951
c2h3f H C F x 3 2 1 x 581.1694608
oxirane H C O x 4 2 1 x 660.0640021
ch2f2 H F C x 2 2 1 x 442.3453327
alf3 F Al x x 3 1 x x 420.9694332
bef2 F Be x x 2 1 x x 310.5343785
ch2c C H x x 2 2 x x 364.1451266
