xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1289.845404
pentane H C x x 12 5 x x 1581.68925
hexane H C x x 14 6 x x 1873.550608
heptane H C x x 16 7 x x 2165.395213
octane H C x x 18 8 x x 2457.251373
isobutane H C x x 10 4 x x 1290.254666
isopentane H C x x 12 5 x x 1581.144293
isohexane H C x x 14 6 x x 1872.916796
isoheptane H C x x 16 7 x x 2164.778391
isooctane H C x x 18 8 x x 2452.870826
neopentane H C x x 12 5 x x 1582.200002
neohexane H C x x 14 6 x x 1871.998665
neoheptane H C x x 16 7 x x 2163.670968
3methylpentane H C x x 14 6 x x 1871.910124
diisopropyl H C x x 14 6 x x 1871.346577
hexamethylethane H C x x 18 8 x x 2449.080302
h2 H x x x 2 x x x 105.2525011
alh3 H Al x x 3 1 x x 202.4510049
alh Al H x x 1 1 x x 68.73001087
sih4 H Si x x 4 1 x x 311.3102986
bh3 H B x x 3 1 x x 275.7929674
bh B H x x 1 1 x x 80.68435575
ch2-trip H C x x 2 1 x x 192.5153166
sih H Si x x 1 1 x x 71.29424642
si2h6 H Si x x 6 2 x x 514.6840433
ch3 H C x x 3 1 x x 306.3923522
ch4 H C x x 4 1 x x 415.0949394
b2h6 H B x x 6 2 x x 599.1322973
sih3f H F Si x 3 1 1 x 368.9084535
ph3 H P x x 3 1 x x 236.7122411
c2h6 H C x x 6 2 x x 705.9578895
propane H C x x 8 3 x x 997.8937161
ch2-sing H C x x 2 1 x x 183.1734163
ch C H x x 1 1 x x 83.55985936
h2s H S x x 2 1 x x 179.9996685
hs S H x x 1 1 x x 87.01465627
c2h5f H C F x 5 2 1 x 718.3280838
ch3nh2 H C N x 5 1 1 x 580.3767847
ch3f H F C x 3 1 1 x 421.9887543
propene H C x x 6 3 x x 858.2815425
nh3 H N x x 3 1 x x 297.1596452
ethanol H C O x 6 2 1 x 806.1287654
ch3nh H C N x 4 1 1 x 478.3082108
c2h4 H C x x 4 2 x x 562.2949424
methanol H C O x 4 1 1 x 511.034527
hcl Cl H x x 1 1 x x 105.2596011
nh2 H N x x 2 1 x x 185.4382064
nh N H x x 1 1 x x 86.95298583
ch2nh2 H C N x 4 1 1 x 486.6904282
bhf2 F B H x 2 1 1 x 410.0428675
h2o H O x x 2 1 x x 230.8914798
hf F H x x 1 1 x x 140.307689
ch2ch H C x x 3 2 x x 449.8731021
oh O H x x 1 1 x x 108.1681086
propyne H C x x 4 3 x x 707.4136386
acetaldehyde H C O x 4 2 1 x 681.1068772
allene H C x x 4 3 x x 710.292824
sif4 F Si x x 4 1 x x 559.9356482
bf3 F B x x 3 1 x x 470.669375
c2h3f H C F x 3 2 1 x 578.0533519
oxirane H C O x 4 2 1 x 656.358235
ch2f2 H F C x 2 2 1 x 440.5919853
alf3 F Al x x 3 1 x x 419.0961153
bef2 F Be x x 2 1 x x 309.6486355
ch2c C H x x 2 2 x x 362.2512302
n2h4 H N x x 4 2 x x 442.6778095
ch2nh H C N x 3 1 1 x 443.2321935
alf Al F x x 1 1 x x 159.897638
acetic H C O x 4 2 2 x 810.0163402
c2h2 C H x x 2 2 x x 407.162291
h2co H O C x 2 1 1 x 378.7605239
h2cn H C N x 2 1 1 x 352.0369259
bf F B x x 1 1 x x 182.8522149
becl2 Cl Be x x 2 1 x x 225.0267025
t-hcoh H C O x 2 1 1 x 325.1808089
alcl3 Cl Al x x 3 1 x x 299.9812768
c-hcoh H C O x 2 1 1 x 320.7368798
alcl Al Cl x x 1 1 x x 118.4569981
ketene C H O x 2 2 1 x 546.4438632
sif F Si x x 1 1 x x 142.7138538
formic H O C x 2 2 1 x 510.5122427
hcnh H C N x 2 1 1 x 346.3166719
glyoxal C H O x 2 2 2 x 647.4738307
hcof C O H F 1 1 1 1 413.782193
nh2cl H N Cl x 2 1 1 x 251.8543113
cf4 F C x x 4 1 x x 486.9100022
hccf C H F x 2 1 1 x 408.191186
hcn H C N x 1 1 1 x 319.2161809
hnc H N C x 1 1 1 x 304.3353555
cch C H x x 2 1 x x 270.8845344
hco O C H x 1 1 1 x 288.9705279
co C O x x 1 1 x x 263.5614635
oxirene C H O x 2 2 1 x 467.627161
f2co F O C x 2 1 1 x 435.0856676
hocn C N O H 1 1 1 1 422.8539261
hooh H O x x 2 2 x x 274.9502493
t-n2h2 H N x x 2 2 x x 306.2236796
hnco C O N H 1 1 1 1 453.1847973
c-n2h2 H N x x 2 2 x x 301.1657316
cf2 F C x x 2 1 x x 268.1497583
co2 O C x x 2 1 x x 406.48215
fccf F C x x 2 2 x x 403.3333216
dioxirane H O C x 2 2 1 x 422.2330405
cf C F x x 1 1 x x 140.9428563
ssh S H x x 2 1 x x 169.4859046
hocl O H Cl x 1 1 1 x 170.3765573
nccn N C x x 2 2 x x 523.5652508
n2 N x x x 2 x x x 237.0740526
n2h N H x x 2 1 x x 239.8920832
ocs O C S x 1 1 1 x 350.884902
sio Si O x x 1 1 x x 192.535663
clcn Cl C N x 1 1 1 x 297.6513254
hoo O H x x 2 1 x x 188.9991134
hcno C H N O 1 1 1 1 389.4061473
honc H O N C 1 1 1 1 365.5080186
hno N H O x 1 1 1 x 216.7210089
hof H O F x 1 1 1 x 166.8984204
c-hono O N H x 2 1 1 x 333.2337258
t-hono O N H x 2 1 1 x 334.198807
cs2 S C x x 2 1 x x 293.807586
hnnn N H x x 3 1 x x 360.6025942
cs C S x x 1 1 x x 175.2813865
cn C N x x 1 1 x x 191.5742282
so3 O S x x 3 1 x x 362.2682842
ccl2 Cl C x x 2 1 x x 187.1009535
bn3pi B N x x 1 1 x x 118.5589253
so2 O S x x 2 1 x x 271.8745927
no N O x x 1 1 x x 166.28479
so S O x x 1 1 x x 137.0708355
n2o N O x x 2 1 x x 299.7340438
c-hooo O H x x 3 1 x x 260.1051802
s2 S x x x 2 x x x 112.0839204
p4 P x x x 4 x x x 299.0595795
cl2 Cl x x x 2 x x x 62.86656492
o2 O x x x 2 x x x 138.5252754
f2 F x x x 2 x x x 49.15438044
t-hooo O H x x 3 1 x x 261.3867911
s2o S O x x 2 1 x x 221.0083467
p2 P x x x 2 x x x 118.7202895
clf Cl F x x 1 1 x x 68.92450731
no2 O N x x 2 1 x x 259.3648975
clo Cl O x x 1 1 x x 77.46637784
s3 S x x x 3 x x x 178.917577
cl2o Cl O x x 2 1 x x 112.3977463
s4-c2v S x x x 4 x x x 249.4455439
of O F x x 1 1 x x 67.77715777
c2 C x x x 2 x x x 149.4531795
oclo O Cl x x 2 1 x x 152.6611396
f2o F O x x 2 1 x x 115.582592
b2 B x x x 2 x x x 76.91202058
fo2 O F x x 2 1 x x 166.1479051
cloo O Cl x x 2 1 x x 153.2399288
foof F O x x 2 2 x x 193.6770705
o3 O x x x 3 x x x 175.0125025
bn B N x x 1 1 x x 112.753284
be2 Be x x x 2 x x x 8.192846549
C4H4 C H x x 4 4 x x 808.5540671
C6H6 C H x x 6 6 x x 1267.613961
C8H8 C H x x 8 8 x x 1718.504489
C10H10 C H x x 10 10 x x 2204.971413
C12H12 C H x x 12 12 x x 2719.894522
C20H20 C H x x 20 20 x x 4607.959534
