xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.2354234
alh3 H Al x x 3 1 x x 214.6829639
alh Al H x x 1 1 x x 72.81491967
sih4 H Si x x 4 1 x x 326.1759291
bh3 H B x x 3 1 x x 285.8003232
bh B H x x 1 1 x x 83.35086463
ch2-trip H C x x 2 1 x x 192.6227654
sih H Si x x 1 1 x x 74.65123363
si2h6 H Si x x 6 2 x x 536.0639451
ch3 H C x x 3 1 x x 310.7623203
ch4 H C x x 4 1 x x 422.1954379
b2h6 H B x x 6 2 x x 614.2398264
sih3f H F Si x 3 1 1 x 383.0628293
ph3 H P x x 3 1 x x 244.896622
c2h6 H C x x 6 2 x x 715.9159436
propane H C x x 8 3 x x 1011.529637
ch2-sing H C x x 2 1 x x 185.1868274
ch C H x x 1 1 x x 84.64125973
h2s H S x x 2 1 x x 182.2118195
hs S H x x 1 1 x x 88.14129106
c2h5f H C F x 5 2 1 x 725.2602724
ch3nh2 H C N x 5 1 1 x 587.4488235
ch3f H F C x 3 1 1 x 425.490832
propene H C x x 6 3 x x 863.812073
nh3 H N x x 3 1 x x 301.3289914
ethanol H C O x 6 2 1 x 814.1060779
ch3nh H C N x 4 1 1 x 481.9308837
c2h4 H C x x 4 2 x x 565.1678167
methanol H C O x 4 1 1 x 515.3372121
hcl Cl H x x 1 1 x x 105.2268855
nh2 H N x x 2 1 x x 187.3687625
nh N H x x 1 1 x x 87.18868659
ch2nh2 H C N x 4 1 1 x 490.0071017
bhf2 F B H x 2 1 1 x 414.3157974
h2o H O x x 2 1 x x 232.0647705
hf F H x x 1 1 x x 140.1863619
ch2ch H C x x 3 2 x x 448.3836254
oh O H x x 1 1 x x 108.4430604
propyne H C x x 4 3 x x 705.677337
acetaldehyde H C O x 4 2 1 x 679.9644039
allene H C x x 4 3 x x 706.28601
sif4 F Si x x 4 1 x x 570.6543078
bf3 F B x x 3 1 x x 472.5123037
c2h3f H C F x 3 2 1 x 576.2600375
oxirane H C O x 4 2 1 x 653.1704566
ch2f2 H F C x 2 2 1 x 440.2721992
alf3 F Al x x 3 1 x x 425.3836555
bef2 F Be x x 2 1 x x 312.7519007
ch2c C H x x 2 2 x x 360.0680891
n2h4 H N x x 4 2 x x 446.0130953
ch2nh H C N x 3 1 1 x 442.4124399
alf Al F x x 1 1 x x 162.374562
acetic H C O x 4 2 2 x 806.2549367
c2h2 C H x x 2 2 x x 403.7573015
h2co H O C x 2 1 1 x 374.8753124
h2cn H C N x 2 1 1 x 348.6913709
bf F B x x 1 1 x x 182.5051001
becl2 Cl Be x x 2 1 x x 224.8454023
t-hcoh H C O x 2 1 1 x 322.9666939
alcl3 Cl Al x x 3 1 x x 300.040568
c-hcoh H C O x 2 1 1 x 317.8961549
alcl Al Cl x x 1 1 x x 117.8017076
ketene C H O x 2 2 1 x 535.5175656
sif F Si x x 1 1 x x 143.8118535
formic H O C x 2 2 1 x 502.8158619
hcnh H C N x 2 1 1 x 340.9438155
glyoxal C H O x 2 2 2 x 635.1075556
hcof C O H F 1 1 1 1 404.7840856
nh2cl H N Cl x 2 1 1 x 248.8395316
cf4 F C x x 4 1 x x 479.7189007
hccf C H F x 2 1 1 x 398.5530262
hcn H C N x 1 1 1 x 312.7998911
hnc H N C x 1 1 1 x 299.7536756
cch C H x x 2 1 x x 262.4989474
hco O C H x 1 1 1 x 281.2918471
co C O x x 1 1 x x 256.6568079
oxirene C H O x 2 2 1 x 454.5462706
f2co F O C x 2 1 1 x 421.7923563
hocn C N O H 1 1 1 1 410.6897512
hooh H O x x 2 2 x x 268.7873226
t-n2h2 H N x x 2 2 x x 300.6528991
hnco C O N H 1 1 1 1 438.4532566
c-n2h2 H N x x 2 2 x x 294.9033679
cf2 F C x x 2 1 x x 259.6017664
