xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 109.2672643
alh3 H Al x x 3 1 x x 215.0511882
alh Al H x x 1 1 x x 73.04710874
sih4 H Si x x 4 1 x x 326.5574158
bh3 H B x x 3 1 x x 286.0372673
bh B H x x 1 1 x x 83.47557952
ch2-trip H C x x 2 1 x x 192.7963535
sih H Si x x 1 1 x x 74.8581009
si2h6 H Si x x 6 2 x x 537.4626144
ch3 H C x x 3 1 x x 311.0418402
ch4 H C x x 4 1 x x 422.5790945
b2h6 H B x x 6 2 x x 614.9036058
sih3f H F Si x 3 1 1 x 383.2567749
ph3 H P x x 3 1 x x 245.3897667
c2h6 H C x x 6 2 x x 716.4980995
propane H C x x 8 3 x x 1012.258698
ch2-sing H C x x 2 1 x x 185.3778458
ch C H x x 1 1 x x 84.74276651
h2s H S x x 2 1 x x 182.5361396
hs S H x x 1 1 x x 88.30167195
c2h5f H C F x 5 2 1 x 725.5687857
ch3nh2 H C N x 5 1 1 x 587.9674306
ch3f H F C x 3 1 1 x 425.6217976
propene H C x x 6 3 x x 864.7815136
nh3 H N x x 3 1 x x 301.5967099
ethanol H C O x 6 2 1 x 814.5160278
ch3nh H C N x 4 1 1 x 482.4637225
c2h4 H C x x 4 2 x x 565.7909353
methanol H C O x 4 1 1 x 515.6124224
hcl Cl H x x 1 1 x x 105.3641051
nh2 H N x x 2 1 x x 187.5378886
nh N H x x 1 1 x x 87.26466786
ch2nh2 H C N x 4 1 1 x 490.545442
bhf2 F B H x 2 1 1 x 414.3320228
h2o H O x x 2 1 x x 232.1945996
hf F H x x 1 1 x x 140.227746
ch2ch H C x x 3 2 x x 448.9422128
oh O H x x 1 1 x x 108.500233
propyne H C x x 4 3 x x 706.6542252
acetaldehyde H C O x 4 2 1 x 680.5137581
allene H C x x 4 3 x x 707.3493758
sif4 F Si x x 4 1 x x 570.8666781
bf3 F B x x 3 1 x x 472.7235717
c2h3f H C F x 3 2 1 x 576.7253005
oxirane H C O x 4 2 1 x 653.6385129
ch2f2 H F C x 2 2 1 x 440.3313018
alf3 F Al x x 3 1 x x 425.7115737
bef2 F Be x x 2 1 x x 312.9249977
ch2c C H x x 2 2 x x 360.6177246
n2h4 H N x x 4 2 x x 446.4685946
ch2nh H C N x 3 1 1 x 442.9279296
alf Al F x x 1 1 x x 162.6300877
acetic H C O x 4 2 2 x 806.7927149
c2h2 C H x x 2 2 x x 404.1914406
h2co H O C x 2 1 1 x 375.1458904
h2cn H C N x 2 1 1 x 349.1339296
bf F B x x 1 1 x x 182.6550318
becl2 Cl Be x x 2 1 x x 225.7039741
t-hcoh H C O x 2 1 1 x 323.289269
alcl3 Cl Al x x 3 1 x x 301.7616257
c-hcoh H C O x 2 1 1 x 318.2280479
alcl Al Cl x x 1 1 x x 118.6705146
ketene C H O x 2 2 1 x 536.1200532
sif F Si x x 1 1 x x 144.0522022
formic H O C x 2 2 1 x 503.1422144
hcnh H C N x 2 1 1 x 341.3792462
glyoxal C H O x 2 2 2 x 635.6101885
hcof C O H F 1 1 1 1 405.0147272
nh2cl H N Cl x 2 1 1 x 249.3571596
cf4 F C x x 4 1 x x 480.0476293
hccf C H F x 2 1 1 x 398.9449951
hcn H C N x 1 1 1 x 313.0971293
hnc H N C x 1 1 1 x 300.1018457
cch C H x x 2 1 x x 262.8778575
hco O C H x 1 1 1 x 281.5021705
co C O x x 1 1 x x 256.8374798
oxirene C H O x 2 2 1 x 454.9508089
f2co F O C x 2 1 1 x 422.1352459
hocn C N O H 1 1 1 1 411.0895148
hooh H O x x 2 2 x x 268.9579375
t-n2h2 H N x x 2 2 x x 301.0450213
hnco C O N H 1 1 1 1 438.9118312
c-n2h2 H N x x 2 2 x x 295.3176801
cf2 F C x x 2 1 x x 259.8373202
co2 O C x x 2 1 x x 389.4873946
fccf F C x x 2 2 x x 388.2538161
dioxirane H O C x 2 2 1 x 408.1004071
cf C F x x 1 1 x x 135.544624
ssh S H x x 2 1 x x 162.8249462
hocl O H Cl x 1 1 1 x 164.0646732
nccn N C x x 2 2 x x 501.812598
n2 N x x x 2 x x x 228.9145094
n2h N H x x 2 1 x x 231.8886361
ocs O C S x 1 1 1 x 332.557788
sio Si O x x 1 1 x x 189.1394461
clcn Cl C N x 1 1 1 x 282.8836058
hoo O H x x 2 1 x x 178.9154349
hcno C H N O 1 1 1 1 367.7659922
honc H O N C 1 1 1 1 352.4739558
hno N H O x 1 1 1 x 206.5420197
hof H O F x 1 1 1 x 158.2647785
c-hono O N H x 2 1 1 x 314.0505604
