xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1304.129982
pentane H C x x 12 5 x x 1598.529309
hexane H C x x 14 6 x x 1892.931228
heptane H C x x 16 7 x x 2187.34079
octane H C x x 18 8 x x 2481.743568
isobutane H C x x 10 4 x x 1304.950413
isopentane H C x x 12 5 x x 1598.500876
isohexane H C x x 14 6 x x 1892.82018
isoheptane H C x x 16 7 x x 2187.233584
isooctane H C x x 18 8 x x 2479.227765
neopentane H C x x 12 5 x x 1600.200867
neohexane H C x x 14 6 x x 1892.746345
neoheptane H C x x 16 7 x x 2186.970086
3methylpentane H C x x 14 6 x x 1891.890262
diisopropyl H C x x 14 6 x x 1891.81908
hexamethylethane H C x x 18 8 x x 2476.395252
h2 H x x x 2 x x x 109.235413
alh3 H Al x x 3 1 x x 214.5222948
alh Al H x x 1 1 x x 72.81265858
sih4 H Si x x 4 1 x x 325.746191
bh3 H B x x 3 1 x x 285.6964836
bh B H x x 1 1 x x 83.35031819
ch2-trip H C x x 2 1 x x 192.5968286
sih H Si x x 1 1 x x 74.65043618
si2h6 H Si x x 6 2 x x 534.7437861
ch3 H C x x 3 1 x x 310.7130204
ch4 H C x x 4 1 x x 422.1286326
b2h6 H B x x 6 2 x x 613.3958695
sih3f H F Si x 3 1 1 x 382.3840976
ph3 H P x x 3 1 x x 244.7924863
c2h6 H C x x 6 2 x x 715.1531321
propane H C x x 8 3 x x 1009.672091
ch2-sing H C x x 2 1 x x 185.1778124
ch C H x x 1 1 x x 84.64100784
h2s H S x x 2 1 x x 182.1891647
hs S H x x 1 1 x x 88.14045921
c2h5f H C F x 5 2 1 x 724.1328852
ch3nh2 H C N x 5 1 1 x 586.9036249
ch3f H F C x 3 1 1 x 425.1169367
propene H C x x 6 3 x x 862.680951
nh3 H N x x 3 1 x x 301.3128552
ethanol H C O x 6 2 1 x 812.7335536
ch3nh H C N x 4 1 1 x 481.5927387
c2h4 H C x x 4 2 x x 564.8110002
methanol H C O x 4 1 1 x 514.8608715
hcl Cl H x x 1 1 x x 105.2258427
nh2 H N x x 2 1 x x 187.3636754
nh N H x x 1 1 x x 87.18853953
ch2nh2 H C N x 4 1 1 x 489.6565761
bhf2 F B H x 2 1 1 x 413.8925726
h2o H O x x 2 1 x x 232.0613555
hf F H x x 1 1 x x 140.1861389
ch2ch H C x x 3 2 x x 448.1728502
oh O H x x 1 1 x x 108.4428261
propyne H C x x 4 3 x x 705.1520341
acetaldehyde H C O x 4 2 1 x 679.1526792
allene H C x x 4 3 x x 705.7875308
sif4 F Si x x 4 1 x x 569.7322807
bf3 F B x x 3 1 x x 472.2155943
c2h3f H C F x 3 2 1 x 575.6731096
oxirane H C O x 4 2 1 x 652.3991963
ch2f2 H F C x 2 2 1 x 439.7591636
alf3 F Al x x 3 1 x x 425.0117317
bef2 F Be x x 2 1 x x 312.6158971
ch2c C H x x 2 2 x x 359.98234
n2h4 H N x x 4 2 x x 445.6592638
ch2nh H C N x 3 1 1 x 442.2185773
alf Al F x x 1 1 x x 162.3715999
acetic H C O x 4 2 2 x 804.9782457
c2h2 C H x x 2 2 x x 403.6195178
h2co H O C x 2 1 1 x 374.7021025
h2cn H C N x 2 1 1 x 348.6083287
bf F B x x 1 1 x x 182.5045741
becl2 Cl Be x x 2 1 x x 224.4291733
t-hcoh H C O x 2 1 1 x 322.8577119
alcl3 Cl Al x x 3 1 x x 298.7778654
c-hcoh H C O x 2 1 1 x 317.7929846
alcl Al Cl x x 1 1 x x 117.7866101
ketene C H O x 2 2 1 x 535.1874786
sif F Si x x 1 1 x x 143.8097733
formic H O C x 2 2 1 x 502.3817667
hcnh H C N x 2 1 1 x 340.856472
glyoxal C H O x 2 2 2 x 634.2389739
hcof C O H F 1 1 1 1 404.5105112
nh2cl H N Cl x 2 1 1 x 248.6572707
cf4 F C x x 4 1 x x 479.3020952
hccf C H F x 2 1 1 x 398.3183134
hcn H C N x 1 1 1 x 312.737788
hnc H N C x 1 1 1 x 299.7049544
cch C H x x 2 1 x x 262.4292253
hco O C H x 1 1 1 x 281.2089286
co C O x x 1 1 x x 256.6564895
oxirene C H O x 2 2 1 x 454.0780062
f2co F O C x 2 1 1 x 421.5576765
hocn C N O H 1 1 1 1 410.4364079
hooh H O x x 2 2 x x 268.6358318
t-n2h2 H N x x 2 2 x x 300.5701727
hnco C O N H 1 1 1 1 438.2441793
c-n2h2 H N x x 2 2 x x 294.8395758
cf2 F C x x 2 1 x x 259.5506746
co2 O C x x 2 1 x x 389.0763777
fccf F C x x 2 2 x x 387.5675432
dioxirane H O C x 2 2 1 x 407.4270858
cf C F x x 1 1 x x 135.4140306
ssh S H x x 2 1 x x 161.7740912
hocl O H Cl x 1 1 1 x 163.6566804
nccn N C x x 2 2 x x 500.7077143
n2 N x x x 2 x x x 228.7299782
n2h N H x x 2 1 x x 231.568422
ocs O C S x 1 1 1 x 331.7292192
sio Si O x x 1 1 x x 188.7948499
clcn Cl C N x 1 1 1 x 282.0257119
hoo O H x x 2 1 x x 178.7084808
hcno C H N O 1 1 1 1 367.107992
honc H O N C 1 1 1 1 351.7698019
hno N H O x 1 1 1 x 206.2804184
hof H O F x 1 1 1 x 158.0964622
c-hono O N H x 2 1 1 x 313.5238197
t-hono O N H x 2 1 1 x 313.8922361
cs2 S C x x 2 1 x x 271.4384151
hnnn N H x x 3 1 x x 337.7475986
cs C S x x 1 1 x x 163.6863805
cn C N x x 1 1 x x 176.1351675
so3 O S x x 3 1 x x 336.6761851
ccl2 Cl C x x 2 1 x x 169.2436853
bn3pi B N x x 1 1 x x 109.8542808
so2 O S x x 2 1 x x 253.1083742
no N O x x 1 1 x x 155.1711515
so S O x x 1 1 x x 126.7260361
n2o N O x x 2 1 x x 272.6631347
c-hooo O H x x 3 1 x x 234.1169446
s2 S x x x 2 x x x 100.6778265
p4 P x x x 4 x x x 273.9911968
cl2 Cl x x x 2 x x x 54.71511135
o2 O x x x 2 x x x 124.4346958
f2 F x x x 2 x x x 36.80996668
t-hooo O H x x 3 1 x x 233.1175945
s2o S O x x 2 1 x x 197.0355834
p2 P x x x 2 x x x 111.1401234
clf Cl F x x 1 1 x x 61.3984019
no2 O N x x 2 1 x x 231.2030499
clo Cl O x x 1 1 x x 65.38537864
s3 S x x x 3 x x x 151.7466113
cl2o Cl O x x 2 1 x x 96.20114366
s4-c2v S x x x 4 x x x 212.8495955
of O F x x 1 1 x x 55.68482136
c2 C x x x 2 x x x 133.7002846
oclo O Cl x x 2 1 x x 124.6514036
f2o F O x x 2 1 x x 94.02805328
b2 B x x x 2 x x x 62.58841293
fo2 O F x x 2 1 x x 133.7815585
cloo O Cl x x 2 1 x x 124.1018781
foof F O x x 2 2 x x 150.5822298
o3 O x x x 3 x x x 136.7686137
bn B N x x 1 1 x x 106.193181
be2 Be x x x 2 x x x 2.425221745
C4H4 C H x x 4 4 x x 794.0067654
C6H6 C H x x 6 6 x x 1249.214314
C8H8 C H x x 8 8 x x 1696.393988
C10H10 C H x x 10 10 x x 2181.153083
C12H12 C H x x 12 12 x x 2697.709001
C20H20 C H x x 20 20 x x 4581.181139
