xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.4387
pentane H C x x 12 5 x x 1596.339467
hexane H C x x 14 6 x x 1891.237592
heptane H C x x 16 7 x x 2186.149565
octane H C x x 18 8 x x 2481.059285
isobutane H C x x 10 4 x x 1302.221404
isopentane H C x x 12 5 x x 1596.356601
isohexane H C x x 14 6 x x 1891.179176
isoheptane H C x x 16 7 x x 2186.093014
isooctane H C x x 18 8 x x 2478.507881
neopentane H C x x 12 5 x x 1597.769162
neohexane H C x x 14 6 x x 1890.948299
neoheptane H C x x 16 7 x x 2185.678676
3methylpentane H C x x 14 6 x x 1890.332253
diisopropyl H C x x 14 6 x x 1890.124975
hexamethylethane H C x x 18 8 x x 2475.164211
h2 H x x x 2 x x x 105.9131217
alh3 H Al x x 3 1 x x 203.1129745
alh Al H x x 1 1 x x 69.07777971
sih4 H Si x x 4 1 x x 311.985443
bh3 H B x x 3 1 x x 278.5571084
bh B H x x 1 1 x x 81.60543076
ch2-trip H C x x 2 1 x x 195.6683875
sih H Si x x 1 1 x x 70.48347591
si2h6 H Si x x 6 2 x x 517.814951
ch3 H C x x 3 1 x x 307.7110566
ch4 H C x x 4 1 x x 418.0272682
b2h6 H B x x 6 2 x x 605.6659478
sih3f H F Si x 3 1 1 x 369.5475337
ph3 H P x x 3 1 x x 234.0781839
c2h6 H C x x 6 2 x x 711.4792999
propane H C x x 8 3 x x 1006.479666
ch2-sing H C x x 2 1 x x 182.2475898
ch C H x x 1 1 x x 81.55714252
h2s H S x x 2 1 x x 181.1477726
hs S H x x 1 1 x x 86.36580957
c2h5f H C F x 5 2 1 x 721.8663137
ch3nh2 H C N x 5 1 1 x 574.6031891
ch3f H F C x 3 1 1 x 422.6197991
propene H C x x 6 3 x x 864.0598497
nh3 H N x x 3 1 x x 289.8649991
ethanol H C O x 6 2 1 x 806.0222778
ch3nh H C N x 4 1 1 x 471.0041851
c2h4 H C x x 4 2 x x 565.200664
methanol H C O x 4 1 1 x 507.9441422
hcl Cl H x x 1 1 x x 107.5554065
nh2 H N x x 2 1 x x 176.3919339
nh N H x x 1 1 x x 80.19887386
ch2nh2 H C N x 4 1 1 x 479.3543587
bhf2 F B H x 2 1 1 x 409.4163737
h2o H O x x 2 1 x x 227.0666145
hf F H x x 1 1 x x 140.2685667
ch2ch H C x x 3 2 x x 451.9091549
oh O H x x 1 1 x x 103.6494947
propyne H C x x 4 3 x x 710.4620506
acetaldehyde H C O x 4 2 1 x 679.6413708
allene H C x x 4 3 x x 712.9773044
sif4 F Si x x 4 1 x x 559.4246649
bf3 F B x x 3 1 x x 468.7646466
c2h3f H C F x 3 2 1 x 578.7814548
oxirane H C O x 4 2 1 x 655.6326216
ch2f2 H F C x 2 2 1 x 439.5272834
alf3 F Al x x 3 1 x x 421.2647533
bef2 F Be x x 2 1 x x 309.3230289
ch2c C H x x 2 2 x x 360.8778932
n2h4 H N x x 4 2 x x 425.9957186
ch2nh H C N x 3 1 1 x 435.380409
alf Al F x x 1 1 x x 160.757436
acetic H C O x 4 2 2 x 803.800604
c2h2 C H x x 2 2 x x 407.4827001
h2co H O C x 2 1 1 x 374.3362779
h2cn H C N x 2 1 1 x 342.6352998
bf F B x x 1 1 x x 181.7774151
becl2 Cl Be x x 2 1 x x 227.5406456
t-hcoh H C O x 2 1 1 x 318.4594291
alcl3 Cl Al x x 3 1 x x 304.4980907
c-hcoh H C O x 2 1 1 x 313.9059686
alcl Al Cl x x 1 1 x x 119.5050802
ketene C H O x 2 2 1 x 542.9990396
sif F Si x x 1 1 x x 140.5293794
formic H O C x 2 2 1 x 501.4366512
hcnh H C N x 2 1 1 x 336.7305444
glyoxal C H O x 2 2 2 x 638.5139423
hcof C O H F 1 1 1 1 408.307714
nh2cl H N Cl x 2 1 1 x 243.2054421
cf4 F C x x 4 1 x x 483.4244006
hccf C H F x 2 1 1 x 406.9152523
hcn H C N x 1 1 1 x 309.0193089
hnc H N C x 1 1 1 x 293.2973562
cch C H x x 2 1 x x 272.8062704
hco O C H x 1 1 1 x 282.5705731
co C O x x 1 1 x x 256.0045485
oxirene C H O x 2 2 1 x 463.4538066
f2co F O C x 2 1 1 x 428.7120396
hocn C N O H 1 1 1 1 408.2016823
hooh H O x x 2 2 x x 262.1509408
t-n2h2 H N x x 2 2 x x 288.3310037
hnco C O N H 1 1 1 1 440.5281678
c-n2h2 H N x x 2 2 x x 283.2256555
cf2 F C x x 2 1 x x 263.1747497
co2 O C x x 2 1 x x 398.0884826
fccf F C x x 2 2 x x 400.3328014
dioxirane H O C x 2 2 1 x 409.3915783
cf C F x x 1 1 x x 136.0148758
ssh S H x x 2 1 x x 169.4393156
hocl O H Cl x 1 1 1 x 164.0465877
nccn N C x x 2 2 x x 503.3821393
n2 N x x x 2 x x x 218.3812045
n2h N H x x 2 1 x x 220.7884159
ocs O C S x 1 1 1 x 346.4088399
sio Si O x x 1 1 x x 182.8188922
clcn Cl C N x 1 1 1 x 290.3633842
hoo O H x x 2 1 x x 176.6655791
hcno C H N O 1 1 1 1 377.056516
honc H O N C 1 1 1 1 348.8134287
hno N H O x 1 1 1 x 201.9109563
hof H O F x 1 1 1 x 157.2939436
c-hono O N H x 2 1 1 x 313.8943883
t-hono O N H x 2 1 1 x 314.7400521
cs2 S C x x 2 1 x x 294.0631374
hnnn N H x x 3 1 x x 335.596801
cs C S x x 1 1 x x 172.8664468
cn C N x x 1 1 x x 181.3839035
so3 O S x x 3 1 x x 347.927575
ccl2 Cl C x x 2 1 x x 189.2063863
bn3pi B N x x 1 1 x x 108.3563279
so2 O S x x 2 1 x x 258.4075502
no N O x x 1 1 x x 151.6068274
so S O x x 1 1 x x 129.8613373
n2o N O x x 2 1 x x 280.1491126
c-hooo O H x x 3 1 x x 240.6876388
s2 S x x x 2 x x x 112.4477394
p4 P x x x 4 x x x 308.2777331
cl2 Cl x x x 2 x x x 63.05103966
o2 O x x x 2 x x x 131.6189838
f2 F x x x 2 x x x 42.34823771
t-hooo O H x x 3 1 x x 242.7228401
s2o S O x x 2 1 x x 214.5939149
p2 P x x x 2 x x x 110.9909401
clf Cl F x x 1 1 x x 66.05837693
no2 O N x x 2 1 x x 242.4397639
clo Cl O x x 1 1 x x 70.85766503
s3 S x x x 3 x x x 179.1215187
cl2o Cl O x x 2 1 x x 103.7267314
s4-c2v S x x x 4 x x x 248.7598813
of O F x x 1 1 x x 57.84899174
c2 C x x x 2 x x x 144.379857
oclo O Cl x x 2 1 x x 143.7679028
f2o F O x x 2 1 x x 100.9693037
b2 B x x x 2 x x x 83.51758342
fo2 O F x x 2 1 x x 153.3801374
cloo O Cl x x 2 1 x x 141.6378985
foof F O x x 2 2 x x 174.8433167
o3 O x x x 3 x x x 155.6093692
bn B N x x 1 1 x x 102.6269462
be2 Be x x x 2 x x x 8.887763057
