xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1296.229651
pentane H C x x 12 5 x x 1589.613468
hexane H C x x 14 6 x x 1883.01315
heptane H C x x 16 7 x x 2176.410926
octane H C x x 18 8 x x 2469.8128
isobutane H C x x 10 4 x x 1297.110939
isopentane H C x x 12 5 x x 1589.718397
isohexane H C x x 14 6 x x 1883.072462
isoheptane H C x x 16 7 x x 2176.499592
isooctane H C x x 18 8 x x 2468.109723
neopentane H C x x 12 5 x x 1591.415155
neohexane H C x x 14 6 x x 1883.102691
neoheptane H C x x 16 7 x x 2176.4126
3methylpentane H C x x 14 6 x x 1882.171611
diisopropyl H C x x 14 6 x x 1881.982044
hexamethylethane H C x x 18 8 x x 2464.71983
h2 H x x x 2 x x x 107.3419081
alh3 H Al x x 3 1 x x 207.1757478
alh Al H x x 1 1 x x 70.85253584
sih4 H Si x x 4 1 x x 314.4101877
bh3 H B x x 3 1 x x 279.2432535
bh B H x x 1 1 x x 83.08863208
ch2-trip H C x x 2 1 x x 193.0472494
sih H Si x x 1 1 x x 71.53881969
si2h6 H Si x x 6 2 x x 517.7767685
ch3 H C x x 3 1 x x 307.6849594
ch4 H C x x 4 1 x x 417.6447687
b2h6 H B x x 6 2 x x 602.0225398
sih3f H F Si x 3 1 1 x 373.5097215
ph3 H P x x 3 1 x x 233.624855
c2h6 H C x x 6 2 x x 709.3757082
propane H C x x 8 3 x x 1002.7798
ch2-sing H C x x 2 1 x x 183.4085744
ch C H x x 1 1 x x 83.8325463
h2s H S x x 2 1 x x 177.9061734
hs S H x x 1 1 x x 85.27605613
c2h5f H C F x 5 2 1 x 722.4615274
ch3nh2 H C N x 5 1 1 x 578.7972764
ch3f H F C x 3 1 1 x 424.9987738
propene H C x x 6 3 x x 861.1846568
nh3 H N x x 3 1 x x 294.9956519
ethanol H C O x 6 2 1 x 807.9821435
ch3nh H C N x 4 1 1 x 475.4673482
c2h4 H C x x 4 2 x x 564.2603454
methanol H C O x 4 1 1 x 511.6084281
hcl Cl H x x 1 1 x x 105.0671552
nh2 H N x x 2 1 x x 181.832022
nh N H x x 1 1 x x 84.15132169
ch2nh2 H C N x 4 1 1 x 483.9061055
bhf2 F B H x 2 1 1 x 414.3512463
h2o H O x x 2 1 x x 230.9045528
hf F H x x 1 1 x x 142.6761612
ch2ch H C x x 3 2 x x 450.7335432
oh O H x x 1 1 x x 106.386414
propyne H C x x 4 3 x x 708.146007
acetaldehyde H C O x 4 2 1 x 681.2836469
allene H C x x 4 3 x x 710.9770637
sif4 F Si x x 4 1 x x 567.4631734
bf3 F B x x 3 1 x x 475.3540771
c2h3f H C F x 3 2 1 x 580.257118
oxirane H C O x 4 2 1 x 655.3673079
ch2f2 H F C x 2 2 1 x 444.1468227
alf3 F Al x x 3 1 x x 426.8955724
bef2 F Be x x 2 1 x x 313.6721115
ch2c C H x x 2 2 x x 362.9683063
n2h4 H N x x 4 2 x x 435.8370846
ch2nh H C N x 3 1 1 x 440.1518227
alf Al F x x 1 1 x x 162.6637674
acetic H C O x 4 2 2 x 808.5001627
c2h2 C H x x 2 2 x x 407.4703966
h2co H O C x 2 1 1 x 377.9083366
h2cn H C N x 2 1 1 x 347.8612253
bf F B x x 1 1 x x 185.3314341
becl2 Cl Be x x 2 1 x x 223.3699504
t-hcoh H C O x 2 1 1 x 324.4623401
alcl3 Cl Al x x 3 1 x x 298.114004
c-hcoh H C O x 2 1 1 x 320.0312374
alcl Al Cl x x 1 1 x x 117.7587728
ketene C H O x 2 2 1 x 544.485246
sif F Si x x 1 1 x x 143.3481813
