xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1301.867803
pentane H C x x 12 5 x x 1596.781973
hexane H C x x 14 6 x x 1891.711974
heptane H C x x 16 7 x x 2186.641404
octane H C x x 18 8 x x 2481.573548
isobutane H C x x 10 4 x x 1302.86016
isopentane H C x x 12 5 x x 1597.098414
isohexane H C x x 14 6 x x 1891.985657
isoheptane H C x x 16 7 x x 2186.945017
isooctane H C x x 18 8 x x 2480.66556
neopentane H C x x 12 5 x x 1598.941953
neohexane H C x x 14 6 x x 1892.359066
neoheptane H C x x 16 7 x x 2187.203355
3methylpentane H C x x 14 6 x x 1891.202918
diisopropyl H C x x 14 6 x x 1891.242859
hexamethylethane H C x x 18 8 x x 2478.059731
h2 H x x x 2 x x x 107.4352322
alh3 H Al x x 3 1 x x 208.2333364
alh Al H x x 1 1 x x 71.42063491
sih4 H Si x x 4 1 x x 315.9722968
bh3 H B x x 3 1 x x 280.0465255
bh B H x x 1 1 x x 83.42030407
ch2-trip H C x x 2 1 x x 193.5662857
sih H Si x x 1 1 x x 72.05853309
si2h6 H Si x x 6 2 x x 522.1219287
ch3 H C x x 3 1 x x 308.5397886
ch4 H C x x 4 1 x x 418.8272841
b2h6 H B x x 6 2 x x 604.895816
sih3f H F Si x 3 1 1 x 374.8956936
ph3 H P x x 3 1 x x 235.0663322
c2h6 H C x x 6 2 x x 711.9634374
propane H C x x 8 3 x x 1006.895856
ch2-sing H C x x 2 1 x x 183.949346
ch C H x x 1 1 x x 84.11
h2s H S x x 2 1 x x 178.7912626
hs S H x x 1 1 x x 85.69455456
c2h5f H C F x 5 2 1 x 724.8320014
ch3nh2 H C N x 5 1 1 x 580.9829097
ch3f H F C x 3 1 1 x 425.9892101
propene H C x x 6 3 x x 864.9596847
nh3 H N x x 3 1 x x 295.7802973
ethanol H C O x 6 2 1 x 810.868518
ch3nh H C N x 4 1 1 x 477.4081427
c2h4 H C x x 4 2 x x 566.3812044
methanol H C O x 4 1 1 x 513.1028769
hcl Cl H x x 1 1 x x 105.4311775
nh2 H N x x 2 1 x x 182.316265
nh N H x x 1 1 x x 84.36378108
ch2nh2 H C N x 4 1 1 x 485.8344551
bhf2 F B H x 2 1 1 x 415.0480582
h2o H O x x 2 1 x x 231.2786682
hf F H x x 1 1 x x 142.7945889
ch2ch H C x x 3 2 x x 452.4729674
oh O H x x 1 1 x x 106.5477099
propyne H C x x 4 3 x x 711.1110893
