xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 107.7545474
alh3 H Al x x 3 1 x x 207.3249386
alh Al H x x 1 1 x x 71.0632475
sih4 H Si x x 4 1 x x 314.5700391
bh3 H B x x 3 1 x x 279.1999629
bh B H x x 1 1 x x 83.10854907
ch2-trip H C x x 2 1 x x 193.0401899
sih H Si x x 1 1 x x 71.82219156
si2h6 H Si x x 6 2 x x 517.2871848
ch3 H C x x 3 1 x x 307.7732542
ch4 H C x x 4 1 x x 417.967147
b2h6 H B x x 6 2 x x 600.9173872
sih3f H F Si x 3 1 1 x 373.1061918
ph3 H P x x 3 1 x x 234.4484411
c2h6 H C x x 6 2 x x 708.8320458
propane H C x x 8 3 x x 1000.781856
ch2-sing H C x x 2 1 x x 183.4403296
ch C H x x 1 1 x x 83.88281352
h2s H S x x 2 1 x x 178.5188427
hs S H x x 1 1 x x 85.62207269
c2h5f H C F x 5 2 1 x 721.2036705
ch3nh2 H C N x 5 1 1 x 578.6874234
ch3f H F C x 3 1 1 x 424.798709
propene H C x x 6 3 x x 859.996258
nh3 H N x x 3 1 x x 295.5317469
ethanol H C O x 6 2 1 x 806.7405323
ch3nh H C N x 4 1 1 x 475.3513961
c2h4 H C x x 4 2 x x 564.0721064
methanol H C O x 4 1 1 x 511.591958
hcl Cl H x x 1 1 x x 105.3616134
nh2 H N x x 2 1 x x 182.1265343
nh N H x x 1 1 x x 84.24091349
ch2nh2 H C N x 4 1 1 x 483.8035697
bhf2 F B H x 2 1 1 x 413.4823396
h2o H O x x 2 1 x x 231.4470949
hf F H x x 1 1 x x 142.9382102
ch2ch H C x x 3 2 x x 450.4881224
oh O H x x 1 1 x x 106.6693375
propyne H C x x 4 3 x x 707.725377
acetaldehyde H C O x 4 2 1 x 680.6998824
allene H C x x 4 3 x x 710.5273357
sif4 F Si x x 4 1 x x 566.0945936
bf3 F B x x 3 1 x x 474.4306188
c2h3f H C F x 3 2 1 x 579.6040665
oxirane H C O x 4 2 1 x 655.1879676
ch2f2 H F C x 2 2 1 x 443.5492776
alf3 F Al x x 3 1 x x 426.0293864
bef2 F Be x x 2 1 x x 312.9036409
ch2c C H x x 2 2 x x 362.9411704
n2h4 H N x x 4 2 x x 436.1391507
ch2nh H C N x 3 1 1 x 440.3966822
alf Al F x x 1 1 x x 162.4653595
acetic H C O x 4 2 2 x 807.4462201
c2h2 C H x x 2 2 x x 407.5121682
h2co H O C x 2 1 1 x 378.2188242
h2cn H C N x 2 1 1 x 348.0033536
bf F B x x 1 1 x x 185.032526
becl2 Cl Be x x 2 1 x x 222.529562
t-hcoh H C O x 2 1 1 x 324.6781898
alcl3 Cl Al x x 3 1 x x 296.6498533
c-hcoh H C O x 2 1 1 x 320.2558412
alcl Al Cl x x 1 1 x x 117.7539493
ketene C H O x 2 2 1 x 544.5423943
sif F Si x x 1 1 x x 143.3466858
formic H O C x 2 2 1 x 507.9672046
hcnh H C N x 2 1 1 x 342.2212734
glyoxal C H O x 2 2 2 x 643.5521021
hcof C O H F 1 1 1 1 413.4117419
nh2cl H N Cl x 2 1 1 x 246.4432269
cf4 F C x x 4 1 x x 490.3710953
hccf C H F x 2 1 1 x 408.2762332
hcn H C N x 1 1 1 x 314.8842355
hnc H N C x 1 1 1 x 300.3710177
cch C H x x 2 1 x x 269.7114741
hco O C H x 1 1 1 x 286.9697844
co C O x x 1 1 x x 261.9213351
oxirene C H O x 2 2 1 x 464.5301397
f2co F O C x 2 1 1 x 434.9616953
