xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1289.503718
pentane H C x x 12 5 x x 1580.47427
hexane H C x x 14 6 x x 1871.447042
heptane H C x x 16 7 x x 2162.416954
octane H C x x 18 8 x x 2453.394586
isobutane H C x x 10 4 x x 1289.845322
isopentane H C x x 12 5 x x 1579.619907
isohexane H C x x 14 6 x x 1870.483234
isoheptane H C x x 16 7 x x 2161.453802
isooctane H C x x 18 8 x x 2447.440953
neopentane H C x x 12 5 x x 1580.457599
neohexane H C x x 14 6 x x 1868.84144
neoheptane H C x x 16 7 x x 2159.579722
3methylpentane H C x x 14 6 x x 1869.208718
diisopropyl H C x x 14 6 x x 1868.173873
hexamethylethane H C x x 18 8 x x 2441.276642
h2 H x x x 2 x x x 108.1320735
alh3 H Al x x 3 1 x x 207.0438929
alh Al H x x 1 1 x x 70.5162491
sih4 H Si x x 4 1 x x 313.841255
bh3 H B x x 3 1 x x 278.7525836
bh B H x x 1 1 x x 82.38910208
ch2-trip H C x x 2 1 x x 194.6089328
sih H Si x x 1 1 x x 71.35833522
si2h6 H Si x x 6 2 x x 516.4931379
ch3 H C x x 3 1 x x 307.4215861
ch4 H C x x 4 1 x x 417.363802
b2h6 H B x x 6 2 x x 601.1911847
sih3f H F Si x 3 1 1 x 371.851125
ph3 H P x x 3 1 x x 233.9951945
c2h6 H C x x 6 2 x x 707.322872
propane H C x x 8 3 x x 998.4253593
ch2-sing H C x x 2 1 x x 182.3259684
ch C H x x 1 1 x x 82.27515433
h2s H S x x 2 1 x x 179.5784794
hs S H x x 1 1 x x 85.99278265
c2h5f H C F x 5 2 1 x 719.1922437
ch3nh2 H C N x 5 1 1 x 574.0462094
ch3f H F C x 3 1 1 x 423.5598496
propene H C x x 6 3 x x 856.9099634
nh3 H N x x 3 1 x x 292.0840398
ethanol H C O x 6 2 1 x 803.8757451
ch3nh H C N x 4 1 1 x 470.6143877
c2h4 H C x x 4 2 x x 561.8002305
methanol H C O x 4 1 1 x 509.5318037
hcl Cl H x x 1 1 x x 106.3858223
nh2 H N x x 2 1 x x 178.5491568
nh N H x x 1 1 x x 81.76300015
ch2nh2 H C N x 4 1 1 x 479.2203231
bhf2 F B H x 2 1 1 x 411.9000649
h2o H O x x 2 1 x x 230.8399614
hf F H x x 1 1 x x 143.2987107
ch2ch H C x x 3 2 x x 448.753309
oh O H x x 1 1 x x 105.8402398
propyne H C x x 4 3 x x 704.1503214
acetaldehyde H C O x 4 2 1 x 677.4260524
allene H C x x 4 3 x x 706.861879
sif4 F Si x x 4 1 x x 563.3775083
