xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1283.127473
pentane H C x x 12 5 x x 1571.909196
hexane H C x x 14 6 x x 1860.694258
heptane H C x x 16 7 x x 2149.473909
octane H C x x 18 8 x x 2438.261624
isobutane H C x x 10 4 x x 1283.167098
isopentane H C x x 12 5 x x 1570.656627
isohexane H C x x 14 6 x x 1859.332444
isoheptane H C x x 16 7 x x 2148.113183
isooctane H C x x 18 8 x x 2430.957348
neopentane H C x x 12 5 x x 1571.141932
neohexane H C x x 14 6 x x 1857.195735
neoheptane H C x x 16 7 x x 2145.745105
3methylpentane H C x x 14 6 x x 1857.981278
diisopropyl H C x x 14 6 x x 1856.669832
hexamethylethane H C x x 18 8 x x 2424.543703
h2 H x x x 2 x x x 109.5494801
alh3 H Al x x 3 1 x x 207.2061831
alh Al H x x 1 1 x x 71.05618927
sih4 H Si x x 4 1 x x 314.8781241
bh3 H B x x 3 1 x x 278.5155094
bh B H x x 1 1 x x 82.7414525
ch2-trip H C x x 2 1 x x 192.4862401
sih H Si x x 1 1 x x 72.1757456
si2h6 H Si x x 6 2 x x 516.4629621
ch3 H C x x 3 1 x x 306.8058588
ch4 H C x x 4 1 x x 417.2050653
b2h6 H B x x 6 2 x x 597.2959484
sih3f H F Si x 3 1 1 x 370.8446898
ph3 H P x x 3 1 x x 236.0962281
c2h6 H C x x 6 2 x x 705.339842
propane H C x x 8 3 x x 994.2215356
ch2-sing H C x x 2 1 x x 182.6286367
ch C H x x 1 1 x x 83.32137055
h2s H S x x 2 1 x x 179.9104675
hs S H x x 1 1 x x 86.34847305
c2h5f H C F x 5 2 1 x 715.3553061
ch3nh2 H C N x 5 1 1 x 574.9808115
ch3f H F C x 3 1 1 x 421.9440985
propene H C x x 6 3 x x 853.494225
nh3 H N x x 3 1 x x 294.5885434
ethanol H C O x 6 2 1 x 800.8549922
ch3nh H C N x 4 1 1 x 471.4816462
c2h4 H C x x 4 2 x x 560.4673027
methanol H C O x 4 1 1 x 508.7596581
hcl Cl H x x 1 1 x x 106.1399887
nh2 H N x x 2 1 x x 181.0860057
nh N H x x 1 1 x x 83.43034115
ch2nh2 H C N x 4 1 1 x 479.81529
bhf2 F B H x 2 1 1 x 407.9917207
h2o H O x x 2 1 x x 231.4452936
hf F H x x 1 1 x x 142.9835295
ch2ch H C x x 3 2 x x 446.7698672
oh O H x x 1 1 x x 106.5527563
propyne H C x x 4 3 x x 701.5091741
acetaldehyde H C O x 4 2 1 x 675.4021674
allene H C x x 4 3 x x 704.2517255
sif4 F Si x x 4 1 x x 556.1814329
bf3 F B x x 3 1 x x 466.7166296
c2h3f H C F x 3 2 1 x 573.8669539
oxirane H C O x 4 2 1 x 650.0674743
ch2f2 H F C x 2 2 1 x 438.5339648
alf3 F Al x x 3 1 x x 418.6430031
bef2 F Be x x 2 1 x x 307.4379983
ch2c C H x x 2 2 x x 359.4303838
n2h4 H N x x 4 2 x x 432.2821421
ch2nh H C N x 3 1 1 x 436.8696919
alf Al F x x 1 1 x x 159.5415424
acetic H C O x 4 2 2 x 799.8393091
c2h2 C H x x 2 2 x x 403.9196256
h2co H O C x 2 1 1 x 375.8390085
h2cn H C N x 2 1 1 x 344.2976515
bf F B x x 1 1 x x 182.1515873
becl2 Cl Be x x 2 1 x x 219.3975113
t-hcoh H C O x 2 1 1 x 322.0319756
alcl3 Cl Al x x 3 1 x x 292.7383185
c-hcoh H C O x 2 1 1 x 317.6287458
alcl Al Cl x x 1 1 x x 116.1962692
ketene C H O x 2 2 1 x 539.5080875
sif F Si x x 1 1 x x 140.9130183
formic H O C x 2 2 1 x 503.3613113
hcnh H C N x 2 1 1 x 338.5437019
glyoxal C H O x 2 2 2 x 636.5372518
hcof C O H F 1 1 1 1 408.8941591
nh2cl H N Cl x 2 1 1 x 244.3635619
cf4 F C x x 4 1 x x 481.070589
hccf C H F x 2 1 1 x 402.8514491
hcn H C N x 1 1 1 x 311.5442026
hnc H N C x 1 1 1 x 296.9690618
cch C H x x 2 1 x x 266.5247831
