xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 83.82580636
alh3 H Al x x 3 1 x x 168.931851
alh Al H x x 1 1 x x 52.90607713
sih4 H Si x x 4 1 x x 257.5375887
bh3 H B x x 3 1 x x 231.9149551
bh B H x x 1 1 x x 65.83765415
ch2-trip H C x x 2 1 x x 155.0899405
sih H Si x x 1 1 x x 52.6293537
si2h6 H Si x x 6 2 x x 420.3118157
ch3 H C x x 3 1 x x 243.0830686
ch4 H C x x 4 1 x x 328.3711592
b2h6 H B x x 6 2 x x 486.7070598
sih3f H F Si x 3 1 1 x 297.4625833
ph3 H P x x 3 1 x x 172.8552922
c2h6 H C x x 6 2 x x 552.7748808
propane H C x x 8 3 x x 778.6809082
ch2-sing H C x x 2 1 x x 138.2849907
ch C H x x 1 1 x x 59.02457503
h2s H S x x 2 1 x x 129.7226318
hs S H x x 1 1 x x 61.12446469
c2h5f H C F x 5 2 1 x 543.6932207
ch3nh2 H C N x 5 1 1 x 417.8072182
ch3f H F C x 3 1 1 x 313.9791196
propene H C x x 6 3 x x 657.304597
nh3 H N x x 3 1 x x 200.9004082
ethanol H C O x 6 2 1 x 599.1479397
ch3nh H C N x 4 1 1 x 340.3012972
c2h4 H C x x 4 2 x x 429.0533822
methanol H C O x 4 1 1 x 370.2765801
hcl Cl H x x 1 1 x x 77.07685298
nh2 H N x x 2 1 x x 117.6582778
nh N H x x 1 1 x x 51.27867905
ch2nh2 H C N x 4 1 1 x 340.7504037
bhf2 F B H x 2 1 1 x 321.6855486
h2o H O x x 2 1 x x 155.8472785
hf F H x x 1 1 x x 96.97786195
ch2ch H C x x 3 2 x x 338.5138951
oh O H x x 1 1 x x 68.38388635
propyne H C x x 4 3 x x 525.3163061
acetaldehyde H C O x 4 2 1 x 492.2578922
allene H C x x 4 3 x x 523.6928839
sif4 F Si x x 4 1 x x 433.5846466
bf3 F B x x 3 1 x x 363.104974
c2h3f H C F x 3 2 1 x 419.6258275
oxirane H C O x 4 2 1 x 461.5409013
ch2f2 H F C x 2 2 1 x 310.5995369
alf3 F Al x x 3 1 x x 322.5508039
bef2 F Be x x 2 1 x x 240.0905996
ch2c C H x x 2 2 x x 259.2335998
n2h4 H N x x 4 2 x x 268.4108164
ch2nh H C N x 3 1 1 x 300.0913485
alf Al F x x 1 1 x x 119.62193
acetic H C O x 4 2 2 x 566.0645008
c2h2 C H x x 2 2 x x 293.6277869
h2co H O C x 2 1 1 x 257.6566282
h2cn H C N x 2 1 1 x 235.9860112
bf F B x x 1 1 x x 137.3850743
becl2 Cl Be x x 2 1 x x 186.6099458
t-hcoh H C O x 2 1 1 x 211.0569715
alcl3 Cl Al x x 3 1 x x 246.2872686
c-hcoh H C O x 2 1 1 x 206.3411631
alcl Al Cl x x 1 1 x x 92.56026737
ketene C H O x 2 2 1 x 371.6303326
sif F Si x x 1 1 x x 99.50686923
formic H O C x 2 2 1 x 332.1230469
hcnh H C N x 2 1 1 x 218.1625549
glyoxal C H O x 2 2 2 x 422.9020973
hcof C O H F 1 1 1 1 266.8794667
nh2cl H N Cl x 2 1 1 x 141.9809877
cf4 F C x x 4 1 x x 315.4056121
hccf C H F x 2 1 1 x 267.1712811
hcn H C N x 1 1 1 x 198.9057098
hnc H N C x 1 1 1 x 189.243249
cch C H x x 2 1 x x 185.7046941
hco O C H x 1 1 1 x 182.558914
co C O x x 1 1 x x 174.1663543
oxirene C H O x 2 2 1 x 283.6972292
f2co F O C x 2 1 1 x 266.3180085
hocn C N O H 1 1 1 1 243.5235653
hooh H O x x 2 2 x x 134.4630279
t-n2h2 H N x x 2 2 x x 150.6994408
hnco C O N H 1 1 1 1 268.4753723
c-n2h2 H N x x 2 2 x x 145.8989056
cf2 F C x x 2 1 x x 159.4657922
co2 O C x x 2 1 x x 246.593829
fccf F C x x 2 2 x x 235.3597842
dioxirane H O C x 2 2 1 x 229.5771863
cf C F x x 1 1 x x 80.67952912
ssh S H x x 2 1 x x 97.93495017
hocl O H Cl x 1 1 1 x 78.72422638
nccn N C x x 2 2 x x 292.0080189
n2 N x x x 2 x x x 114.972835
n2h N H x x 2 1 x x 105.9706892
ocs O C S x 1 1 1 x 207.0783619
sio Si O x x 1 1 x x 110.4682652
clcn Cl C N x 1 1 1 x 160.4490483
hoo O H x x 2 1 x x 71.76782143
hcno C H N O 1 1 1 1 183.7875191
honc H O N C 1 1 1 1 183.5927047
hno N H O x 1 1 1 x 82.41780342
hof H O F x 1 1 1 x 54.90069726
c-hono O N H x 2 1 1 x 125.6817325
t-hono O N H x 2 1 1 x 125.5597173
cs2 S C x x 2 1 x x 164.4140193
hnnn N H x x 3 1 x x 127.7860671
cs C S x x 1 1 x x 97.01063175
cn C N x x 1 1 x x 90.36372852
so3 O S x x 3 1 x x 142.3348727
ccl2 Cl C x x 2 1 x x 97.19976659
bn3pi B N x x 1 1 x x 52.05111784
so2 O S x x 2 1 x x 108.9047028
no N O x x 1 1 x x 53.33458586
so S O x x 1 1 x x 55.58686671
n2o N O x x 2 1 x x 86.34111418
c-hooo O H x x 3 1 x x 58.72511774
s2 S x x x 2 x x x 51.78358234
p4 P x x x 4 x x x 119.642336
cl2 Cl x x x 2 x x x 19.17883015
o2 O x x x 2 x x x 33.25779031
f2 F x x x 2 x x x -37.30003355
t-hooo O H x x 3 1 x x 62.91114291
s2o S O x x 2 1 x x 72.48629866
p2 P x x x 2 x x x 43.4638184
clf Cl F x x 1 1 x x 8.387020464
no2 O N x x 2 1 x x 54.66388806
clo Cl O x x 1 1 x x 6.16228951
s3 S x x x 3 x x x 67.25127198
cl2o Cl O x x 2 1 x x -0.377581611
s4-c2v S x x x 4 x x x 92.86273299
of O F x x 1 1 x x -15.52483608
c2 C x x x 2 x x x 76.86875357
oclo O Cl x x 2 1 x x -15.82535404
f2o F O x x 2 1 x x -40.5665117
