xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1043.147094
pentane H C x x 12 5 x x 1279.190732
hexane H C x x 14 6 x x 1515.231065
heptane H C x x 16 7 x x 1751.310293
octane H C x x 18 8 x x 1987.354792
isobutane H C x x 10 4 x x 1044.477205
isopentane H C x x 12 5 x x 1279.918287
isohexane H C x x 14 6 x x 1515.947869
isoheptane H C x x 16 7 x x 1752.039046
isooctane H C x x 18 8 x x 1988.277346
neopentane H C x x 12 5 x x 1282.634051
neohexane H C x x 14 6 x x 1517.387191
neoheptane H C x x 16 7 x x 1753.404812
3methylpentane H C x x 14 6 x x 1515.184584
diisopropyl H C x x 14 6 x x 1515.957721
hexamethylethane H C x x 18 8 x x 1987.954243
h2 H x x x 2 x x x 84.56149172
alh3 H Al x x 3 1 x x 175.8752147
alh Al H x x 1 1 x x 56.47514048
sih4 H Si x x 4 1 x x 268.6595413
bh3 H B x x 3 1 x x 237.6656425
bh B H x x 1 1 x x 68.18060624
ch2-trip H C x x 2 1 x x 158.8763246
sih H Si x x 1 1 x x 56.02967032
si2h6 H Si x x 6 2 x x 444.8596748
ch3 H C x x 3 1 x x 249.2843309
ch4 H C x x 4 1 x x 336.9427303
b2h6 H B x x 6 2 x x 506.5371376
sih3f H F Si x 3 1 1 x 308.5744982
ph3 H P x x 3 1 x x 182.7184479
c2h6 H C x x 6 2 x x 571.0794098
propane H C x x 8 3 x x 807.170892
ch2-sing H C x x 2 1 x x 142.2277938
ch C H x x 1 1 x x 61.04987612
h2s H S x x 2 1 x x 135.8340809
hs S H x x 1 1 x x 64.00681548
c2h5f H C F x 5 2 1 x 562.0354397
ch3nh2 H C N x 5 1 1 x 433.4566061
ch3f H F C x 3 1 1 x 322.4946955
propene H C x x 6 3 x x 682.303537
nh3 H N x x 3 1 x x 206.7483907
ethanol H C O x 6 2 1 x 620.7238563
ch3nh H C N x 4 1 1 x 353.8626788
c2h4 H C x x 4 2 x x 443.6090298
methanol H C O x 4 1 1 x 381.8822087
hcl Cl H x x 1 1 x x 79.63395223
nh2 H N x x 2 1 x x 121.2772306
nh N H x x 1 1 x x 52.86951653
ch2nh2 H C N x 4 1 1 x 354.3037926
bhf2 F B H x 2 1 1 x 327.9473809
h2o H O x x 2 1 x x 158.6721063
hf F H x x 1 1 x x 97.88646694
ch2ch H C x x 3 2 x x 350.2408008
oh O H x x 1 1 x x 69.60336326
propyne H C x x 4 3 x x 544.143842
acetaldehyde H C O x 4 2 1 x 509.9874122
allene H C x x 4 3 x x 543.4227977
sif4 F Si x x 4 1 x x 446.3991844
bf3 F B x x 3 1 x x 370.2444765
c2h3f H C F x 3 2 1 x 434.2624496
oxirane H C O x 4 2 1 x 478.8468346
ch2f2 H F C x 2 2 1 x 319.5313208
alf3 F Al x x 3 1 x x 330.2090337
bef2 F Be x x 2 1 x x 244.4159725
ch2c C H x x 2 2 x x 269.6703976
n2h4 H N x x 4 2 x x 281.2434704
ch2nh H C N x 3 1 1 x 311.6517852
alf Al F x x 1 1 x x 123.300363
acetic H C O x 4 2 2 x 587.6450356
c2h2 C H x x 2 2 x x 302.3148517
h2co H O C x 2 1 1 x 265.2671302
h2cn H C N x 2 1 1 x 244.966716
bf F B x x 1 1 x x 140.0204315
becl2 Cl Be x x 2 1 x x 198.4608575
t-hcoh H C O x 2 1 1 x 218.3934778
alcl3 Cl Al x x 3 1 x x 266.1698721
c-hcoh H C O x 2 1 1 x 213.8971599
alcl Al Cl x x 1 1 x x 102.2334223
ketene C H O x 2 2 1 x 384.6119132
sif F Si x x 1 1 x x 103.1845776
formic H O C x 2 2 1 x 343.4809106
hcnh H C N x 2 1 1 x 226.8840056
glyoxal C H O x 2 2 2 x 439.7775377
hcof C O H F 1 1 1 1 274.9020814
nh2cl H N Cl x 2 1 1 x 152.3976552
cf4 F C x x 4 1 x x 326.280411
hccf C H F x 2 1 1 x 276.1219669
hcn H C N x 1 1 1 x 204.917266
hnc H N C x 1 1 1 x 195.9254558
cch C H x x 2 1 x x 192.8328675
hco O C H x 1 1 1 x 187.6799453
co C O x x 1 1 x x 177.4511362
oxirene C H O x 2 2 1 x 296.2983947
f2co F O C x 2 1 1 x 275.1485725
hocn C N O H 1 1 1 1 252.8093688
hooh H O x x 2 2 x x 139.9962936
t-n2h2 H N x x 2 2 x x 159.1398553
hnco C O N H 1 1 1 1 278.3624303
c-n2h2 H N x x 2 2 x x 154.5751841
cf2 F C x x 2 1 x x 164.4100702
co2 O C x x 2 1 x x 253.0829254
fccf F C x x 2 2 x x 244.5587898
dioxirane H O C x 2 2 1 x 240.3798891
cf C F x x 1 1 x x 83.10313003
ssh S H x x 2 1 x x 110.87352
hocl O H Cl x 1 1 1 x 85.01638214
nccn N C x x 2 2 x x 305.5194789
n2 N x x x 2 x x x 118.4402366
n2h N H x x 2 1 x x 111.9076566
ocs O C S x 1 1 1 x 217.4862415
sio Si O x x 1 1 x x 115.5848587
clcn Cl C N x 1 1 1 x 170.783499
hoo O H x x 2 1 x x 75.66372295
hcno C H N O 1 1 1 1 193.3797033
honc H O N C 1 1 1 1 193.2308846
hno N H O x 1 1 1 x 87.35714785
hof H O F x 1 1 1 x 58.07578356
c-hono O N H x 2 1 1 x 134.4111596
t-hono O N H x 2 1 1 x 133.7097385
cs2 S C x x 2 1 x x 179.4658792
hnnn N H x x 3 1 x x 138.3177968
cs C S x x 1 1 x x 104.4235797
cn C N x x 1 1 x x 94.66476954
so3 O S x x 3 1 x x 157.857849
ccl2 Cl C x x 2 1 x x 111.1005542
bn3pi B N x x 1 1 x x 56.85587739
so2 O S x x 2 1 x x 118.5326492
no N O x x 1 1 x x 56.02653561
so S O x x 1 1 x x 60.13106739
n2o N O x x 2 1 x x 93.39710913
c-hooo O H x x 3 1 x x 65.61659819
s2 S x x x 2 x x x 61.42070755
p4 P x x x 4 x x x 174.4119724
cl2 Cl x x x 2 x x x 26.57067289
o2 O x x x 2 x x x 35.38523696
f2 F x x x 2 x x x -36.00303046
t-hooo O H x x 3 1 x x 69.19259026
s2o S O x x 2 1 x x 87.47404968
p2 P x x x 2 x x x 55.30404874
clf Cl F x x 1 1 x x 11.43255902
no2 O N x x 2 1 x x 60.93347885
clo Cl O x x 1 1 x x 10.22763059
s3 S x x x 3 x x x 88.00428359
cl2o Cl O x x 2 1 x x 9.960464003
s4-c2v S x x x 4 x x x 127.7207433
of O F x x 1 1 x x -13.89118783
c2 C x x x 2 x x x 82.30895407
oclo O Cl x x 2 1 x x -6.985954038
f2o F O x x 2 1 x x -36.99779968
b2 B x x x 2 x x x 61.59145535
fo2 O F x x 2 1 x x -2.049699258
cloo O Cl x x 2 1 x x 17.84132568
foof F O x x 2 2 x x -34.99746689
o3 O x x x 3 x x x 1.081810081
bn B N x x 1 1 x x 56.0037182
be2 Be x x x 2 x x x 16.14938605
C4H4 C H x x 4 4 x x 583.6628303
C6H6 C H x x 6 6 x x 948.676752
C8H8 C H x x 8 8 x x 1306.956307
C10H10 C H x x 10 10 x x 1701.684478
C12H12 C H x x 12 12 x x 2132.790859
C20H20 C H x x 20 20 x x 3659.255521
