xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1025.124543
pentane H C x x 12 5 x x 1256.521079
hexane H C x x 14 6 x x 1487.916651
heptane H C x x 16 7 x x 1719.344327
octane H C x x 18 8 x x 1950.747147
isobutane H C x x 10 4 x x 1026.308926
isopentane H C x x 12 5 x x 1256.965277
isohexane H C x x 14 6 x x 1488.344582
isoheptane H C x x 16 7 x x 1719.789615
isooctane H C x x 18 8 x x 1950.693278
neopentane H C x x 12 5 x x 1259.51526
neohexane H C x x 14 6 x x 1489.370555
neoheptane H C x x 16 7 x x 1720.730758
3methylpentane H C x x 14 6 x x 1487.44312
diisopropyl H C x x 14 6 x x 1487.853661
hexamethylethane H C x x 18 8 x x 1949.248584
h2 H x x x 2 x x x 84.12574962
alh3 H Al x x 3 1 x x 170.732118
alh Al H x x 1 1 x x 53.52945806
sih4 H Si x x 4 1 x x 260.9238604
bh3 H B x x 3 1 x x 234.1215025
bh B H x x 1 1 x x 66.54441781
ch2-trip H C x x 2 1 x x 157.2112692
sih H Si x x 1 1 x x 53.5450508
si2h6 H Si x x 6 2 x x 428.132212
ch3 H C x x 3 1 x x 246.3202267
ch4 H C x x 4 1 x x 332.8378888
b2h6 H B x x 6 2 x x 494.7377254
sih3f H F Si x 3 1 1 x 302.1976535
ph3 H P x x 3 1 x x 176.4901951
c2h6 H C x x 6 2 x x 562.387178
propane H C x x 8 3 x x 793.7430713
ch2-sing H C x x 2 1 x x 140.3746523
ch C H x x 1 1 x x 59.99625458
h2s H S x x 2 1 x x 132.6167502
hs S H x x 1 1 x x 62.5414562
c2h5f H C F x 5 2 1 x 555.2064782
ch3nh2 H C N x 5 1 1 x 426.8507613
ch3f H F C x 3 1 1 x 320.0558925
propene H C x x 6 3 x x 670.6135314
nh3 H N x x 3 1 x x 204.60932
ethanol H C O x 6 2 1 x 612.3327787
ch3nh H C N x 4 1 1 x 348.1113626
c2h4 H C x x 4 2 x x 436.8168424
methanol H C O x 4 1 1 x 377.9670516
hcl Cl H x x 1 1 x x 78.65955064
nh2 H N x x 2 1 x x 119.9893289
nh N H x x 1 1 x x 52.36269244
ch2nh2 H C N x 4 1 1 x 348.8219387
bhf2 F B H x 2 1 1 x 327.2836452
h2o H O x x 2 1 x x 158.4012542
hf F H x x 1 1 x x 98.23202463
ch2ch H C x x 3 2 x x 345.1258248
oh O H x x 1 1 x x 69.57426309
propyne H C x x 4 3 x x 536.3418188
acetaldehyde H C O x 4 2 1 x 503.080361
allene H C x x 4 3 x x 534.9300606
sif4 F Si x x 4 1 x x 444.5912333
bf3 F B x x 3 1 x x 370.9765878
c2h3f H C F x 3 2 1 x 429.3765102
oxirane H C O x 4 2 1 x 473.9225281
ch2f2 H F C x 2 2 1 x 318.9694274
alf3 F Al x x 3 1 x x 328.5812951
bef2 F Be x x 2 1 x x 243.0177776
ch2c C H x x 2 2 x x 264.7261862
n2h4 H N x x 4 2 x x 276.8832316
ch2nh H C N x 3 1 1 x 307.0448969
alf Al F x x 1 1 x x 121.9715295
acetic H C O x 4 2 2 x 580.9536921
c2h2 C H x x 2 2 x x 299.1485063
h2co H O C x 2 1 1 x 263.1141289
h2cn H C N x 2 1 1 x 241.5992152
bf F B x x 1 1 x x 139.8497042
becl2 Cl Be x x 2 1 x x 190.9823172
t-hcoh H C O x 2 1 1 x 216.7709387
alcl3 Cl Al x x 3 1 x x 255.1402112
c-hcoh H C O x 2 1 1 x 212.0723884
alcl Al Cl x x 1 1 x x 95.83609333
ketene C H O x 2 2 1 x 380.4166107
sif F Si x x 1 1 x x 102.3001156
formic H O C x 2 2 1 x 341.4343843
hcnh H C N x 2 1 1 x 224.0231657
glyoxal C H O x 2 2 2 x 435.0535221
hcof C O H F 1 1 1 1 274.5289782
nh2cl H N Cl x 2 1 1 x 148.5134934
cf4 F C x x 4 1 x x 330.1019375
hccf C H F x 2 1 1 x 274.5917365
hcn H C N x 1 1 1 x 203.3709755
hnc H N C x 1 1 1 x 193.860533
cch C H x x 2 1 x x 190.0850664
hco O C H x 1 1 1 x 187.0078634
co C O x x 1 1 x x 177.4633714
oxirene C H O x 2 2 1 x 294.96178
f2co F O C x 2 1 1 x 276.663415
hocn C N O H 1 1 1 1 251.3683804
hooh H O x x 2 2 x x 140.4191957
t-n2h2 H N x x 2 2 x x 158.0655674
hnco C O N H 1 1 1 1 276.364837
c-n2h2 H N x x 2 2 x x 152.0711864
cf2 F C x x 2 1 x x 165.9723758
co2 O C x x 2 1 x x 253.1812671
fccf F C x x 2 2 x x 244.654992
dioxirane H O C x 2 2 1 x 239.8781266
cf C F x x 1 1 x x 83.63209342
ssh S H x x 2 1 x x 104.0274623
hocl O H Cl x 1 1 1 x 83.94444023
nccn N C x x 2 2 x x 303.8673941
n2 N x x x 2 x x x 118.5180946
n2h N H x x 2 1 x x 110.8594156
ocs O C S x 1 1 1 x 214.5941595
sio Si O x x 1 1 x x 113.9035208
clcn Cl C N x 1 1 1 x 167.572925
hoo O H x x 2 1 x x 76.59108794
hcno C H N O 1 1 1 1 192.1195876
honc H O N C 1 1 1 1 191.7059299
hno N H O x 1 1 1 x 87.27416007
hof H O F x 1 1 1 x 59.34693442
c-hono O N H x 2 1 1 x 134.8760642
t-hono O N H x 2 1 1 x 134.3867749
cs2 S C x x 2 1 x x 173.0617127
hnnn N H x x 3 1 x x 136.4450716
cs C S x x 1 1 x x 101.0813879
cn C N x x 1 1 x x 93.72345164
so3 O S x x 3 1 x x 154.9752625
ccl2 Cl C x x 2 1 x x 105.8213443
bn3pi B N x x 1 1 x x 54.79946858
