xxxx x x x x 0 0 0 0 0
h2 H x x x 2 x x x 83.82579004
alh3 H Al x x 3 1 x x 168.6167555
alh Al H x x 1 1 x x 52.90265376
sih4 H Si x x 4 1 x x 256.8302734
bh3 H B x x 3 1 x x 231.7520009
bh B H x x 1 1 x x 65.83681889
ch2-trip H C x x 2 1 x x 155.0493242
sih H Si x x 1 1 x x 52.62813586
si2h6 H Si x x 6 2 x x 418.230053
ch3 H C x x 3 1 x x 243.0059727
ch4 H C x x 4 1 x x 328.2667376
b2h6 H B x x 6 2 x x 485.3494849
sih3f H F Si x 3 1 1 x 296.2961685
ph3 H P x x 3 1 x x 172.691878
c2h6 H C x x 6 2 x x 551.4635084
propane H C x x 8 3 x x 775.5131334
ch2-sing H C x x 2 1 x x 138.2709093
ch C H x x 1 1 x x 59.02418733
h2s H S x x 2 1 x x 129.6872372
hs S H x x 1 1 x x 61.12319481
c2h5f H C F x 5 2 1 x 541.782588
ch3nh2 H C N x 5 1 1 x 416.8843526
ch3f H F C x 3 1 1 x 313.4022876
propene H C x x 6 3 x x 655.3834085
nh3 H N x x 3 1 x x 200.8751959
ethanol H C O x 6 2 1 x 596.8473094
ch3nh H C N x 4 1 1 x 339.7438258
c2h4 H C x x 4 2 x x 428.4447563
methanol H C O x 4 1 1 x 369.5076868
hcl Cl H x x 1 1 x x 77.07526397
nh2 H N x x 2 1 x x 117.6503321
nh N H x x 1 1 x x 51.27845166
ch2nh2 H C N x 4 1 1 x 340.1489645
bhf2 F B H x 2 1 1 x 321.0262808
h2o H O x x 2 1 x x 155.8419528
hf F H x x 1 1 x x 96.97752056
ch2ch H C x x 3 2 x x 338.1525559
oh O H x x 1 1 x x 68.38352717
propyne H C x x 4 3 x x 524.3986038
acetaldehyde H C O x 4 2 1 x 490.8665886
allene H C x x 4 3 x x 522.8085973
sif4 F Si x x 4 1 x x 432.1070044
bf3 F B x x 3 1 x x 362.646143
c2h3f H C F x 3 2 1 x 418.6509178
oxirane H C O x 4 2 1 x 460.2910733
ch2f2 H F C x 2 2 1 x 309.8094042
alf3 F Al x x 3 1 x x 321.8826792
bef2 F Be x x 2 1 x x 239.8547211
ch2c C H x x 2 2 x x 259.1011259
n2h4 H N x x 4 2 x x 267.8172689
ch2nh H C N x 3 1 1 x 299.7643381
alf Al F x x 1 1 x x 119.617479
acetic H C O x 4 2 2 x 563.9040413
c2h2 C H x x 2 2 x x 293.4085731
h2co H O C x 2 1 1 x 257.3898761
h2cn H C N x 2 1 1 x 235.8572222
bf F B x x 1 1 x x 137.3842744
becl2 Cl Be x x 2 1 x x 185.9413344
t-hcoh H C O x 2 1 1 x 210.867407
alcl3 Cl Al x x 3 1 x x 244.2655278
c-hcoh H C O x 2 1 1 x 206.1816287
alcl Al Cl x x 1 1 x x 92.53772751
ketene C H O x 2 2 1 x 371.0612889
sif F Si x x 1 1 x x 99.50372515
formic H O C x 2 2 1 x 331.4265816
hcnh H C N x 2 1 1 x 218.0037653
glyoxal C H O x 2 2 2 x 421.4496999
hcof C O H F 1 1 1 1 266.458758
nh2cl H N Cl x 2 1 1 x 141.7027386
cf4 F C x x 4 1 x x 314.7637505
hccf C H F x 2 1 1 x 266.8181582
hcn H C N x 1 1 1 x 198.8093409
hnc H N C x 1 1 1 x 189.1681662
cch C H x x 2 1 x x 185.5970796
hco O C H x 1 1 1 x 182.4313873
co C O x x 1 1 x x 174.1658692
oxirene C H O x 2 2 1 x 282.9542275
f2co F O C x 2 1 1 x 265.9572829
hocn C N O H 1 1 1 1 243.0988939
hooh H O x x 2 2 x x 134.2238526
t-n2h2 H N x x 2 2 x x 150.5513392
hnco C O N H 1 1 1 1 268.1170414
c-n2h2 H N x x 2 2 x x 145.7996355
cf2 F C x x 2 1 x x 159.3872583
co2 O C x x 2 1 x x 246.4702286
fccf F C x x 2 2 x x 234.8662479
dioxirane H O C x 2 2 1 x 228.9739283
cf C F x x 1 1 x x 80.67806685
ssh S H x x 2 1 x x 97.70338766
hocl O H Cl x 1 1 1 x 78.62457891
nccn N C x x 2 2 x x 291.5165528
n2 N x x x 2 x x x 114.9725804
n2h N H x x 2 1 x x 105.9417275
ocs O C S x 1 1 1 x 206.8871598
sio Si O x x 1 1 x x 110.4660232
clcn Cl C N x 1 1 1 x 160.0655151
hoo O H x x 2 1 x x 71.70962791
hcno C H N O 1 1 1 1 183.4712734
honc H O N C 1 1 1 1 183.0984379
hno N H O x 1 1 1 x 82.35892045
hof H O F x 1 1 1 x 54.80953521
c-hono O N H x 2 1 1 x 125.4329083
t-hono O N H x 2 1 1 x 125.2700502
cs2 S C x x 2 1 x x 164.1032339
hnnn N H x x 3 1 x x 127.4614775
cs C S x x 1 1 x x 97.00796939
cn C N x x 1 1 x x 90.3633289
so3 O S x x 3 1 x x 141.7890562
ccl2 Cl C x x 2 1 x x 96.96403846
bn3pi B N x x 1 1 x x 52.0500342
so2 O S x x 2 1 x x 108.7150617
no N O x x 1 1 x x 53.33395666
so S O x x 1 1 x x 55.58529653
n2o N O x x 2 1 x x 86.18129109
c-hooo O H x x 3 1 x x 58.3803238
s2 S x x x 2 x x x 51.77744589
p4 P x x x 4 x x x 119.5781021
cl2 Cl x x x 2 x x x 19.16359915
o2 O x x x 2 x x x 33.2571044
f2 F x x x 2 x x x -37.30391053
t-hooo O H x x 3 1 x x 62.53990375
s2o S O x x 2 1 x x 72.20880399
p2 P x x x 2 x x x 43.4598327
clf Cl F x x 1 1 x x 8.381847391
no2 O N x x 2 1 x x 54.58044323
clo Cl O x x 1 1 x x 6.158076589
s3 S x x x 3 x x x 66.80641538
cl2o Cl O x x 2 1 x x -0.613977634
s4-c2v S x x x 4 x x x 91.80818415
of O F x x 1 1 x x -15.52757273
c2 C x x x 2 x x x 76.86843571
oclo O Cl x x 2 1 x x -16.03521336
f2o F O x x 2 1 x x -40.69816188
b2 B x x x 2 x x x 54.55278669
fo2 O F x x 2 1 x x -6.301517417
cloo O Cl x x 2 1 x x 11.45757818
foof F O x x 2 2 x x -41.4723132
o3 O x x x 3 x x x -4.072377268
bn B N x x 1 1 x x 51.18440411
be2 Be x x x 2 x x x 5.687651291
