xxxx x x x x 0 0 0 0 0
butane H C x x 10 4 x x 1271.639021
pentane H C x x 12 5 x x 1558.122538
hexane H C x x 14 6 x x 1844.568771
heptane H C x x 16 7 x x 2131.077224
octane H C x x 18 8 x x 2417.541364
isobutane H C x x 10 4 x x 1272.526733
isopentane H C x x 12 5 x x 1558.175389
isohexane H C x x 14 6 x x 1844.551889
isoheptane H C x x 16 7 x x 2131.034297
isooctane H C x x 18 8 x x 2415.221704
neopentane H C x x 12 5 x x 1560.04925
neohexane H C x x 14 6 x x 1844.75487
neoheptane H C x x 16 7 x x 2131.034025
3methylpentane H C x x 14 6 x x 1843.613838
diisopropyl H C x x 14 6 x x 1843.679875
hexamethylethane H C x x 18 8 x x 2412.98913
h2 H x x x 2 x x x 107.8856062
alh3 H Al x x 3 1 x x 218.849058
alh Al H x x 1 1 x x 72.37817527
sih4 H Si x x 4 1 x x 331.5357759
bh3 H B x x 3 1 x x 287.3480859
bh B H x x 1 1 x x 82.78416148
ch2-trip H C x x 2 1 x x 188.7424424
sih H Si x x 1 1 x x 74.0202821
si2h6 H Si x x 6 2 x x 544.5948722
ch3 H C x x 3 1 x x 304.5929706
ch4 H C x x 4 1 x x 413.4854397
b2h6 H B x x 6 2 x x 611.0162638
sih3f H F Si x 3 1 1 x 374.2692435
ph3 H P x x 3 1 x x 241.0953724
c2h6 H C x x 6 2 x x 698.5929138
propane H C x x 8 3 x x 985.193019
ch2-sing H C x x 2 1 x x 179.7224698
ch C H x x 1 1 x x 80.61720445
h2s H S x x 2 1 x x 175.7921028
hs S H x x 1 1 x x 84.6848284
c2h5f H C F x 5 2 1 x 690.3725287
ch3nh2 H C N x 5 1 1 x 557.3505429
ch3f H F C x 3 1 1 x 399.5089619
propene H C x x 6 3 x x 831.1694851
nh3 H N x x 3 1 x x 279.906227
ethanol H C O x 6 2 1 x 772.7730748
ch3nh H C N x 4 1 1 x 456.0506231
c2h4 H C x x 4 2 x x 541.6280708
methanol H C O x 4 1 1 x 482.8517162
hcl Cl H x x 1 1 x x 100.1936875
nh2 H N x x 2 1 x x 171.6990058
nh N H x x 1 1 x x 78.59072979
ch2nh2 H C N x 4 1 1 x 459.3093659
bhf2 F B H x 2 1 1 x 383.5802713
h2o H O x x 2 1 x x 208.4735683
hf F H x x 1 1 x x 123.1231889
ch2ch H C x x 3 2 x x 425.5844037
oh O H x x 1 1 x x 95.4615176
propyne H C x x 4 3 x x 666.1551321
acetaldehyde H C O x 4 2 1 x 631.7883317
allene H C x x 4 3 x x 664.6820607
sif4 F Si x x 4 1 x x 520.7909672
bf3 F B x x 3 1 x x 428.4557408
c2h3f H C F x 3 2 1 x 533.8002805
oxirane H C O x 4 2 1 x 604.7069165
ch2f2 H F C x 2 2 1 x 397.8154361
alf3 F Al x x 3 1 x x 382.6172772
bef2 F Be x x 2 1 x x 279.3511619
ch2c C H x x 2 2 x x 334.6997863
n2h4 H N x x 4 2 x x 401.2303351
ch2nh H C N x 3 1 1 x 405.2626565
alf Al F x x 1 1 x x 144.1341227
acetic H C O x 4 2 2 x 735.3448444
c2h2 C H x x 2 2 x x 372.7398109
h2co H O C x 2 1 1 x 335.6079399
h2cn H C N x 2 1 1 x 316.2452557
bf F B x x 1 1 x x 162.49967
becl2 Cl Be x x 2 1 x x 218.9759094
t-hcoh H C O x 2 1 1 x 286.6143701
